Time,Lane,Delay_s,Saturation,Avg_Queue_Veh,Inflow_PCU_h,TotalDemand_h,Capacity_h,Residual_NGE
65,1352445161#8.75_0,0.0,0.35,0.0,759.38,759.38,2200.0,0.0
65,1352445161#8.75_1,0.0,0.27,0.0,590.62,590.62,2200.0,0.0
65,1352445161#8.75_2,11.54,0.46,4.52,478.12,478.12,1031.25,0.0
65,1352445161#8.75_3,11.54,0.46,4.52,478.12,478.12,1031.25,0.0
65,477913073#10_0,0.0,0.18,0.0,393.75,393.75,2200.0,0.0
65,477913073#10_1,10.66,0.23,2.19,225.0,225.0,996.88,0.0
65,477913073#10_2,10.37,0.17,1.64,168.75,168.75,996.88,0.0
65,1010526553#5_0,0.0,0.14,0.0,309.38,309.38,2200.0,0.0
65,1010526553#5_1,10.06,0.22,2.12,225.0,225.0,1031.25,0.0
65,1010526553#5_2,9.27,0.05,0.53,56.25,56.25,1031.25,0.0
65,833772151#2_0,0.0,0.2,0.0,450.0,450.0,2200.0,0.0
65,833772151#2_1,10.22,0.14,1.37,140.62,140.62,996.88,0.0
65,833772151#2_2,11.66,0.39,3.83,393.75,393.75,996.88,0.0
130,1352445161#8.75_0,0.0,0.37,0.0,803.08,803.08,2200.0,0.0
130,1352445161#8.75_1,0.0,0.19,0.0,415.38,415.38,2200.0,0.0
130,1352445161#8.75_2,11.62,0.41,4.04,415.38,415.38,1015.38,0.0
130,1352445161#8.75_3,12.39,0.52,5.12,526.15,526.15,1015.38,0.0
130,477913073#10_0,0.0,0.53,0.0,1163.08,1163.08,2200.0,0.0
130,477913073#10_1,13.32,0.56,5.54,553.85,553.85,981.54,0.0
130,477913073#10_2,12.48,0.45,4.43,443.08,443.08,981.54,0.0
130,1010526553#5_0,0.0,0.14,0.0,304.62,304.62,2200.0,0.0
130,1010526553#5_1,11.92,0.37,3.6,360.0,360.0,981.54,0.0
130,1010526553#5_2,10.5,0.11,1.11,110.77,110.77,981.54,0.0
130,833772151#2_0,0.0,0.35,0.0,775.38,775.38,2200.0,0.0
130,833772151#2_1,10.93,0.2,1.94,193.85,193.85,981.54,0.0
130,833772151#2_2,10.78,0.17,1.66,166.15,166.15,981.54,0.0
212,1352445161#8.75_0,0.0,0.27,0.0,592.68,592.68,2200.0,0.0
212,1352445161#8.75_1,0.0,0.22,0.0,482.93,482.93,2200.0,0.0
212,1352445161#8.75_2,14.75,0.43,5.37,439.02,439.02,1019.51,0.0
212,1352445161#8.75_3,15.13,0.47,5.9,482.93,482.93,1019.51,0.0
212,477913073#10_0,0.0,0.52,0.0,1141.46,1141.46,2200.0,0.0
212,477913073#10_1,14.22,0.37,4.56,373.17,373.17,1019.51,0.0
212,477913073#10_2,14.93,0.45,5.63,460.98,460.98,1019.51,0.0
212,1010526553#5_0,0.0,0.25,0.0,548.78,548.78,2200.0,0.0
