Time,Lane,Delay_s,Saturation,Avg_Queue_Veh,Inflow_PCU_h,TotalDemand_h,Capacity_h,Residual_NGE
67,156084447#6_0,0.0,0.15,0.0,327.27,327.27,2200.0,0.0
67,156084447#6_1,9.52,0.05,0.53,54.55,54.55,1033.33,0.0
67,156084447#6_2,9.76,0.11,1.06,109.09,109.09,1033.33,0.0
67,537517150#5_0,0.0,0.19,0.0,409.09,409.09,2200.0,0.0
67,537517150#5_1,10.33,0.11,1.09,109.09,109.09,1000.0,0.0
67,537517150#5_2,10.07,0.05,0.55,54.55,54.55,1000.0,0.0
67,156084437#5_0,0.0,0.17,0.0,381.82,381.82,2200.0,0.0
67,156084437#5_1,10.45,0.24,2.39,245.45,245.45,1033.33,0.0
67,156084437#5_2,10.16,0.18,1.86,190.91,190.91,1033.33,0.0
67,-156084515#1.87_0,0.0,0.24,0.0,518.18,518.18,2200.0,0.0
133,156084447#6_0,0.0,0.46,0.0,1009.09,1009.09,2200.0,0.0
133,156084447#6_1,12.44,0.46,4.64,463.64,463.64,1000.0,0.0
133,156084447#6_2,18.01,0.74,8.27,736.36,736.36,1000.0,0.9
133,537517150#5_0,0.0,0.4,0.0,872.73,872.73,2200.0,0.0
133,537517150#5_1,12.25,0.44,4.36,436.36,436.36,1000.0,0.0
133,537517150#5_2,10.75,0.19,1.91,190.91,190.91,1000.0,0.0
133,156084437#5_0,0.0,0.38,0.0,845.45,845.45,2200.0,0.0
133,156084437#5_1,10.9,0.22,2.18,218.18,218.18,1000.0,0.0
133,156084437#5_2,10.16,0.18,1.86,190.91,190.91,1033.33,0.0
133,-156084515#1.87_0,0.0,0.33,0.0,736.36,736.36,2200.0,0.0
214,156084447#6_0,0.0,0.27,0.0,600.0,600.0,2200.0,0.0
214,156084447#6_1,14.79,0.42,5.16,422.22,422.22,1004.94,0.0
214,156084447#6_2,32.03,1.01,15.17,977.78,1017.95,1004.94,2.73
214,537517150#5_0,0.0,0.35,0.0,777.78,777.78,2200.0,0.0
214,537517150#5_1,13.78,0.37,4.51,377.78,377.78,1032.1,0.0
214,537517150#5_2,12.15,0.13,1.59,133.33,133.33,1032.1,0.0
214,156084437#5_0,0.0,0.35,0.0,777.78,777.78,2200.0,0.0
214,156084437#5_1,12.72,0.13,1.63,133.33,133.33,1004.94,0.0
214,156084437#5_2,14.25,0.35,4.35,355.56,355.56,1004.94,0.0
214,-156084515#1.87_0,0.0,0.33,0.0,733.33,733.33,2200.0,0.0
299,156084447#6_0,0.0,0.27,0.0,592.94,592.94,2200.0,0.0
299,156084447#6_1,14.58,0.39,5.03,402.35,402.35,1035.29,0.0
299,156084447#6_2,31.6,0.99,15.49,910.59,1026.29,1035.29,2.67
299,537517150#5_0,0.0,0.39,0.0,868.24,868.24,2200.0,0.0
299,537517150#5_1,13.49,0.17,2.16,169.41,169.41,1009.41,0.0
299,537517150#5_2,14.39,0.29,3.79,296.47,296.47,1009.41,0.0
299,156084437#5_0,0.0,0.32,0.0,698.82,698.82,2200.0,0.0
299,156084437#5_1,14.71,0.34,4.33,338.82,338.82,1009.41,0.0
299,156084437#5_2,14.39,0.29,3.79,296.47,296.47,1009.41,0.0
299,-156084515#1.87_0,0.0,0.25,0.0,550.59,550.59,2200.0,0.0
385,156084447#6_0,0.0,0.44,0.0,962.79,962.79,2200.0,0.0
385,156084447#6_1,15.07,0.46,6.02,481.4,481.4,1048.84,0.0
385,156084447#6_2,30.05,0.94,14.9,879.07,990.66,1048.84,2.51
385,537517150#5_0,0.0,0.53,0.0,1172.09,1172.09,2200.0,0.0
385,537517150#5_1,12.42,0.02,0.27,20.93,20.93,1023.26,0.0
385,537517150#5_2,13.6,0.2,2.67,209.3,209.3,1023.26,0.0
385,156084437#5_0,0.0,0.2,0.0,439.53,439.53,2200.0,0.0
385,156084437#5_1,13.89,0.25,3.21,251.16,251.16,1023.26,0.0
385,156084437#5_2,13.6,0.2,2.67,209.3,209.3,1023.26,0.0
