Time,Lane,Delay_s,Saturation,Avg_Queue_Veh,Inflow_PCU_h,TotalDemand_h,Capacity_h,Residual_NGE
61,1352445161#8.75_0,0.0,0.37,0.0,810.0,810.0,2200.0,0.0
61,1352445161#8.75_1,0.0,0.29,0.0,630.0,630.0,2200.0,0.0
61,1352445161#8.75_2,10.43,0.48,4.39,510.0,510.0,1063.33,0.0
61,1352445161#8.75_3,10.43,0.48,4.39,510.0,510.0,1063.33,0.0
61,477913073#10_0,0.0,0.19,0.0,420.0,420.0,2200.0,0.0
61,477913073#10_1,11.46,0.26,2.33,240.0,240.0,916.67,0.0
61,477913073#10_2,11.76,0.2,1.8,180.0,180.0,880.0,0.0
61,1010526553#5_0,0.0,0.15,0.0,330.0,330.0,2200.0,0.0
61,1010526553#5_1,8.17,0.16,1.5,180.0,180.0,1100.0,0.0
61,1010526553#5_2,7.71,0.05,0.5,60.0,60.0,1100.0,0.0
61,833772151#2_0,0.0,0.18,0.0,390.0,390.0,2200.0,0.0
61,833772151#2_1,12.31,0.31,2.7,270.0,270.0,880.0,0.0
61,833772151#2_2,12.31,0.31,2.7,270.0,270.0,880.0,0.0
126,1352445161#8.75_0,0.0,0.37,0.0,803.08,803.08,2200.0,0.0
126,1352445161#8.75_1,0.0,0.19,0.0,415.38,415.38,2200.0,0.0
126,1352445161#8.75_2,11.62,0.41,4.04,415.38,415.38,1015.38,0.0
126,1352445161#8.75_3,11.99,0.46,4.58,470.77,470.77,1015.38,0.0
126,477913073#10_0,0.0,0.24,0.0,526.15,526.15,2200.0,0.0
126,477913073#10_1,12.68,0.48,4.71,470.77,470.77,981.54,0.0
126,477913073#10_2,13.32,0.56,5.54,553.85,553.85,981.54,0.0
126,1010526553#5_0,0.0,0.15,0.0,332.31,332.31,2200.0,0.0
126,1010526553#5_1,10.78,0.27,2.69,276.92,276.92,1015.38,0.0
126,1010526553#5_2,9.92,0.11,1.08,110.77,110.77,1015.38,0.0
126,833772151#2_0,0.0,0.38,0.0,830.77,830.77,2200.0,0.0
126,833772151#2_1,11.57,0.31,3.05,304.62,304.62,981.54,0.0
126,833772151#2_2,11.57,0.31,3.05,304.62,304.62,981.54,0.0
192,1352445161#8.75_0,0.0,0.33,0.0,736.36,736.36,2200.0,0.0
192,1352445161#8.75_1,0.0,0.26,0.0,572.73,572.73,2200.0,0.0
192,1352445161#8.75_2,13.14,0.48,4.77,463.64,463.64,966.67,0.0
192,1352445161#8.75_3,14.02,0.59,5.89,572.73,572.73,966.67,0.0
192,477913073#10_0,1.62,0.78,0.99,1718.18,1718.18,2200.0,0.99
