Time,Lane,Delay_s,Saturation,Avg_Queue_Veh,Inflow_PCU_h,TotalDemand_h,Capacity_h,Residual_NGE
67,156084447#6_0,0.0,0.15,0.0,327.27,327.27,2200.0,0.0
67,156084447#6_1,10.9,0.22,2.18,218.18,218.18,1000.0,0.0
67,156084447#6_2,10.33,0.11,1.09,109.09,109.09,1000.0,0.0
67,537517150#5_0,0.0,0.19,0.0,409.09,409.09,2200.0,0.0
67,537517150#5_1,10.33,0.11,1.09,109.09,109.09,1000.0,0.0
67,537517150#5_2,10.07,0.05,0.55,54.55,54.55,1000.0,0.0
67,156084437#5_0,0.0,0.17,0.0,381.82,381.82,2200.0,0.0
67,156084437#5_1,11.37,0.3,3.0,300.0,300.0,1000.0,0.0
67,156084437#5_2,10.75,0.19,1.91,190.91,190.91,1000.0,0.0
67,-156084515#1.87_0,0.0,0.24,0.0,518.18,518.18,2200.0,0.0
132,156084447#6_0,0.0,0.4,0.0,886.15,886.15,2200.0,0.0
132,156084447#6_1,12.1,0.39,3.88,387.69,387.69,981.54,0.0
132,156084447#6_2,19.44,0.76,8.66,747.69,747.69,981.54,1.18
132,537517150#5_0,0.0,0.4,0.0,886.15,886.15,2200.0,0.0
132,537517150#5_1,11.8,0.44,4.31,443.08,443.08,1015.38,0.0
132,537517150#5_2,10.19,0.16,1.62,166.15,166.15,1015.38,0.0
132,156084437#5_0,0.0,0.39,0.0,858.46,858.46,2200.0,0.0
132,156084437#5_1,10.63,0.25,2.42,249.23,249.23,1015.38,0.0
132,156084437#5_2,10.33,0.19,1.88,193.85,193.85,1015.38,0.0
132,-156084515#1.87_0,0.0,0.34,0.0,747.69,747.69,2200.0,0.0
198,156084447#6_0,0.0,0.38,0.0,845.45,845.45,2200.0,0.0
198,156084447#6_1,11.37,0.3,3.0,300.0,300.0,1000.0,0.0
198,156084447#6_2,27.38,1.02,12.71,954.55,1019.03,1000.0,2.52
198,537517150#5_0,0.0,0.31,0.0,681.82,681.82,2200.0,0.0
198,537517150#5_1,12.55,0.39,3.92,381.82,381.82,966.67,0.0
198,537517150#5_2,10.91,0.11,1.12,109.09,109.09,966.67,0.0
198,156084437#5_0,0.0,0.41,0.0,900.0,900.0,2200.0,0.0
198,156084437#5_1,10.9,0.22,2.18,218.18,218.18,1000.0,0.0
198,156084437#5_2,12.25,0.44,4.36,436.36,436.36,1000.0,0.0
198,-156084515#1.87_0,0.0,0.42,0.0,927.27,927.27,2200.0,0.0
263,156084447#6_0,0.0,0.35,0.0,775.38,775.38,2200.0,0.0
263,156084447#6_1,11.69,0.5,4.97,526.15,526.15,1049.23,0.0
263,156084447#6_2,29.43,1.08,13.95,996.92,1136.7,1049.23,3.22
263,537517150#5_0,0.0,0.48,0.0,1052.31,1052.31,2200.0,0.0
263,537517150#5_1,10.78,0.27,2.69,276.92,276.92,1015.38,0.0
263,537517150#5_2,10.33,0.19,1.88,193.85,193.85,1015.38,0.0
263,156084437#5_0,0.0,0.38,0.0,830.77,830.77,2200.0,0.0
263,156084437#5_1,12.39,0.52,5.12,526.15,526.15,1015.38,0.0
263,156084437#5_2,11.44,0.38,3.77,387.69,387.69,1015.38,0.0
263,-156084515#1.87_0,0.0,0.37,0.0,803.08,803.08,2200.0,0.0
329,156084447#6_0,0.0,0.45,0.0,981.82,981.82,2200.0,0.0
329,156084447#6_1,12.64,0.49,4.91,490.91,490.91,1000.0,0.0
329,156084447#6_2,28.84,1.21,14.06,1036.36,1211.73,1000.0,1.94
329,537517150#5_0,0.0,0.37,0.0,818.18,818.18,2200.0,0.0
329,537517150#5_1,9.82,0.0,0.0,0.0,0.0,1000.0,0.0
329,537517150#5_2,12.06,0.41,4.09,409.09,409.09,1000.0,0.0
329,156084437#5_0,0.0,0.29,0.0,627.27,627.27,2200.0,0.0
329,156084437#5_1,11.21,0.27,2.73,272.73,272.73,1000.0,0.0
329,156084437#5_2,11.88,0.38,3.82,381.82,381.82,1000.0,0.0
329,-156084515#1.87_0,0.0,0.22,0.0,490.91,490.91,2200.0,0.0
395,156084447#6_0,0.0,0.5,0.0,1090.91,1090.91,2200.0,0.0
395,156084447#6_1,13.35,0.51,5.05,490.91,490.91,966.67,0.0
395,156084447#6_2,27.02,0.98,12.13,845.45,951.32,966.67,2.35
395,537517150#5_0,0.0,0.5,0.0,1090.91,1090.91,2200.0,0.0
395,537517150#5_1,9.28,0.0,0.0,0.0,0.0,1033.33,0.0
395,537517150#5_2,9.76,0.11,1.06,109.09,109.09,1033.33,0.0
395,156084437#5_0,0.0,0.29,0.0,627.27,627.27,2200.0,0.0
395,156084437#5_1,10.75,0.19,1.91,190.91,190.91,1000.0,0.0
395,156084437#5_2,11.37,0.3,3.0,300.0,300.0,1000.0,0.0
395,-156084515#1.87_0,0.0,0.31,0.0,681.82,681.82,2200.0,0.0
460,156084447#6_0,0.0,0.5,0.0,1107.69,1107.69,2200.0,0.0
460,156084447#6_1,11.99,0.46,4.58,470.77,470.77,1015.38,0.0
460,156084447#6_2,25.54,0.95,11.83,830.77,960.92,1015.38,2.49
460,537517150#5_0,0.0,0.39,0.0,858.46,858.46,2200.0,0.0
460,537517150#5_1,11.1,0.33,3.23,332.31,332.31,1015.38,0.0
460,537517150#5_2,9.92,0.11,1.08,110.77,110.77,1015.38,0.0
460,156084437#5_0,0.0,0.15,0.0,332.31,332.31,2200.0,0.0
460,156084437#5_1,10.48,0.22,2.15,221.54,221.54,1015.38,0.0
460,156084437#5_2,11.27,0.35,3.5,360.0,360.0,1015.38,0.0
460,-156084515#1.87_0,0.0,0.52,0.0,1135.38,1135.38,2200.0,0.0
526,156084447#6_0,0.0,0.31,0.0,681.82,681.82,2200.0,0.0
526,156084447#6_1,12.84,0.52,5.18,518.18,518.18,1000.0,0.0
526,156084447#6_2,26.82,1.01,12.5,872.73,1008.28,1000.0,2.42
526,537517150#5_0,0.0,0.19,0.0,409.09,409.09,2200.0,0.0
526,537517150#5_1,10.47,0.14,1.36,136.36,136.36,1000.0,0.0
526,537517150#5_2,10.33,0.11,1.09,109.09,109.09,1000.0,0.0
526,156084437#5_0,0.0,0.12,0.0,272.73,272.73,2200.0,0.0
526,156084437#5_1,9.94,0.03,0.27,27.27,27.27,1000.0,0.0
526,156084437#5_2,11.37,0.3,3.0,300.0,300.0,1000.0,0.0
526,-156084515#1.87_0,0.0,0.37,0.0,818.18,818.18,2200.0,0.0
591,156084447#6_0,0.0,0.11,0.0,249.23,249.23,2200.0,0.0
591,156084447#6_1,10.5,0.11,1.11,110.77,110.77,981.54,0.0
591,156084447#6_2,13.51,0.59,5.77,443.08,576.91,981.54,0.0
591,537517150#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
591,537517150#5_1,9.42,0.0,0.0,0.0,0.0,1015.38,0.0
591,537517150#5_2,9.42,0.0,0.0,0.0,0.0,1015.38,0.0
591,156084437#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
591,156084437#5_1,9.97,0.0,0.0,0.0,0.0,981.54,0.0
591,156084437#5_2,10.64,0.14,1.38,138.46,138.46,981.54,0.0
591,-156084515#1.87_0,0.0,0.06,0.0,138.46,138.46,2200.0,0.0
