Time,Lane,Delay_s,Saturation,Avg_Queue_Veh,Inflow_PCU_h,TotalDemand_h,Capacity_h,Residual_NGE
62,1352445161#8.75_0,0.0,0.36,0.0,796.72,796.72,2200.0,0.0
62,1352445161#8.75_1,0.0,0.28,0.0,619.67,619.67,2200.0,0.0
62,1352445161#8.75_2,10.2,0.46,4.32,501.64,501.64,1081.97,0.0
62,1352445161#8.75_3,10.2,0.46,4.32,501.64,501.64,1081.97,0.0
62,477913073#10_0,0.0,0.19,0.0,413.11,413.11,2200.0,0.0
62,477913073#10_1,11.25,0.25,2.3,236.07,236.07,937.7,0.0
62,477913073#10_2,10.92,0.19,1.72,177.05,177.05,937.7,0.0
62,1010526553#5_0,0.0,0.15,0.0,324.59,324.59,2200.0,0.0
62,1010526553#5_1,8.57,0.16,1.52,177.05,177.05,1081.97,0.0
62,1010526553#5_2,8.09,0.05,0.51,59.02,59.02,1081.97,0.0
62,833772151#2_0,0.0,0.17,0.0,383.61,383.61,2200.0,0.0
62,833772151#2_1,11.42,0.28,2.58,265.57,265.57,937.7,0.0
62,833772151#2_2,11.42,0.28,2.58,265.57,265.57,937.7,0.0
147,1352445161#8.75_0,0.0,0.31,0.0,677.65,677.65,2200.0,0.0
147,1352445161#8.75_1,0.0,0.18,0.0,402.35,402.35,2200.0,0.0
147,1352445161#8.75_2,14.71,0.34,4.33,338.82,338.82,1009.41,0.0
147,1352445161#8.75_3,15.41,0.42,5.41,423.53,423.53,1009.41,0.0
147,477913073#10_0,0.0,0.42,0.0,931.76,931.76,2200.0,0.0
147,477913073#10_1,15.49,0.49,6.35,508.24,508.24,1035.29,0.0
147,477913073#10_2,14.08,0.33,4.24,338.82,338.82,1035.29,0.0
147,1010526553#5_0,0.0,0.24,0.0,529.41,529.41,2200.0,0.0
147,1010526553#5_1,14.71,0.34,4.33,338.82,338.82,1009.41,0.0
147,1010526553#5_2,12.95,0.08,1.08,84.71,84.71,1009.41,0.0
147,833772151#2_0,0.0,0.29,0.0,635.29,635.29,2200.0,0.0
147,833772151#2_1,13.77,0.29,3.71,296.47,296.47,1035.29,0.0
147,833772151#2_2,12.91,0.16,2.12,169.41,169.41,1035.29,0.0
233,1352445161#8.75_0,0.0,0.33,0.0,732.56,732.56,2200.0,0.0
233,1352445161#8.75_1,0.0,0.19,0.0,418.6,418.6,2200.0,0.0
233,1352445161#8.75_2,15.37,0.43,5.62,439.53,439.53,1023.26,0.0
233,1352445161#8.75_3,15.56,0.45,5.88,460.47,460.47,1023.26,0.0
233,477913073#10_0,0.0,0.55,0.0,1213.95,1213.95,2200.0,0.0
233,477913073#10_1,13.74,0.23,2.94,230.23,230.23,1023.26,0.0
233,477913073#10_2,16.77,0.57,7.49,586.05,586.05,1023.26,0.0
233,1010526553#5_0,0.0,0.21,0.0,460.47,460.47,2200.0,0.0
233,1010526553#5_1,14.04,0.27,3.48,272.09,272.09,1023.26,0.0
233,1010526553#5_2,14.04,0.27,3.48,272.09,272.09,1023.26,0.0
233,833772151#2_0,0.0,0.14,0.0,313.95,313.95,2200.0,0.0
233,833772151#2_1,13.74,0.23,2.94,230.23,230.23,1023.26,0.0
233,833772151#2_2,14.04,0.27,3.48,272.09,272.09,1023.26,0.0
318,1352445161#8.75_0,0.0,0.43,0.0,952.94,952.94,2200.0,0.0
318,1352445161#8.75_1,0.0,0.36,0.0,783.53,783.53,2200.0,0.0
318,1352445161#8.75_2,16.09,0.55,7.15,571.76,571.76,1035.29,0.0
318,1352445161#8.75_3,16.09,0.55,7.15,571.76,571.76,1035.29,0.0
318,477913073#10_0,0.0,0.45,0.0,995.29,995.29,2200.0,0.0
318,477913073#10_1,20.13,0.72,9.89,741.18,741.18,1035.29,0.62
318,477913073#10_2,16.98,0.63,8.21,656.47,656.47,1035.29,0.0
318,1010526553#5_0,0.0,0.24,0.0,529.41,529.41,2200.0,0.0
318,1010526553#5_1,14.08,0.33,4.24,338.82,338.82,1035.29,0.0
318,1010526553#5_2,14.75,0.41,5.29,423.53,423.53,1035.29,0.0
318,833772151#2_0,0.0,0.22,0.0,487.06,487.06,2200.0,0.0
