Time,Lane,Delay_s,Saturation,Avg_Queue_Veh,Inflow_PCU_h,TotalDemand_h,Capacity_h,Residual_NGE
59,156084447#6_0,0.0,0.16,0.0,341.38,341.38,2200.0,0.0
59,156084447#6_1,11.72,0.25,2.11,217.24,217.24,872.41,0.0
59,156084447#6_2,11.19,0.14,1.21,124.14,124.14,872.41,0.0
59,537517150#5_0,0.0,0.2,0.0,434.48,434.48,2200.0,0.0
59,537517150#5_1,6.95,0.05,0.48,62.07,62.07,1137.93,0.0
59,537517150#5_2,6.86,0.03,0.24,31.03,31.03,1137.93,0.0
59,156084437#5_0,0.0,0.2,0.0,434.48,434.48,2200.0,0.0
59,156084437#5_1,11.19,0.14,1.21,124.14,124.14,872.41,0.0
59,156084437#5_2,11.36,0.18,1.51,155.17,155.17,872.41,0.0
59,-156084515#1.87_0,0.0,0.24,0.0,527.59,527.59,2200.0,0.0
144,156084447#6_0,0.0,0.39,0.0,847.06,847.06,2200.0,0.0
144,156084447#6_1,14.41,0.37,4.76,381.18,381.18,1035.29,0.0
144,156084447#6_2,17.36,0.65,8.51,677.65,677.65,1035.29,0.04
144,537517150#5_0,0.0,0.43,0.0,952.94,952.94,2200.0,0.0
144,537517150#5_1,16.09,0.55,7.15,571.76,571.76,1035.29,0.0
144,537517150#5_2,13.18,0.2,2.65,211.76,211.76,1035.29,0.0
144,156084437#5_0,0.0,0.3,0.0,656.47,656.47,2200.0,0.0
144,156084437#5_1,12.91,0.16,2.12,169.41,169.41,1035.29,0.0
144,156084437#5_2,12.51,0.1,1.32,105.88,105.88,1035.29,0.0
144,-156084515#1.87_0,0.0,0.36,0.0,783.53,783.53,2200.0,0.0
230,156084447#6_0,0.0,0.3,0.0,669.77,669.77,2200.0,0.0
230,156084447#6_1,15.19,0.41,5.35,418.6,418.6,1023.26,0.0
230,156084447#6_2,28.65,0.9,14.13,941.86,943.66,1048.84,2.34
230,537517150#5_0,0.0,0.29,0.0,627.91,627.91,2200.0,0.0
230,537517150#5_1,13.45,0.18,2.41,188.37,188.37,1023.26,0.0
230,537517150#5_2,12.66,0.06,0.8,62.79,62.79,1023.26,0.0
230,156084437#5_0,0.0,0.46,0.0,1004.65,1004.65,2200.0,0.0
230,156084437#5_1,13.89,0.32,4.19,334.88,334.88,1048.84,0.0
230,156084437#5_2,14.37,0.38,4.97,397.67,397.67,1048.84,0.0
230,-156084515#1.87_0,0.0,0.34,0.0,753.49,753.49,2200.0,0.0
315,156084447#6_0,0.0,0.24,0.0,529.41,529.41,2200.0,0.0
315,156084447#6_1,15.23,0.4,5.14,402.35,402.35,1009.41,0.0
315,156084447#6_2,30.72,0.94,14.58,847.06,946.13,1009.41,2.49
315,537517150#5_0,0.0,0.35,0.0,762.35,762.35,2200.0,0.0
315,537517150#5_1,12.91,0.16,2.12,169.41,169.41,1035.29,0.0
315,537517150#5_2,14.41,0.37,4.76,381.18,381.18,1035.29,0.0
315,156084437#5_0,0.0,0.23,0.0,508.24,508.24,2200.0,0.0
315,156084437#5_1,14.41,0.37,4.76,381.18,381.18,1035.29,0.0
315,156084437#5_2,14.75,0.41,5.29,423.53,423.53,1035.29,0.0
315,-156084515#1.87_0,0.0,0.3,0.0,656.47,656.47,2200.0,0.0
401,156084447#6_0,0.0,0.44,0.0,962.79,962.79,2200.0,0.0
401,156084447#6_1,14.04,0.34,4.45,355.81,355.81,1048.84,0.0
401,156084447#6_2,30.46,0.96,15.12,900.0,1004.2,1048.84,2.56
401,537517150#5_0,0.0,0.46,0.0,1004.65,1004.65,2200.0,0.0
401,537517150#5_1,12.84,0.0,0.0,0.0,0.0,997.67,0.0
401,537517150#5_2,13.9,0.17,2.19,167.44,167.44,997.67,0.0
401,156084437#5_0,0.0,0.25,0.0,544.19,544.19,2200.0,0.0
401,156084437#5_1,12.79,0.08,1.07,83.72,83.72,1023.26,0.0
401,156084437#5_2,13.74,0.23,2.94,230.23,230.23,1023.26,0.0
401,-156084515#1.87_0,0.0,0.3,0.0,669.77,669.77,2200.0,0.0
486,156084447#6_0,0.0,0.49,0.0,1080.0,1080.0,2200.0,0.0
486,156084447#6_1,14.39,0.29,3.79,296.47,296.47,1009.41,0.0
486,156084447#6_2,25.79,0.82,12.22,720.0,828.58,1009.41,1.63
486,537517150#5_0,0.0,0.43,0.0,952.94,952.94,2200.0,0.0
486,537517150#5_1,13.77,0.29,3.71,296.47,296.47,1035.29,0.0
486,537517150#5_2,12.64,0.12,1.59,127.06,127.06,1035.29,0.0
486,156084437#5_0,0.0,0.21,0.0,465.88,465.88,2200.0,0.0
486,156084437#5_1,12.82,0.06,0.81,63.53,63.53,1009.41,0.0
486,156084437#5_2,14.07,0.25,3.25,254.12,254.12,1009.41,0.0
486,-156084515#1.87_0,0.0,0.48,0.0,1058.82,1058.82,2200.0,0.0
571,156084447#6_0,0.0,0.32,0.0,698.82,698.82,2200.0,0.0
571,156084447#6_1,13.18,0.2,2.65,211.76,211.76,1035.29,0.0
571,156084447#6_2,15.54,0.5,6.42,444.71,513.8,1035.29,0.0
571,537517150#5_0,0.0,0.05,0.0,105.88,105.88,2200.0,0.0
571,537517150#5_1,12.03,0.02,0.26,21.18,21.18,1035.29,0.0
571,537517150#5_2,11.91,0.0,0.0,0.0,0.0,1035.29,0.0
571,156084437#5_0,0.0,0.04,0.0,84.71,84.71,2200.0,0.0
571,156084437#5_1,12.27,0.06,0.79,63.53,63.53,1035.29,0.0
571,156084437#5_2,13.32,0.23,2.91,232.94,232.94,1035.29,0.0
571,-156084515#1.87_0,0.0,0.13,0.0,296.47,296.47,2200.0,0.0
