Time,Lane,Delay_s,Saturation,Avg_Queue_Veh,Inflow_PCU_h,TotalDemand_h,Capacity_h,Residual_NGE
63,1352445161#8.75_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
63,1352445161#8.75_1,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
63,1352445161#8.75_2,8.26,0.0,0.0,0.0,0.0,1064.52,0.0
63,1352445161#8.75_3,8.26,0.0,0.0,0.0,0.0,1064.52,0.0
63,477913073#10_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
63,477913073#10_1,9.88,0.0,0.0,0.0,0.0,958.06,0.0
63,477913073#10_2,11.44,0.41,3.84,406.45,406.45,993.55,0.0
63,1010526553#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
63,1010526553#5_1,8.26,0.0,0.0,0.0,0.0,1064.52,0.0
63,1010526553#5_2,8.26,0.0,0.0,0.0,0.0,1064.52,0.0
63,833772151#2_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
63,833772151#2_1,9.32,0.0,0.0,0.0,0.0,993.55,0.0
63,833772151#2_2,9.32,0.0,0.0,0.0,0.0,993.55,0.0
128,1352445161#8.75_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
128,1352445161#8.75_1,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
128,1352445161#8.75_2,9.42,0.0,0.0,0.0,0.0,1015.38,0.0
128,1352445161#8.75_3,9.42,0.0,0.0,0.0,0.0,1015.38,0.0
128,477913073#10_0,0.0,0.03,0.0,55.38,55.38,2200.0,0.0
128,477913073#10_1,10.78,0.17,1.66,166.15,166.15,981.54,0.0
128,477913073#10_2,12.68,0.48,4.71,470.77,470.77,981.54,0.0
128,1010526553#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
128,1010526553#5_1,9.42,0.0,0.0,0.0,0.0,1015.38,0.0
128,1010526553#5_2,9.42,0.0,0.0,0.0,0.0,1015.38,0.0
128,833772151#2_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
128,833772151#2_1,9.97,0.0,0.0,0.0,0.0,981.54,0.0
128,833772151#2_2,9.97,0.0,0.0,0.0,0.0,981.54,0.0
202,1352445161#8.75_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
202,1352445161#8.75_1,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
202,1352445161#8.75_2,13.08,0.0,0.0,0.0,0.0,891.89,0.0
202,1352445161#8.75_3,13.08,0.0,0.0,0.0,0.0,891.89,0.0
202,477913073#10_0,0.0,0.13,0.0,291.89,291.89,2200.0,0.0
202,477913073#10_1,9.16,0.09,0.97,97.3,97.3,1129.73,0.0
202,477913073#10_2,9.27,0.11,1.22,121.62,121.62,1129.73,0.0
202,1010526553#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
202,1010526553#5_1,13.08,0.0,0.0,0.0,0.0,891.89,0.0
202,1010526553#5_2,13.08,0.0,0.0,0.0,0.0,891.89,0.0
202,833772151#2_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
202,833772151#2_1,8.76,0.0,0.0,0.0,0.0,1129.73,0.0
202,833772151#2_2,8.76,0.0,0.0,0.0,0.0,1129.73,0.0
277,1352445161#8.75_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
277,1352445161#8.75_1,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
277,1352445161#8.75_2,13.5,0.0,0.0,0.0,0.0,880.0,0.0
277,1352445161#8.75_3,13.5,0.0,0.0,0.0,0.0,880.0,0.0
277,477913073#10_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
277,477913073#10_1,8.17,0.0,0.0,0.0,0.0,1173.33,0.0
277,477913073#10_2,8.17,0.0,0.0,0.0,0.0,1173.33,0.0
277,1010526553#5_0,0.0,0.03,0.0,72.0,72.0,2200.0,0.0
277,1010526553#5_1,14.28,0.14,1.5,120.0,120.0,880.0,0.0
277,1010526553#5_2,15.93,0.38,4.2,336.0,336.0,880.0,0.0
277,833772151#2_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
277,833772151#2_1,8.64,0.0,0.0,0.0,0.0,1144.0,0.0
277,833772151#2_2,8.64,0.0,0.0,0.0,0.0,1144.0,0.0
357,1352445161#8.75_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
357,1352445161#8.75_1,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
357,1352445161#8.75_2,11.56,0.0,0.0,0.0,0.0,1017.5,0.0
357,1352445161#8.75_3,11.56,0.0,0.0,0.0,0.0,1017.5,0.0
357,477913073#10_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
357,477913073#10_1,11.56,0.0,0.0,0.0,0.0,1017.5,0.0
357,477913073#10_2,11.56,0.0,0.0,0.0,0.0,1017.5,0.0
357,1010526553#5_0,0.0,0.26,0.0,562.5,562.5,2200.0,0.0
357,1010526553#5_1,11.62,0.11,1.31,112.5,112.5,1045.0,0.0
357,1010526553#5_2,11.03,0.0,0.0,0.0,0.0,1045.0,0.0
357,833772151#2_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
357,833772151#2_1,11.56,0.0,0.0,0.0,0.0,1017.5,0.0
357,833772151#2_2,11.56,0.0,0.0,0.0,0.0,1017.5,0.0
438,1352445161#8.75_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
438,1352445161#8.75_1,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
438,1352445161#8.75_2,11.41,0.0,0.0,0.0,0.0,1032.1,0.0
438,1352445161#8.75_3,11.41,0.0,0.0,0.0,0.0,1032.1,0.0
438,477913073#10_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
438,477913073#10_1,11.95,0.0,0.0,0.0,0.0,1004.94,0.0
438,477913073#10_2,11.95,0.0,0.0,0.0,0.0,1004.94,0.0
438,1010526553#5_0,0.0,0.29,0.0,644.44,644.44,2200.0,0.0
438,1010526553#5_1,12.7,0.22,2.65,222.22,222.22,1032.1,0.0
438,1010526553#5_2,11.41,0.0,0.0,0.0,0.0,1032.1,0.0
438,833772151#2_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
438,833772151#2_1,11.95,0.0,0.0,0.0,0.0,1004.94,0.0
438,833772151#2_2,11.95,0.0,0.0,0.0,0.0,1004.94,0.0
521,1352445161#8.75_0,0.0,0.08,0.0,173.49,173.49,2200.0,0.0
521,1352445161#8.75_1,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
521,1352445161#8.75_2,12.75,0.0,0.0,0.0,0.0,980.72,0.0
521,1352445161#8.75_3,12.75,0.0,0.0,0.0,0.0,980.72,0.0
521,477913073#10_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
521,477913073#10_1,11.14,0.0,0.0,0.0,0.0,1060.24,0.0
521,477913073#10_2,11.14,0.0,0.0,0.0,0.0,1060.24,0.0
521,1010526553#5_0,0.0,0.14,0.0,303.61,303.61,2200.0,0.0
521,1010526553#5_1,15.68,0.42,5.27,412.05,412.05,980.72,0.0
521,1010526553#5_2,13.69,0.15,1.94,151.81,151.81,980.72,0.0
521,833772151#2_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
521,833772151#2_1,11.14,0.0,0.0,0.0,0.0,1060.24,0.0
521,833772151#2_2,11.14,0.0,0.0,0.0,0.0,1060.24,0.0
