Time,Lane,Delay_s,Saturation,Avg_Queue_Veh,Inflow_PCU_h,TotalDemand_h,Capacity_h,Residual_NGE
65,156084447#6_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
65,156084447#6_1,9.57,0.0,0.0,0.0,0.0,996.88,0.0
65,156084447#6_2,9.57,0.0,0.0,0.0,0.0,996.88,0.0
65,537517150#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
65,537517150#5_1,9.57,0.0,0.0,0.0,0.0,996.88,0.0
65,537517150#5_2,9.57,0.0,0.0,0.0,0.0,996.88,0.0
65,156084437#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
65,156084437#5_1,9.03,0.0,0.0,0.0,0.0,1031.25,0.0
65,156084437#5_2,9.03,0.0,0.0,0.0,0.0,1031.25,0.0
65,-156084515#1.87_0,0.0,0.32,0.0,703.12,703.12,2200.0,0.0
130,156084447#6_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
130,156084447#6_1,9.42,0.0,0.0,0.0,0.0,1015.38,0.0
130,156084447#6_2,9.42,0.0,0.0,0.0,0.0,1015.38,0.0
130,537517150#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
130,537517150#5_1,9.42,0.0,0.0,0.0,0.0,1015.38,0.0
130,537517150#5_2,9.42,0.0,0.0,0.0,0.0,1015.38,0.0
130,156084437#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
130,156084437#5_1,9.97,0.0,0.0,0.0,0.0,981.54,0.0
130,156084437#5_2,9.97,0.0,0.0,0.0,0.0,981.54,0.0
130,-156084515#1.87_0,0.0,0.39,0.0,858.46,858.46,2200.0,0.0
202,156084447#6_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
202,156084447#6_1,13.44,0.0,0.0,0.0,0.0,855.56,0.0
202,156084447#6_2,13.44,0.0,0.0,0.0,0.0,855.56,0.0
202,537517150#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
202,537517150#5_1,8.03,0.0,0.0,0.0,0.0,1161.11,0.0
202,537517150#5_2,8.03,0.0,0.0,0.0,0.0,1161.11,0.0
202,156084437#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
202,156084437#5_1,13.44,0.0,0.0,0.0,0.0,855.56,0.0
202,156084437#5_2,13.44,0.0,0.0,0.0,0.0,855.56,0.0
202,-156084515#1.87_0,0.0,0.31,0.0,675.0,675.0,2200.0,0.0
273,156084447#6_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
273,156084447#6_1,14.9,0.0,0.0,0.0,0.0,774.65,0.0
273,156084447#6_2,14.9,0.0,0.0,0.0,0.0,774.65,0.0
273,537517150#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
273,537517150#5_1,7.21,0.0,0.0,0.0,0.0,1208.45,0.0
273,537517150#5_2,7.21,0.0,0.0,0.0,0.0,1208.45,0.0
273,156084437#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
273,156084437#5_1,14.26,0.0,0.0,0.0,0.0,805.63,0.0
273,156084437#5_2,14.26,0.0,0.0,0.0,0.0,805.63,0.0
273,-156084515#1.87_0,0.0,0.05,0.0,101.41,101.41,2200.0,0.0
343,156084447#6_0,0.0,0.13,0.0,282.86,282.86,2200.0,0.0
343,156084447#6_1,15.66,0.1,0.99,77.14,77.14,754.29,0.0
343,156084447#6_2,15.11,0.0,0.0,0.0,0.0,754.29,0.0
343,537517150#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
343,537517150#5_1,6.43,0.0,0.0,0.0,0.0,1257.14,0.0
343,537517150#5_2,6.43,0.0,0.0,0.0,0.0,1257.14,0.0
343,156084437#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
343,156084437#5_1,15.11,0.0,0.0,0.0,0.0,754.29,0.0
343,156084437#5_2,15.11,0.0,0.0,0.0,0.0,754.29,0.0
343,-156084515#1.87_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
407,156084447#6_0,0.0,0.31,0.0,675.0,675.0,2200.0,0.0
407,156084447#6_1,15.02,0.12,1.01,84.38,84.38,721.88,0.0
407,156084447#6_2,14.45,0.0,0.0,0.0,0.0,721.88,0.0
407,537517150#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
407,537517150#5_1,5.7,0.0,0.0,0.0,0.0,1271.88,0.0
407,537517150#5_2,5.7,0.0,0.0,0.0,0.0,1271.88,0.0
407,156084437#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
407,156084437#5_1,13.78,0.0,0.0,0.0,0.0,756.25,0.0
407,156084437#5_2,13.78,0.0,0.0,0.0,0.0,756.25,0.0
407,-156084515#1.87_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
475,156084447#6_0,0.0,0.29,0.0,635.29,635.29,2200.0,0.0
475,156084447#6_1,15.56,0.0,0.0,0.0,0.0,711.76,0.0
475,156084447#6_2,17.45,0.33,3.04,238.24,238.24,711.76,0.0
475,537517150#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
475,537517150#5_1,5.76,0.0,0.0,0.0,0.0,1294.12,0.0
475,537517150#5_2,5.76,0.0,0.0,0.0,0.0,1294.12,0.0
475,156084437#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
475,156084437#5_1,15.56,0.0,0.0,0.0,0.0,711.76,0.0
475,156084437#5_2,15.56,0.0,0.0,0.0,0.0,711.76,0.0
475,-156084515#1.87_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
545,156084447#6_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
545,156084447#6_1,13.21,0.0,0.0,0.0,0.0,848.57,0.0
545,156084447#6_2,15.79,0.42,4.3,360.0,360.0,848.57,0.0
