Time,Lane,Delay_s,Saturation,Avg_Queue_Veh,Inflow_PCU_h,TotalDemand_h,Capacity_h,Residual_NGE
59,1352445161#8.75_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
59,1352445161#8.75_1,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
59,1352445161#8.75_2,6.76,0.0,0.0,0.0,0.0,1137.93,0.0
59,1352445161#8.75_3,6.76,0.0,0.0,0.0,0.0,1137.93,0.0
59,477913073#10_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
59,477913073#10_1,10.56,0.0,0.0,0.0,0.0,872.41,0.0
59,477913073#10_2,12.5,0.39,3.32,341.38,341.38,872.41,0.0
59,1010526553#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
59,1010526553#5_1,6.76,0.0,0.0,0.0,0.0,1137.93,0.0
59,1010526553#5_2,6.76,0.0,0.0,0.0,0.0,1137.93,0.0
59,833772151#2_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
59,833772151#2_1,10.56,0.0,0.0,0.0,0.0,872.41,0.0
59,833772151#2_2,10.56,0.0,0.0,0.0,0.0,872.41,0.0
125,1352445161#8.75_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
125,1352445161#8.75_1,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
125,1352445161#8.75_2,10.37,0.0,0.0,0.0,0.0,966.67,0.0
125,1352445161#8.75_3,10.37,0.0,0.0,0.0,0.0,966.67,0.0
125,477913073#10_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
125,477913073#10_1,10.03,0.16,1.59,163.64,163.64,1033.33,0.0
125,477913073#10_2,11.23,0.37,3.71,381.82,381.82,1033.33,0.0
125,1010526553#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
125,1010526553#5_1,10.37,0.0,0.0,0.0,0.0,966.67,0.0
125,1010526553#5_2,10.37,0.0,0.0,0.0,0.0,966.67,0.0
125,833772151#2_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
125,833772151#2_1,9.82,0.0,0.0,0.0,0.0,1000.0,0.0
125,833772151#2_2,9.82,0.0,0.0,0.0,0.0,1000.0,0.0
190,1352445161#8.75_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
190,1352445161#8.75_1,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
190,1352445161#8.75_2,9.42,0.0,0.0,0.0,0.0,1015.38,0.0
190,1352445161#8.75_3,9.42,0.0,0.0,0.0,0.0,1015.38,0.0
190,477913073#10_0,0.0,0.15,0.0,332.31,332.31,2200.0,0.0
190,477913073#10_1,11.09,0.23,2.22,221.54,221.54,981.54,0.0
190,477913073#10_2,10.64,0.14,1.38,138.46,138.46,981.54,0.0
190,1010526553#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
190,1010526553#5_1,9.42,0.0,0.0,0.0,0.0,1015.38,0.0
190,1010526553#5_2,9.42,0.0,0.0,0.0,0.0,1015.38,0.0
190,833772151#2_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
190,833772151#2_1,9.97,0.0,0.0,0.0,0.0,981.54,0.0
190,833772151#2_2,9.97,0.0,0.0,0.0,0.0,981.54,0.0
256,1352445161#8.75_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
256,1352445161#8.75_1,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
256,1352445161#8.75_2,9.82,0.0,0.0,0.0,0.0,1000.0,0.0
256,1352445161#8.75_3,9.82,0.0,0.0,0.0,0.0,1000.0,0.0
256,477913073#10_0,0.0,0.05,0.0,109.09,109.09,2200.0,0.0
256,477913073#10_1,9.28,0.0,0.0,0.0,0.0,1033.33,0.0
256,477913073#10_2,9.28,0.0,0.0,0.0,0.0,1033.33,0.0
256,1010526553#5_0,0.0,0.04,0.0,81.82,81.82,2200.0,0.0
256,1010526553#5_1,9.82,0.0,0.0,0.0,0.0,1000.0,0.0
256,1010526553#5_2,11.88,0.38,3.82,381.82,381.82,1000.0,0.0
256,833772151#2_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
256,833772151#2_1,9.82,0.0,0.0,0.0,0.0,1000.0,0.0
256,833772151#2_2,9.82,0.0,0.0,0.0,0.0,1000.0,0.0
322,1352445161#8.75_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
322,1352445161#8.75_1,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
322,1352445161#8.75_2,9.28,0.0,0.0,0.0,0.0,1033.33,0.0
