Time,Lane,Delay_s,Saturation,Avg_Queue_Veh,Inflow_PCU_h,TotalDemand_h,Capacity_h,Residual_NGE
65,156084447#6_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
65,156084447#6_1,9.03,0.0,0.0,0.0,0.0,1031.25,0.0
65,156084447#6_2,9.03,0.0,0.0,0.0,0.0,1031.25,0.0
65,537517150#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
65,537517150#5_1,9.03,0.0,0.0,0.0,0.0,1031.25,0.0
65,537517150#5_2,9.03,0.0,0.0,0.0,0.0,1031.25,0.0
65,156084437#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
65,156084437#5_1,9.03,0.0,0.0,0.0,0.0,1031.25,0.0
65,156084437#5_2,9.03,0.0,0.0,0.0,0.0,1031.25,0.0
65,-156084515#1.87_0,0.0,0.32,0.0,703.12,703.12,2200.0,0.0
130,156084447#6_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
130,156084447#6_1,9.42,0.0,0.0,0.0,0.0,1015.38,0.0
130,156084447#6_2,9.42,0.0,0.0,0.0,0.0,1015.38,0.0
130,537517150#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
130,537517150#5_1,9.97,0.0,0.0,0.0,0.0,981.54,0.0
130,537517150#5_2,9.97,0.0,0.0,0.0,0.0,981.54,0.0
130,156084437#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
130,156084437#5_1,9.42,0.0,0.0,0.0,0.0,1015.38,0.0
130,156084437#5_2,9.42,0.0,0.0,0.0,0.0,1015.38,0.0
130,-156084515#1.87_0,0.0,0.37,0.0,803.08,803.08,2200.0,0.0
196,156084447#6_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
196,156084447#6_1,10.37,0.0,0.0,0.0,0.0,966.67,0.0
196,156084447#6_2,10.37,0.0,0.0,0.0,0.0,966.67,0.0
196,537517150#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
196,537517150#5_1,9.82,0.0,0.0,0.0,0.0,1000.0,0.0
196,537517150#5_2,9.82,0.0,0.0,0.0,0.0,1000.0,0.0
196,156084437#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
196,156084437#5_1,9.82,0.0,0.0,0.0,0.0,1000.0,0.0
196,156084437#5_2,9.82,0.0,0.0,0.0,0.0,1000.0,0.0
196,-156084515#1.87_0,0.0,0.33,0.0,736.36,736.36,2200.0,0.0
262,156084447#6_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
262,156084447#6_1,9.82,0.0,0.0,0.0,0.0,1000.0,0.0
262,156084447#6_2,9.82,0.0,0.0,0.0,0.0,1000.0,0.0
262,537517150#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
262,537517150#5_1,9.82,0.0,0.0,0.0,0.0,1000.0,0.0
262,537517150#5_2,9.82,0.0,0.0,0.0,0.0,1000.0,0.0
262,156084437#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
262,156084437#5_1,9.82,0.0,0.0,0.0,0.0,1000.0,0.0
262,156084437#5_2,9.82,0.0,0.0,0.0,0.0,1000.0,0.0
262,-156084515#1.87_0,0.0,0.05,0.0,109.09,109.09,2200.0,0.0
328,156084447#6_0,0.0,0.05,0.0,109.09,109.09,2200.0,0.0
328,156084447#6_1,10.37,0.0,0.0,0.0,0.0,966.67,0.0
328,156084447#6_2,10.37,0.0,0.0,0.0,0.0,966.67,0.0
328,537517150#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
328,537517150#5_1,9.28,0.0,0.0,0.0,0.0,1033.33,0.0
328,537517150#5_2,9.82,0.0,0.0,0.0,0.0,1000.0,0.0
328,156084437#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
328,156084437#5_1,9.82,0.0,0.0,0.0,0.0,1000.0,0.0
328,156084437#5_2,9.82,0.0,0.0,0.0,0.0,1000.0,0.0
328,-156084515#1.87_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
393,156084447#6_0,0.0,0.34,0.0,747.69,747.69,2200.0,0.0
393,156084447#6_1,10.19,0.16,1.62,166.15,166.15,1015.38,0.0
