Time,Lane,Delay_s,Saturation,Avg_Queue_Veh,Inflow_PCU_h,TotalDemand_h,Capacity_h,Residual_NGE
57,1352445161#8.75_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
57,1352445161#8.75_1,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
57,1352445161#8.75_2,6.04,0.0,0.0,0.0,0.0,1178.57,0.0
57,1352445161#8.75_3,6.04,0.0,0.0,0.0,0.0,1178.57,0.0
57,477913073#10_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
57,477913073#10_1,10.94,0.0,0.0,0.0,0.0,825.0,0.0
57,477913073#10_2,13.03,0.43,3.44,353.57,353.57,825.0,0.0
57,1010526553#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
57,1010526553#5_1,6.04,0.0,0.0,0.0,0.0,1178.57,0.0
57,1010526553#5_2,6.04,0.0,0.0,0.0,0.0,1178.57,0.0
57,833772151#2_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
57,833772151#2_1,10.94,0.0,0.0,0.0,0.0,825.0,0.0
57,833772151#2_2,10.94,0.0,0.0,0.0,0.0,825.0,0.0
101,1352445161#8.75_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
101,1352445161#8.75_1,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
101,1352445161#8.75_2,9.56,0.0,0.0,0.0,0.0,750.0,0.0
101,1352445161#8.75_3,9.56,0.0,0.0,0.0,0.0,750.0,0.0
101,477913073#10_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
101,477913073#10_1,5.2,0.07,0.48,81.82,81.82,1150.0,0.0
101,477913073#10_2,6.78,0.5,3.34,572.73,572.73,1150.0,0.0
101,1010526553#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
101,1010526553#5_1,10.23,0.0,0.0,0.0,0.0,700.0,0.0
101,1010526553#5_2,10.23,0.0,0.0,0.0,0.0,700.0,0.0
101,833772151#2_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
101,833772151#2_1,5.01,0.0,0.0,0.0,0.0,1150.0,0.0
101,833772151#2_2,5.01,0.0,0.0,0.0,0.0,1150.0,0.0
136,1352445161#8.75_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
136,1352445161#8.75_1,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
136,1352445161#8.75_2,5.71,0.0,0.0,0.0,0.0,942.86,0.0
136,1352445161#8.75_3,5.71,0.0,0.0,0.0,0.0,942.86,0.0
136,477913073#10_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
136,477913073#10_1,6.3,0.22,1.14,205.71,205.71,942.86,0.0
136,477913073#10_2,6.15,0.16,0.86,154.29,154.29,942.86,0.0
136,1010526553#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
136,1010526553#5_1,5.71,0.0,0.0,0.0,0.0,942.86,0.0
136,1010526553#5_2,5.71,0.0,0.0,0.0,0.0,942.86,0.0
136,833772151#2_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
136,833772151#2_1,5.71,0.0,0.0,0.0,0.0,942.86,0.0
136,833772151#2_2,5.71,0.0,0.0,0.0,0.0,942.86,0.0
178,1352445161#8.75_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
178,1352445161#8.75_1,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
178,1352445161#8.75_2,9.33,0.0,0.0,0.0,0.0,733.33,0.0
178,1352445161#8.75_3,9.33,0.0,0.0,0.0,0.0,733.33,0.0
178,477913073#10_0,0.0,0.16,0.0,342.86,342.86,2200.0,0.0
178,477913073#10_1,5.69,0.16,1.0,171.43,171.43,1100.0,0.0
178,477913073#10_2,5.46,0.08,0.5,85.71,85.71,1100.0,0.0
178,1010526553#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
178,1010526553#5_1,9.33,0.0,0.0,0.0,0.0,733.33,0.0
178,1010526553#5_2,9.33,0.0,0.0,0.0,0.0,733.33,0.0
178,833772151#2_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
178,833772151#2_1,5.25,0.0,0.0,0.0,0.0,1100.0,0.0
178,833772151#2_2,5.25,0.0,0.0,0.0,0.0,1100.0,0.0
214,1352445161#8.75_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
214,1352445161#8.75_1,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
214,1352445161#8.75_2,6.12,0.0,0.0,0.0,0.0,916.67,0.0
214,1352445161#8.75_3,6.12,0.0,0.0,0.0,0.0,916.67,0.0
214,477913073#10_0,0.0,0.09,0.0,200.0,200.0,2200.0,0.0
214,477913073#10_1,6.12,0.0,0.0,0.0,0.0,916.67,0.0
214,477913073#10_2,6.12,0.0,0.0,0.0,0.0,916.67,0.0
214,1010526553#5_0,0.0,0.05,0.0,100.0,100.0,2200.0,0.0
214,1010526553#5_1,6.12,0.0,0.0,0.0,0.0,916.67,0.0
214,1010526553#5_2,6.12,0.0,0.0,0.0,0.0,916.67,0.0
214,833772151#2_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
214,833772151#2_1,6.12,0.0,0.0,0.0,0.0,916.67,0.0
214,833772151#2_2,6.12,0.0,0.0,0.0,0.0,916.67,0.0
250,1352445161#8.75_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
250,1352445161#8.75_1,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
250,1352445161#8.75_2,6.12,0.0,0.0,0.0,0.0,916.67,0.0
250,1352445161#8.75_3,6.12,0.0,0.0,0.0,0.0,916.67,0.0
250,477913073#10_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
250,477913073#10_1,5.56,0.0,0.0,0.0,0.0,977.78,0.0
250,477913073#10_2,5.56,0.0,0.0,0.0,0.0,977.78,0.0
250,1010526553#5_0,0.0,0.02,0.0,50.0,50.0,2200.0,0.0
250,1010526553#5_1,6.12,0.0,0.0,0.0,0.0,916.67,0.0
250,1010526553#5_2,7.93,0.55,2.92,500.0,500.0,916.67,0.0
250,833772151#2_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
250,833772151#2_1,6.12,0.0,0.0,0.0,0.0,916.67,0.0
250,833772151#2_2,6.12,0.0,0.0,0.0,0.0,916.67,0.0
