Time,Lane,Delay_s,Saturation,Avg_Queue_Veh,Inflow_PCU_h,TotalDemand_h,Capacity_h,Residual_NGE
60,156084447#6_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
60,156084447#6_1,10.38,0.0,0.0,0.0,0.0,894.92,0.0
60,156084447#6_2,10.38,0.0,0.0,0.0,0.0,894.92,0.0
60,537517150#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
60,537517150#5_1,7.13,0.0,0.0,0.0,0.0,1118.64,0.0
60,537517150#5_2,7.13,0.0,0.0,0.0,0.0,1118.64,0.0
60,156084437#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
60,156084437#5_1,10.38,0.0,0.0,0.0,0.0,894.92,0.0
60,156084437#5_2,10.38,0.0,0.0,0.0,0.0,894.92,0.0
60,-156084515#1.87_0,0.0,0.29,0.0,640.68,640.68,2200.0,0.0
98,156084447#6_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
98,156084447#6_1,6.37,0.0,0.0,0.0,0.0,926.32,0.0
98,156084447#6_2,6.37,0.0,0.0,0.0,0.0,926.32,0.0
98,537517150#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
98,537517150#5_1,5.8,0.0,0.0,0.0,0.0,984.21,0.0
98,537517150#5_2,6.37,0.0,0.0,0.0,0.0,926.32,0.0
98,156084437#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
98,156084437#5_1,6.96,0.0,0.0,0.0,0.0,868.42,0.0
98,156084437#5_2,6.96,0.0,0.0,0.0,0.0,868.42,0.0
98,-156084515#1.87_0,0.0,0.45,0.0,994.74,994.74,2200.0,0.0
139,156084447#6_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
139,156084447#6_1,8.24,0.0,0.0,0.0,0.0,804.88,0.0
139,156084447#6_2,8.24,0.0,0.0,0.0,0.0,804.88,0.0
139,537517150#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
139,537517150#5_1,5.38,0.0,0.0,0.0,0.0,1073.17,0.0
139,537517150#5_2,5.38,0.0,0.0,0.0,0.0,1073.17,0.0
139,156084437#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
139,156084437#5_1,8.24,0.0,0.0,0.0,0.0,804.88,0.0
139,156084437#5_2,8.24,0.0,0.0,0.0,0.0,804.88,0.0
139,-156084515#1.87_0,0.0,0.46,0.0,1009.76,1009.76,2200.0,0.0
185,156084447#6_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
185,156084447#6_1,10.45,0.0,0.0,0.0,0.0,717.39,0.0
185,156084447#6_2,10.45,0.0,0.0,0.0,0.0,717.39,0.0
185,537517150#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
185,537517150#5_1,5.26,0.0,0.0,0.0,0.0,1147.83,0.0
185,537517150#5_2,5.26,0.0,0.0,0.0,0.0,1147.83,0.0
185,156084437#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
185,156084437#5_1,10.45,0.0,0.0,0.0,0.0,717.39,0.0
185,156084437#5_2,10.45,0.0,0.0,0.0,0.0,717.39,0.0
185,-156084515#1.87_0,0.0,0.41,0.0,900.0,900.0,2200.0,0.0
221,156084447#6_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
221,156084447#6_1,6.12,0.0,0.0,0.0,0.0,916.67,0.0
221,156084447#6_2,6.12,0.0,0.0,0.0,0.0,916.67,0.0
221,537517150#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
221,537517150#5_1,6.12,0.0,0.0,0.0,0.0,916.67,0.0
221,537517150#5_2,6.12,0.0,0.0,0.0,0.0,916.67,0.0
221,156084437#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
221,156084437#5_1,6.12,0.0,0.0,0.0,0.0,916.67,0.0
221,156084437#5_2,6.12,0.0,0.0,0.0,0.0,916.67,0.0
221,-156084515#1.87_0,0.0,0.18,0.0,400.0,400.0,2200.0,0.0
257,156084447#6_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
257,156084447#6_1,6.12,0.0,0.0,0.0,0.0,916.67,0.0
257,156084447#6_2,6.12,0.0,0.0,0.0,0.0,916.67,0.0
257,537517150#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
257,537517150#5_1,6.12,0.0,0.0,0.0,0.0,916.67,0.0
257,537517150#5_2,6.12,0.0,0.0,0.0,0.0,916.67,0.0
257,156084437#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
257,156084437#5_1,6.12,0.0,0.0,0.0,0.0,916.67,0.0
257,156084437#5_2,5.56,0.0,0.0,0.0,0.0,977.78,0.0
257,-156084515#1.87_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
292,156084447#6_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
292,156084447#6_1,6.3,0.0,0.0,0.0,0.0,880.0,0.0
292,156084447#6_2,6.3,0.0,0.0,0.0,0.0,880.0,0.0
292,537517150#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
292,537517150#5_1,6.3,0.0,0.0,0.0,0.0,880.0,0.0
292,537517150#5_2,6.3,0.0,0.0,0.0,0.0,880.0,0.0
292,156084437#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
292,156084437#5_1,5.71,0.0,0.0,0.0,0.0,942.86,0.0
292,156084437#5_2,5.71,0.0,0.0,0.0,0.0,942.86,0.0
292,-156084515#1.87_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
328,156084447#6_0,0.0,0.09,0.0,200.0,200.0,2200.0,0.0
