Time,Lane,Delay_s,Saturation,Avg_Queue_Veh,Inflow_PCU_h,TotalDemand_h,Capacity_h,Residual_NGE
60,1352445161#8.75_0,0.0,0.08,0.0,183.05,183.05,2200.0,0.0
60,1352445161#8.75_1,0.0,0.03,0.0,61.02,61.02,2200.0,0.0
60,1352445161#8.75_2,7.33,0.05,0.49,61.02,61.02,1118.64,0.0
60,1352445161#8.75_3,7.33,0.05,0.49,61.02,61.02,1118.64,0.0
60,477913073#10_0,0.0,0.17,0.0,366.1,366.1,2200.0,0.0
60,477913073#10_1,10.83,0.1,0.89,91.53,91.53,894.92,0.0
60,477913073#10_2,11.32,0.2,1.78,183.05,183.05,894.92,0.0
60,1010526553#5_0,0.0,0.18,0.0,396.61,396.61,2200.0,0.0
60,1010526553#5_1,8.27,0.27,2.46,305.08,305.08,1118.64,0.0
60,1010526553#5_2,7.55,0.11,0.98,122.03,122.03,1118.64,0.0
60,833772151#2_0,0.0,0.07,0.0,152.54,152.54,2200.0,0.0
60,833772151#2_1,10.68,0.07,0.59,61.02,61.02,894.92,0.0
60,833772151#2_2,10.83,0.1,0.89,91.53,91.53,894.92,0.0
126,1352445161#8.75_0,0.0,0.17,0.0,381.82,381.82,2200.0,0.0
126,1352445161#8.75_1,0.0,0.07,0.0,163.64,163.64,2200.0,0.0
126,1352445161#8.75_2,11.2,0.17,1.68,163.64,163.64,966.67,0.0
126,1352445161#8.75_3,11.2,0.17,1.68,163.64,163.64,966.67,0.0
126,477913073#10_0,0.0,0.4,0.0,872.73,872.73,2200.0,0.0
126,477913073#10_1,10.3,0.21,2.12,218.18,218.18,1033.33,0.0
126,477913073#10_2,9.89,0.13,1.33,136.36,136.36,1033.33,0.0
126,1010526553#5_0,0.0,0.05,0.0,109.09,109.09,2200.0,0.0
126,1010526553#5_1,11.21,0.27,2.73,272.73,272.73,1000.0,0.0
126,1010526553#5_2,10.07,0.05,0.55,54.55,54.55,1000.0,0.0
126,833772151#2_0,0.0,0.11,0.0,245.45,245.45,2200.0,0.0
126,833772151#2_1,9.52,0.05,0.53,54.55,54.55,1033.33,0.0
126,833772151#2_2,10.3,0.21,2.12,218.18,218.18,1033.33,0.0
207,1352445161#8.75_0,0.0,0.14,0.0,311.11,311.11,2200.0,0.0
207,1352445161#8.75_1,0.0,0.09,0.0,200.0,200.0,2200.0,0.0
207,1352445161#8.75_2,12.55,0.19,2.39,200.0,200.0,1032.1,0.0
207,1352445161#8.75_3,12.55,0.19,2.39,200.0,200.0,1032.1,0.0
207,477913073#10_0,0.0,0.42,0.0,933.33,933.33,2200.0,0.0
207,477913073#10_1,11.53,0.02,0.27,22.22,22.22,1032.1,0.0
207,477913073#10_2,12.84,0.24,2.92,244.44,244.44,1032.1,0.0
207,1010526553#5_0,0.0,0.27,0.0,600.0,600.0,2200.0,0.0
207,1010526553#5_1,12.15,0.13,1.59,133.33,133.33,1032.1,0.0
207,1010526553#5_2,11.77,0.06,0.8,66.67,66.67,1032.1,0.0
207,833772151#2_0,0.0,0.15,0.0,333.33,333.33,2200.0,0.0
207,833772151#2_1,12.59,0.11,1.36,111.11,111.11,1004.94,0.0
207,833772151#2_2,13.29,0.22,2.72,222.22,222.22,1004.94,0.0
292,1352445161#8.75_0,0.0,0.21,0.0,465.88,465.88,2200.0,0.0
292,1352445161#8.75_1,0.0,0.17,0.0,381.18,381.18,2200.0,0.0
292,1352445161#8.75_2,13.77,0.21,2.71,211.76,211.76,1009.41,0.0
292,1352445161#8.75_3,13.77,0.21,2.71,211.76,211.76,1009.41,0.0
292,477913073#10_0,0.0,0.14,0.0,317.65,317.65,2200.0,0.0
292,477913073#10_1,13.18,0.2,2.65,211.76,211.76,1035.29,0.0
292,477913073#10_2,13.32,0.23,2.91,232.94,232.94,1035.29,0.0
