Time,Lane,Delay_s,Saturation,Avg_Queue_Veh,Inflow_PCU_h,TotalDemand_h,Capacity_h,Residual_NGE
62,156084447#6_0,0.0,0.19,0.0,413.11,413.11,2200.0,0.0
62,156084447#6_1,11.08,0.22,2.01,206.56,206.56,937.7,0.0
62,156084447#6_2,11.6,0.31,2.87,295.08,295.08,937.7,0.0
62,537517150#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
62,537517150#5_1,7.88,0.0,0.0,0.0,0.0,1081.97,0.0
62,537517150#5_2,7.88,0.0,0.0,0.0,0.0,1081.97,0.0
62,156084437#5_0,0.0,0.13,0.0,295.08,295.08,2200.0,0.0
62,156084437#5_1,10.04,0.0,0.0,0.0,0.0,937.7,0.0
62,156084437#5_2,10.04,0.0,0.0,0.0,0.0,937.7,0.0
62,-156084515#1.87_0,0.0,0.16,0.0,354.1,354.1,2200.0,0.0
128,156084447#6_0,0.0,0.21,0.0,463.64,463.64,2200.0,0.0
128,156084447#6_1,10.9,0.32,3.18,327.27,327.27,1033.33,0.0
128,156084447#6_2,11.23,0.37,3.71,381.82,381.82,1033.33,0.0
128,537517150#5_0,0.0,0.11,0.0,245.45,245.45,2200.0,0.0
128,537517150#5_1,10.63,0.06,0.56,54.55,54.55,966.67,0.0
128,537517150#5_2,10.77,0.08,0.84,81.82,81.82,966.67,0.0
128,156084437#5_0,0.0,0.17,0.0,381.82,381.82,2200.0,0.0
128,156084437#5_1,10.2,0.08,0.82,81.82,81.82,1000.0,0.0
128,156084437#5_2,9.94,0.03,0.27,27.27,27.27,1000.0,0.0
128,-156084515#1.87_0,0.0,0.16,0.0,354.55,354.55,2200.0,0.0
209,156084447#6_0,0.0,0.37,0.0,822.22,822.22,2200.0,0.0
209,156084447#6_1,16.21,0.57,7.06,577.78,577.78,1004.94,0.0
209,156084447#6_2,15.99,0.55,6.79,555.56,555.56,1004.94,0.0
209,537517150#5_0,0.0,0.17,0.0,377.78,377.78,2200.0,0.0
209,537517150#5_1,12.15,0.13,1.59,133.33,133.33,1032.1,0.0
209,537517150#5_2,11.41,0.0,0.0,0.0,0.0,1032.1,0.0
209,156084437#5_0,0.0,0.1,0.0,222.22,222.22,2200.0,0.0
209,156084437#5_1,11.95,0.0,0.0,0.0,0.0,1004.94,0.0
209,156084437#5_2,12.72,0.13,1.63,133.33,133.33,1004.94,0.0
209,-156084515#1.87_0,0.0,0.08,0.0,177.78,177.78,2200.0,0.0
294,156084447#6_0,0.0,0.2,0.0,444.71,444.71,2200.0,0.0
294,156084447#6_1,14.08,0.33,4.24,338.82,338.82,1035.29,0.0
294,156084447#6_2,15.3,0.47,6.09,487.06,487.06,1035.29,0.0
294,537517150#5_0,0.0,0.09,0.0,190.59,190.59,2200.0,0.0
294,537517150#5_1,11.91,0.0,0.0,0.0,0.0,1035.29,0.0
294,537517150#5_2,12.77,0.14,1.85,148.24,148.24,1035.29,0.0
294,156084437#5_0,0.0,0.12,0.0,254.12,254.12,2200.0,0.0
294,156084437#5_1,12.39,0.08,1.06,84.71,84.71,1035.29,0.0
294,156084437#5_2,13.04,0.18,2.38,190.59,190.59,1035.29,0.0
294,-156084515#1.87_0,0.0,0.11,0.0,232.94,232.94,2200.0,0.0
379,156084447#6_0,0.0,0.22,0.0,487.06,487.06,2200.0,0.0
379,156084447#6_1,14.24,0.35,4.5,360.0,360.0,1035.29,0.0
379,156084447#6_2,18.28,0.68,8.97,698.82,698.82,1035.29,0.24
379,537517150#5_0,0.0,0.27,0.0,592.94,592.94,2200.0,0.0
379,537517150#5_1,12.95,0.08,1.08,84.71,84.71,1009.41,0.0
379,537517150#5_2,12.45,0.0,0.0,0.0,0.0,1009.41,0.0
379,156084437#5_0,0.0,0.13,0.0,296.47,296.47,2200.0,0.0
379,156084437#5_1,12.39,0.08,1.06,84.71,84.71,1035.29,0.0
379,156084437#5_2,14.08,0.33,4.24,338.82,338.82,1035.29,0.0
379,-156084515#1.87_0,0.0,0.23,0.0,508.24,508.24,2200.0,0.0
465,156084447#6_0,0.0,0.22,0.0,481.4,481.4,2200.0,0.0
465,156084447#6_1,12.42,0.02,0.27,20.93,20.93,1023.26,0.0
465,156084447#6_2,14.27,0.3,3.87,293.02,302.92,1023.26,0.0
465,537517150#5_0,0.0,0.12,0.0,272.09,272.09,2200.0,0.0
465,537517150#5_1,13.18,0.14,1.87,146.51,146.51,1023.26,0.0
465,537517150#5_2,12.92,0.1,1.34,104.65,104.65,1023.26,0.0
465,156084437#5_0,0.0,0.14,0.0,313.95,313.95,2200.0,0.0
465,156084437#5_1,12.3,0.0,0.0,0.0,0.0,1023.26,0.0
465,156084437#5_2,13.32,0.16,2.14,167.44,167.44,1023.26,0.0
465,-156084515#1.87_0,0.0,0.17,0.0,376.74,376.74,2200.0,0.0
550,156084447#6_0,0.0,0.24,0.0,529.41,529.41,2200.0,0.0
550,156084447#6_1,12.69,0.04,0.54,42.35,42.35,1009.41,0.0
550,156084447#6_2,14.88,0.36,4.6,360.0,360.0,1009.41,0.0
550,537517150#5_0,0.0,0.13,0.0,275.29,275.29,2200.0,0.0
550,537517150#5_1,11.91,0.0,0.0,0.0,0.0,1035.29,0.0
550,537517150#5_2,12.39,0.08,1.06,84.71,84.71,1035.29,0.0
550,156084437#5_0,0.0,0.15,0.0,338.82,338.82,2200.0,0.0
550,156084437#5_1,13.21,0.13,1.62,127.06,127.06,1009.41,0.0
550,156084437#5_2,13.35,0.15,1.89,148.24,148.24,1009.41,0.0
550,-156084515#1.87_0,0.0,0.05,0.0,105.88,105.88,2200.0,0.0
