Time,Lane,Delay_s,Saturation,Avg_Queue_Veh,Inflow_PCU_h,TotalDemand_h,Capacity_h,Residual_NGE
62,1352445161#8.75_0,0.0,0.08,0.0,177.05,177.05,2200.0,0.0
62,1352445161#8.75_1,0.0,0.03,0.0,59.02,59.02,2200.0,0.0
62,1352445161#8.75_2,8.62,0.06,0.52,59.02,59.02,1045.9,0.0
62,1352445161#8.75_3,8.62,0.06,0.52,59.02,59.02,1045.9,0.0
62,477913073#10_0,0.0,0.16,0.0,354.1,354.1,2200.0,0.0
62,477913073#10_1,9.87,0.09,0.84,88.52,88.52,973.77,0.0
62,477913073#10_2,10.3,0.18,1.67,177.05,177.05,973.77,0.0
62,1010526553#5_0,0.0,0.17,0.0,383.61,383.61,2200.0,0.0
62,1010526553#5_1,9.1,0.27,2.54,295.08,295.08,1081.97,0.0
62,1010526553#5_2,8.32,0.11,1.02,118.03,118.03,1081.97,0.0
62,833772151#2_0,0.0,0.07,0.0,147.54,147.54,2200.0,0.0
62,833772151#2_1,9.74,0.06,0.56,59.02,59.02,973.77,0.0
62,833772151#2_2,9.87,0.09,0.84,88.52,88.52,973.77,0.0
128,1352445161#8.75_0,0.0,0.17,0.0,381.82,381.82,2200.0,0.0
128,1352445161#8.75_1,0.0,0.07,0.0,163.64,163.64,2200.0,0.0
128,1352445161#8.75_2,10.61,0.16,1.64,163.64,163.64,1000.0,0.0
128,1352445161#8.75_3,10.61,0.16,1.64,163.64,163.64,1000.0,0.0
128,477913073#10_0,0.0,0.3,0.0,654.55,654.55,2200.0,0.0
128,477913073#10_1,10.9,0.22,2.18,218.18,218.18,1000.0,0.0
128,477913073#10_2,10.61,0.16,1.64,163.64,163.64,1000.0,0.0
128,1010526553#5_0,0.0,0.07,0.0,163.64,163.64,2200.0,0.0
128,1010526553#5_1,11.21,0.27,2.73,272.73,272.73,1000.0,0.0
128,1010526553#5_2,10.07,0.05,0.55,54.55,54.55,1000.0,0.0
128,833772151#2_0,0.0,0.11,0.0,245.45,245.45,2200.0,0.0
128,833772151#2_1,10.07,0.05,0.55,54.55,54.55,1000.0,0.0
128,833772151#2_2,10.9,0.22,2.18,218.18,218.18,1000.0,0.0
194,1352445161#8.75_0,0.0,0.15,0.0,327.27,327.27,2200.0,0.0
194,1352445161#8.75_1,0.0,0.11,0.0,245.45,245.45,2200.0,0.0
194,1352445161#8.75_2,10.75,0.19,1.91,190.91,190.91,1000.0,0.0
194,1352445161#8.75_3,10.75,0.19,1.91,190.91,190.91,1000.0,0.0
194,477913073#10_0,0.0,0.53,0.0,1172.73,1172.73,2200.0,0.0
194,477913073#10_1,10.47,0.14,1.36,136.36,136.36,1000.0,0.0
194,477913073#10_2,11.21,0.27,2.73,272.73,272.73,1000.0,0.0
194,1010526553#5_0,0.0,0.25,0.0,545.45,545.45,2200.0,0.0
194,1010526553#5_1,11.05,0.25,2.45,245.45,245.45,1000.0,0.0
194,1010526553#5_2,9.82,0.0,0.0,0.0,0.0,1000.0,0.0
194,833772151#2_0,0.0,0.17,0.0,381.82,381.82,2200.0,0.0
194,833772151#2_1,10.33,0.11,1.09,109.09,109.09,1000.0,0.0
194,833772151#2_2,11.53,0.33,3.27,327.27,327.27,1000.0,0.0
259,1352445161#8.75_0,0.0,0.23,0.0,498.46,498.46,2200.0,0.0
259,1352445161#8.75_1,0.0,0.11,0.0,249.23,249.23,2200.0,0.0
259,1352445161#8.75_2,10.48,0.22,2.15,221.54,221.54,1015.38,0.0
259,1352445161#8.75_3,11.27,0.35,3.5,360.0,360.0,1015.38,0.0
259,477913073#10_0,0.0,0.18,0.0,387.69,387.69,2200.0,0.0
259,477913073#10_1,10.78,0.17,1.66,166.15,166.15,981.54,0.0
259,477913073#10_2,11.09,0.23,2.22,221.54,221.54,981.54,0.0
259,1010526553#5_0,0.0,0.14,0.0,304.62,304.62,2200.0,0.0
259,1010526553#5_1,11.24,0.25,2.49,249.23,249.23,981.54,0.0
259,1010526553#5_2,10.93,0.2,1.94,193.85,193.85,981.54,0.0
259,833772151#2_0,0.0,0.18,0.0,387.69,387.69,2200.0,0.0
259,833772151#2_1,9.67,0.05,0.54,55.38,55.38,1015.38,0.0
259,833772151#2_2,10.94,0.3,2.96,304.62,304.62,1015.38,0.0
325,1352445161#8.75_0,0.0,0.09,0.0,190.91,190.91,2200.0,0.0
325,1352445161#8.75_1,0.0,0.09,0.0,190.91,190.91,2200.0,0.0
325,1352445161#8.75_2,10.75,0.19,1.91,190.91,190.91,1000.0,0.0
325,1352445161#8.75_3,11.05,0.25,2.45,245.45,245.45,1000.0,0.0
325,477913073#10_0,0.0,0.25,0.0,545.45,545.45,2200.0,0.0
325,477913073#10_1,11.37,0.3,3.0,300.0,300.0,1000.0,0.0
325,477913073#10_2,13.05,0.55,5.45,545.45,545.45,1000.0,0.0
325,1010526553#5_0,0.0,0.02,0.0,54.55,54.55,2200.0,0.0
325,1010526553#5_1,10.47,0.14,1.36,136.36,136.36,1000.0,0.0
325,1010526553#5_2,10.2,0.08,0.82,81.82,81.82,1000.0,0.0
