Time,Lane,Delay_s,Saturation,Avg_Queue_Veh,Inflow_PCU_h,TotalDemand_h,Capacity_h,Residual_NGE
39,156084447#6_0,0.0,0.19,0.0,426.32,426.32,2200.0,0.0
39,156084447#6_1,0.84,0.0,0.0,0.0,0.0,1736.84,0.0
39,156084447#6_2,0.84,0.0,0.0,0.0,0.0,1736.84,0.0
39,537517150#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
39,537517150#5_1,15.21,0.0,0.0,0.0,0.0,231.58,0.0
39,537517150#5_2,15.21,0.0,0.0,0.0,0.0,231.58,0.0
39,156084437#5_0,0.0,0.15,0.0,331.58,331.58,2200.0,0.0
39,156084437#5_1,0.84,0.0,0.0,0.0,0.0,1736.84,0.0
39,156084437#5_2,0.84,0.0,0.0,0.0,0.0,1736.84,0.0
39,-156084515#1.87_0,0.0,0.13,0.0,284.21,284.21,2200.0,0.0
105,156084447#6_0,0.0,0.32,0.0,709.09,709.09,2200.0,0.0
105,156084447#6_1,11.7,0.35,3.55,354.55,354.55,1000.0,0.0
105,156084447#6_2,11.37,0.3,3.0,300.0,300.0,1000.0,0.0
105,537517150#5_0,0.0,0.04,0.0,81.82,81.82,2200.0,0.0
105,537517150#5_1,10.07,0.05,0.55,54.55,54.55,1000.0,0.0
105,537517150#5_2,10.2,0.08,0.82,81.82,81.82,1000.0,0.0
105,156084437#5_0,0.0,0.17,0.0,381.82,381.82,2200.0,0.0
105,156084437#5_1,10.91,0.11,1.12,109.09,109.09,966.67,0.0
105,156084437#5_2,10.63,0.06,0.56,54.55,54.55,966.67,0.0
105,-156084515#1.87_0,0.0,0.26,0.0,572.73,572.73,2200.0,0.0
170,156084447#6_0,0.0,0.19,0.0,415.38,415.38,2200.0,0.0
170,156084447#6_1,10.06,0.14,1.35,138.46,138.46,1015.38,0.0
170,156084447#6_2,10.19,0.16,1.62,166.15,166.15,1015.38,0.0
170,537517150#5_0,0.0,0.26,0.0,581.54,581.54,2200.0,0.0
170,537517150#5_1,10.5,0.11,1.11,110.77,110.77,981.54,0.0
170,537517150#5_2,10.23,0.06,0.55,55.38,55.38,981.54,0.0
170,156084437#5_0,0.0,0.1,0.0,221.54,221.54,2200.0,0.0
170,156084437#5_1,9.67,0.05,0.54,55.38,55.38,1015.38,0.0
170,156084437#5_2,10.19,0.16,1.62,166.15,166.15,1015.38,0.0
170,-156084515#1.87_0,0.0,0.13,0.0,276.92,276.92,2200.0,0.0
236,156084447#6_0,0.0,0.3,0.0,654.55,654.55,2200.0,0.0
236,156084447#6_1,14.02,0.59,5.89,572.73,572.73,966.67,0.0
236,156084447#6_2,12.94,0.45,4.48,436.36,436.36,966.67,0.0
236,537517150#5_0,0.0,0.05,0.0,109.09,109.09,2200.0,0.0
236,537517150#5_1,9.76,0.11,1.06,109.09,109.09,1033.33,0.0
236,537517150#5_2,10.03,0.16,1.59,163.64,163.64,1033.33,0.0
236,156084437#5_0,0.0,0.02,0.0,54.55,54.55,2200.0,0.0
236,156084437#5_1,9.82,0.0,0.0,0.0,0.0,1000.0,0.0
236,156084437#5_2,10.47,0.14,1.36,136.36,136.36,1000.0,0.0
236,-156084515#1.87_0,0.0,0.17,0.0,381.82,381.82,2200.0,0.0
301,156084447#6_0,0.0,0.21,0.0,470.77,470.77,2200.0,0.0
301,156084447#6_1,12.18,0.49,4.85,498.46,498.46,1015.38,0.0
301,156084447#6_2,16.2,0.71,7.62,720.0,720.0,1015.38,0.62
301,537517150#5_0,0.0,0.15,0.0,332.31,332.31,2200.0,0.0
301,537517150#5_1,9.97,0.0,0.0,0.0,0.0,981.54,0.0
301,537517150#5_2,10.64,0.14,1.38,138.46,138.46,981.54,0.0
301,156084437#5_0,0.0,0.24,0.0,526.15,526.15,2200.0,0.0
301,156084437#5_1,10.06,0.14,1.35,138.46,138.46,1015.38,0.0
301,156084437#5_2,11.27,0.35,3.5,360.0,360.0,1015.38,0.0
301,-156084515#1.87_0,0.0,0.13,0.0,276.92,276.92,2200.0,0.0
367,156084447#6_0,0.0,0.26,0.0,572.73,572.73,2200.0,0.0
367,156084447#6_1,10.47,0.14,1.36,136.36,136.36,1000.0,0.0
367,156084447#6_2,17.02,0.72,7.84,681.82,715.55,1000.0,0.69
367,537517150#5_0,0.0,0.21,0.0,463.64,463.64,2200.0,0.0
367,537517150#5_1,10.33,0.11,1.09,109.09,109.09,1000.0,0.0
367,537517150#5_2,9.82,0.0,0.0,0.0,0.0,1000.0,0.0
367,156084437#5_0,0.0,0.15,0.0,327.27,327.27,2200.0,0.0
367,156084437#5_1,10.07,0.05,0.55,54.55,54.55,1000.0,0.0
367,156084437#5_2,10.9,0.22,2.18,218.18,218.18,1000.0,0.0
367,-156084515#1.87_0,0.0,0.24,0.0,518.18,518.18,2200.0,0.0
432,156084447#6_0,0.0,0.25,0.0,553.85,553.85,2200.0,0.0
432,156084447#6_1,10.06,0.14,1.35,138.46,138.46,1015.38,0.0
432,156084447#6_2,11.33,0.36,3.6,332.31,370.3,1015.38,0.0
432,537517150#5_0,0.0,0.18,0.0,387.69,387.69,2200.0,0.0
432,537517150#5_1,10.78,0.17,1.66,166.15,166.15,981.54,0.0
432,537517150#5_2,9.92,0.11,1.08,110.77,110.77,1015.38,0.0
432,156084437#5_0,0.0,0.13,0.0,276.92,276.92,2200.0,0.0
432,156084437#5_1,9.42,0.0,0.0,0.0,0.0,1015.38,0.0
432,156084437#5_2,9.92,0.11,1.08,110.77,110.77,1015.38,0.0
432,-156084515#1.87_0,0.0,0.28,0.0,609.23,609.23,2200.0,0.0
498,156084447#6_0,0.0,0.17,0.0,381.82,381.82,2200.0,0.0
498,156084447#6_1,9.94,0.03,0.27,27.27,27.27,1000.0,0.0
498,156084447#6_2,11.37,0.3,3.0,300.0,300.0,1000.0,0.0
498,537517150#5_0,0.0,0.2,0.0,436.36,436.36,2200.0,0.0
498,537517150#5_1,10.47,0.14,1.36,136.36,136.36,1000.0,0.0
498,537517150#5_2,11.05,0.25,2.45,245.45,245.45,1000.0,0.0
498,156084437#5_0,0.0,0.25,0.0,545.45,545.45,2200.0,0.0
498,156084437#5_1,10.2,0.08,0.82,81.82,81.82,1000.0,0.0
498,156084437#5_2,10.33,0.11,1.09,109.09,109.09,1000.0,0.0
498,-156084515#1.87_0,0.0,0.14,0.0,300.0,300.0,2200.0,0.0
564,156084447#6_0,0.0,0.15,0.0,327.27,327.27,2200.0,0.0
564,156084447#6_1,10.07,0.05,0.55,54.55,54.55,1000.0,0.0
564,156084447#6_2,10.75,0.19,1.91,190.91,190.91,1000.0,0.0
564,537517150#5_0,0.0,0.05,0.0,109.09,109.09,2200.0,0.0
564,537517150#5_1,9.28,0.0,0.0,0.0,0.0,1033.33,0.0
564,537517150#5_2,10.07,0.05,0.55,54.55,54.55,1000.0,0.0
564,156084437#5_0,0.0,0.01,0.0,27.27,27.27,2200.0,0.0
564,156084437#5_1,10.37,0.0,0.0,0.0,0.0,966.67,0.0
564,156084437#5_2,10.77,0.08,0.84,81.82,81.82,966.67,0.0
564,-156084515#1.87_0,0.0,0.05,0.0,109.09,109.09,2200.0,0.0
