Time,Lane,Delay_s,Saturation,Avg_Queue_Veh,Inflow_PCU_h,TotalDemand_h,Capacity_h,Residual_NGE
62,1352445161#8.75_0,0.0,0.08,0.0,177.05,177.05,2200.0,0.0
62,1352445161#8.75_1,0.0,0.03,0.0,59.02,59.02,2200.0,0.0
62,1352445161#8.75_2,8.09,0.05,0.51,59.02,59.02,1081.97,0.0
62,1352445161#8.75_3,8.09,0.05,0.51,59.02,59.02,1081.97,0.0
62,477913073#10_0,0.0,0.16,0.0,354.1,354.1,2200.0,0.0
62,477913073#10_1,9.87,0.09,0.84,88.52,88.52,973.77,0.0
62,477913073#10_2,10.3,0.18,1.67,177.05,177.05,973.77,0.0
62,1010526553#5_0,0.0,0.17,0.0,383.61,383.61,2200.0,0.0
62,1010526553#5_1,9.1,0.27,2.54,295.08,295.08,1081.97,0.0
62,1010526553#5_2,8.32,0.11,1.02,118.03,118.03,1081.97,0.0
62,833772151#2_0,0.0,0.07,0.0,147.54,147.54,2200.0,0.0
62,833772151#2_1,10.32,0.06,0.57,59.02,59.02,937.7,0.0
62,833772151#2_2,10.46,0.09,0.86,88.52,88.52,937.7,0.0
123,1352445161#8.75_0,0.0,0.19,0.0,413.11,413.11,2200.0,0.0
123,1352445161#8.75_1,0.0,0.08,0.0,177.05,177.05,2200.0,0.0
123,1352445161#8.75_2,3.93,0.12,1.03,177.05,177.05,1442.62,0.0
123,1352445161#8.75_3,3.93,0.12,1.03,177.05,177.05,1442.62,0.0
123,477913073#10_0,0.0,0.27,0.0,590.16,590.16,2200.0,0.0
123,477913073#10_1,17.58,0.05,0.38,29.51,29.51,540.98,0.0
123,477913073#10_2,18.59,0.27,1.89,147.54,147.54,540.98,0.0
123,1010526553#5_0,0.0,0.05,0.0,118.03,118.03,2200.0,0.0
123,1010526553#5_1,4.17,0.2,1.72,295.08,295.08,1442.62,0.0
123,1010526553#5_2,3.71,0.04,0.34,59.02,59.02,1442.62,0.0
123,833772151#2_0,0.0,0.11,0.0,236.07,236.07,2200.0,0.0
123,833772151#2_1,18.07,0.16,1.13,88.52,88.52,540.98,0.0
123,833772151#2_2,19.43,0.44,3.02,236.07,236.07,540.98,0.0
208,1352445161#8.75_0,0.0,0.15,0.0,338.82,338.82,2200.0,0.0
208,1352445161#8.75_1,0.0,0.09,0.0,190.59,190.59,2200.0,0.0
208,1352445161#8.75_2,13.04,0.18,2.38,190.59,190.59,1035.29,0.0
208,1352445161#8.75_3,13.04,0.18,2.38,190.59,190.59,1035.29,0.0
208,477913073#10_0,0.0,0.39,0.0,868.24,868.24,2200.0,0.0
208,477913073#10_1,13.49,0.17,2.16,169.41,169.41,1009.41,0.0
208,477913073#10_2,13.77,0.21,2.71,211.76,211.76,1009.41,0.0
208,1010526553#5_0,0.0,0.26,0.0,571.76,571.76,2200.0,0.0
208,1010526553#5_1,12.91,0.16,2.12,169.41,169.41,1035.29,0.0
208,1010526553#5_2,12.51,0.1,1.32,105.88,105.88,1035.29,0.0
208,833772151#2_0,0.0,0.17,0.0,381.18,381.18,2200.0,0.0
208,833772151#2_1,12.95,0.08,1.08,84.71,84.71,1009.41,0.0
208,833772151#2_2,13.77,0.21,2.71,211.76,211.76,1009.41,0.0
294,1352445161#8.75_0,0.0,0.19,0.0,418.6,418.6,2200.0,0.0
294,1352445161#8.75_1,0.0,0.17,0.0,376.74,376.74,2200.0,0.0
294,1352445161#8.75_2,13.6,0.2,2.67,209.3,209.3,1023.26,0.0
294,1352445161#8.75_3,13.6,0.2,2.67,209.3,209.3,1023.26,0.0
294,477913073#10_0,0.0,0.25,0.0,544.19,544.19,2200.0,0.0
294,477913073#10_1,13.74,0.23,2.94,230.23,230.23,1023.26,0.0
294,477913073#10_2,14.51,0.33,4.28,334.88,334.88,1023.26,0.0
294,1010526553#5_0,0.0,0.06,0.0,125.58,125.58,2200.0,0.0
294,1010526553#5_1,13.62,0.13,1.64,125.58,125.58,997.67,0.0
294,1010526553#5_2,13.35,0.08,1.09,83.72,83.72,997.67,0.0
294,833772151#2_0,0.0,0.14,0.0,313.95,313.95,2200.0,0.0
294,833772151#2_1,13.45,0.18,2.41,188.37,188.37,1023.26,0.0
294,833772151#2_2,14.68,0.35,4.55,355.81,355.81,1023.26,0.0
341,1352445161#8.75_0,0.0,0.12,0.0,268.09,268.09,2200.0,0.0
341,1352445161#8.75_1,0.0,0.05,0.0,114.89,114.89,2200.0,0.0
341,1352445161#8.75_2,8.8,0.13,0.89,114.89,114.89,889.36,0.0
341,1352445161#8.75_3,9.14,0.22,1.49,191.49,191.49,889.36,0.0
341,477913073#10_0,0.0,0.37,0.0,804.26,804.26,2200.0,0.0
341,477913073#10_1,7.72,0.3,2.13,306.38,306.38,1029.79,0.0
341,477913073#10_2,8.79,0.52,3.72,536.17,536.17,1029.79,0.0
341,1010526553#5_0,0.0,0.05,0.0,114.89,114.89,2200.0,0.0
341,1010526553#5_1,8.64,0.09,0.6,76.6,76.6,889.36,0.0
341,1010526553#5_2,8.8,0.13,0.89,114.89,114.89,889.36,0.0
