Time,Lane,Delay_s,Saturation,Avg_Queue_Veh,Inflow_PCU_h,TotalDemand_h,Capacity_h,Residual_NGE
61,156084447#6_0,0.0,0.19,0.0,420.0,420.0,2200.0,0.0
61,156084447#6_1,10.96,0.16,1.46,150.0,150.0,916.67,0.0
61,156084447#6_2,11.82,0.33,2.92,300.0,300.0,916.67,0.0
61,537517150#5_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
61,537517150#5_1,8.01,0.0,0.0,0.0,0.0,1063.33,0.0
61,537517150#5_2,7.5,0.0,0.0,0.0,0.0,1100.0,0.0
61,156084437#5_0,0.0,0.14,0.0,300.0,300.0,2200.0,0.0
61,156084437#5_1,9.63,0.0,0.0,0.0,0.0,953.33,0.0
61,156084437#5_2,9.63,0.0,0.0,0.0,0.0,953.33,0.0
61,-156084515#1.87_0,0.0,0.16,0.0,360.0,360.0,2200.0,0.0
122,156084447#6_0,0.0,0.23,0.0,501.64,501.64,2200.0,0.0
122,156084447#6_1,30.77,0.76,6.69,413.11,413.11,540.98,1.42
122,156084447#6_2,40.53,0.93,9.12,501.64,501.64,540.98,2.71
122,537517150#5_0,0.0,0.09,0.0,206.56,206.56,2200.0,0.0
122,537517150#5_1,3.71,0.04,0.34,59.02,59.02,1442.62,0.0
122,537517150#5_2,3.77,0.06,0.52,88.52,88.52,1442.62,0.0
122,156084437#5_0,0.0,0.15,0.0,324.59,324.59,2200.0,0.0
122,156084437#5_1,18.07,0.16,1.13,88.52,88.52,540.98,0.0
122,156084437#5_2,17.58,0.05,0.38,29.51,29.51,540.98,0.0
122,-156084515#1.87_0,0.0,0.17,0.0,383.61,383.61,2200.0,0.0
198,156084447#6_0,0.0,0.33,0.0,734.21,734.21,2200.0,0.0
198,156084447#6_1,18.46,0.62,6.91,473.68,540.74,868.42,0.0
198,156084447#6_2,19.59,0.67,7.56,450.0,578.6,868.42,0.17
198,537517150#5_0,0.0,0.2,0.0,450.0,450.0,2200.0,0.0
198,537517150#5_1,9.41,0.08,0.97,94.74,94.74,1128.95,0.0
198,537517150#5_2,8.53,0.0,0.0,0.0,0.0,1157.89,0.0
198,156084437#5_0,0.0,0.19,0.0,426.32,426.32,2200.0,0.0
198,156084437#5_1,13.32,0.0,0.0,0.0,0.0,897.37,0.0
198,156084437#5_2,14.24,0.16,1.78,142.11,142.11,897.37,0.0
198,-156084515#1.87_0,0.0,0.1,0.0,213.16,213.16,2200.0,0.0
248,156084447#6_0,0.0,0.38,0.0,828.0,828.0,2200.0,0.0
248,156084447#6_1,6.72,0.39,2.99,468.0,468.0,1188.0,0.0
248,156084447#6_2,8.13,0.65,4.91,756.0,768.26,1188.0,0.0
248,537517150#5_0,0.0,0.05,0.0,108.0,108.0,2200.0,0.0
248,537517150#5_1,10.89,0.0,0.0,0.0,0.0,748.0,0.0
248,537517150#5_2,12.08,0.29,1.98,216.0,216.0,748.0,0.0
248,156084437#5_0,0.0,0.13,0.0,288.0,288.0,2200.0,0.0
248,156084437#5_1,5.38,0.03,0.23,36.0,36.0,1188.0,0.0
248,156084437#5_2,5.97,0.21,1.61,252.0,252.0,1188.0,0.0
248,-156084515#1.87_0,0.0,0.18,0.0,396.0,396.0,2200.0,0.0
328,156084447#6_0,0.0,0.13,0.0,292.5,292.5,2200.0,0.0
