Episode,Reward,Critic_Loss,Time_Sec,CPU_Percent,RAM_Percent,GPU_VRAM_MB
1,-763.5852131843567,125.45382690429688,4.76,43.7,59.0,0.0
2,-744.3963749408722,119.82373046875,5.67,73.5,59.3,0.0
3,-773.465250492096,123.64012145996094,6.35,86.8,59.3,0.0
4,-734.0512347221375,109.55950164794922,6.56,87.5,59.4,0.0
5,-707.1420340538025,91.6181869506836,6.57,86.0,59.4,0.0
6,-761.4842624664307,80.979248046875,8.53,87.7,59.5,0.0
7,-852.3564670085907,66.71414184570312,6.56,87.4,59.3,0.0
8,-717.6808154582977,23.78879165649414,6.04,83.2,59.5,0.0
9,-766.0823616981506,36.78076934814453,6.04,84.4,59.6,0.0
10,-802.8130822181702,50.27542495727539,5.89,85.6,59.6,0.0
11,-787.8078322410583,52.64646911621094,5.39,83.9,59.6,0.0
12,-814.4437437057495,30.60982894897461,6.38,88.3,59.7,0.0
13,-735.2541251182556,23.598804473876953,7.87,91.0,59.6,0.0
14,-764.2855169773102,34.02440643310547,7.86,87.4,59.6,0.0
15,-608.8934972286224,20.20388412475586,6.31,89.9,59.4,0.0
16,-779.7780570983887,23.387683868408203,5.61,83.7,59.7,0.0
17,-695.3720307350159,20.743799209594727,6.78,87.1,59.6,0.0
18,-751.6190161705017,24.73820686340332,5.82,78.8,59.6,0.0
19,-654.1213028430939,34.71574783325195,6.0,81.4,59.6,0.0
20,-786.465437412262,27.397241592407227,5.37,87.7,59.7,0.0
21,-718.4456310272217,30.128320693969727,5.66,82.5,59.7,0.0
22,-765.7809581756592,29.420589447021484,7.98,90.9,60.1,0.0
23,-635.4364247322083,27.025888442993164,8.77,96.1,60.1,0.0
24,-833.371025800705,34.951698303222656,10.46,98.8,60.3,0.0
25,-673.9172463417053,21.557865142822266,8.56,97.1,60.3,0.0
26,-695.0211215019226,19.323970794677734,11.51,97.2,60.3,0.0
27,-715.1270427703857,24.029178619384766,11.11,97.4,60.3,0.0
28,-808.2175340652466,28.008281707763672,7.87,95.6,60.3,0.0
29,-645.9780282974243,22.76263427734375,11.4,99.4,60.4,0.0
30,-695.7612495422363,28.703359603881836,9.18,96.1,61.4,0.0
31,-684.6879556179047,22.460351943969727,11.6,99.0,60.4,0.0
32,-581.905606508255,15.939186096191406,10.62,95.0,60.5,0.0
33,-636.2713241577148,24.388256072998047,9.94,96.7,60.4,0.0
34,-718.073634147644,24.748210906982422,7.02,94.3,60.7,0.0
35,-728.6707692146301,26.686105728149414,10.29,98.0,61.1,0.0
36,-686.7065577507019,23.471174240112305,12.67,99.7,60.9,0.0
37,-617.6809840202332,22.101829528808594,13.18,98.2,61.0,0.0
38,-646.4543251991272,25.17353630065918,13.09,99.8,60.9,0.0
39,-577.9247717857361,19.757354736328125,13.37,99.9,61.5,0.0
40,-686.377655506134,27.39427947998047,12.24,99.7,61.0,0.0
41,-713.3964152336121,22.213218688964844,12.56,99.5,61.2,0.0
42,-604.6715593338013,34.0602912902832,12.43,98.8,61.4,0.0
43,-543.5201811790466,36.119224548339844,12.76,99.3,61.1,0.0
44,-603.0641932487488,18.43488311767578,12.74,99.8,61.3,0.0
45,-620.947988986969,22.279529571533203,13.4,99.9,61.2,0.0
46,-698.1550936698914,34.877647399902344,12.15,99.0,61.2,0.0
47,-633.8309664726257,21.03937530517578,10.94,99.4,61.3,0.0
48,-595.9351544380188,19.730077743530273,13.64,100.0,62.2,0.0
49,-687.9367551803589,20.481563568115234,12.11,99.4,61.4,0.0
50,-549.4536428451538,21.367891311645508,12.55,99.7,61.1,0.0
51,-594.8221831321716,17.180850982666016,13.35,99.5,61.5,0.0
52,-567.1054339408875,15.652923583984375,15.09,100.0,62.4,0.0
53,-554.3103547096252,13.819897651672363,14.37,100.0,61.9,0.0
54,-601.4862194061279,17.799497604370117,12.98,99.4,62.1,0.0
55,-618.9643359184265,17.728830337524414,13.42,99.3,62.1,0.0
56,-544.4311408996582,23.133625030517578,10.94,99.9,62.0,0.0
57,-566.0265955924988,13.6455659866333,10.26,98.5,62.1,0.0
58,-532.9638447761536,14.762523651123047,13.65,99.6,61.8,0.0
59,-542.5732789039612,17.273231506347656,12.57,99.1,62.0,0.0
60,-522.0325350761414,13.711477279663086,9.49,98.1,62.0,0.0
61,-591.3675665855408,14.178121566772461,9.17,99.0,62.1,0.0
