Episode,Reward,Critic_Loss,Time_Sec,CPU_Percent,RAM_Percent,GPU_VRAM_MB
1,-112.848428606987,17.258100509643555,17.84,99.1,61.0,0.0
2,-123.76562166213989,17.87753677368164,18.05,98.7,60.9,0.0
3,-125.72175812721252,14.82761001586914,16.55,99.7,61.1,0.0
4,-177.51722192764282,15.144999504089355,13.04,99.9,62.4,0.0
5,-113.39522844552994,7.805076599121094,18.28,99.5,61.2,0.0
6,-160.3529468178749,5.2457661628723145,14.47,98.9,61.0,0.0
7,-101.85592114925385,7.975155830383301,13.47,99.1,61.2,0.0
8,-130.124964594841,4.11845588684082,15.74,100.0,61.2,0.0
9,-119.5280100107193,2.891010284423828,17.87,99.3,61.2,0.0
10,-95.35454630851746,3.233055591583252,19.05,99.7,61.7,0.0
11,-121.4489176273346,5.926329612731934,18.5,99.6,61.4,0.0
12,-115.74033287167549,2.9395532608032227,14.74,99.7,61.2,0.0
13,-122.45246577262878,4.729774475097656,19.63,99.6,61.6,0.0
14,-106.51843106746674,6.292471408843994,20.4,100.0,62.0,0.0
15,-143.42313039302826,3.1808502674102783,17.34,99.5,62.1,0.0
16,-119.86171764135361,3.4809067249298096,15.57,99.4,62.0,0.0
17,-112.57437479496002,3.1061127185821533,11.07,99.8,62.2,0.0
18,-140.47008818387985,6.706413269042969,16.35,98.8,61.9,0.0
19,-103.16659545898438,3.027120351791382,16.94,99.3,62.0,0.0
20,-109.17300570011139,4.54126501083374,15.97,98.8,62.0,0.0
21,-113.5521045923233,2.6137759685516357,17.4,99.1,62.1,0.0
22,-113.38623985648155,3.3819684982299805,15.49,97.5,62.2,0.0
23,-106.23813503980637,3.5024592876434326,18.89,98.6,62.6,0.0
24,-103.20317673683167,2.9346206188201904,16.33,99.9,62.3,0.0
25,-113.71193420886993,3.613473892211914,16.55,99.0,62.3,0.0
26,-117.9342051744461,2.978504180908203,16.09,99.4,62.3,0.0
27,-104.54231202602386,3.0217361450195312,15.73,99.0,62.6,0.0
28,-110.11459136009216,3.18505859375,16.09,99.1,62.7,0.0
29,-120.22417086362839,3.101019859313965,18.82,98.9,62.7,0.0
30,-110.3290987610817,6.385324478149414,16.74,96.3,62.3,0.0
31,-101.414499938488,4.748384475708008,15.88,99.4,62.5,0.0
32,-109.49144041538239,3.572183847427368,17.08,98.6,62.4,0.0
33,-103.84023535251617,2.4093270301818848,11.21,98.8,62.4,0.0
34,-99.18083900213242,2.106203317642212,17.49,99.9,62.2,0.0
35,-113.21318781375885,3.0373494625091553,16.67,99.6,63.6,0.0
36,-98.01196259260178,4.20136022567749,15.95,99.3,62.7,0.0
37,-120.29037404060364,2.935913562774658,15.7,99.8,62.7,0.0
38,-100.5013325214386,3.033972978591919,15.37,99.1,62.8,0.0
39,-101.72807586193085,2.257899284362793,15.22,98.3,62.7,0.0
40,-107.82440710067749,3.321984052658081,17.98,99.3,63.0,0.0
41,-114.12507593631744,2.967305898666382,14.34,98.4,62.6,0.0
42,-106.75162065029144,3.064295530319214,14.98,99.1,62.7,0.0
43,-117.63908851146698,1.4098020792007446,14.51,98.2,63.0,0.0
44,-114.11551809310913,2.623786687850952,12.7,99.5,62.8,0.0
45,-112.05198863148689,2.5072200298309326,11.82,99.1,62.9,0.0
46,-115.90240263938904,3.208021640777588,13.87,99.5,62.7,0.0
47,-101.55160903930664,1.6438711881637573,11.29,98.6,62.9,0.0
48,-109.3887448310852,1.595340609550476,12.94,98.8,62.6,0.0
49,-117.20873272418976,2.1969287395477295,14.31,98.6,62.9,0.0
50,-108.16232943534851,2.379796028137207,14.84,98.2,63.0,0.0
51,-102.44388771057129,2.508030414581299,12.08,97.4,63.1,0.0
52,-99.26111233234406,2.284456253051758,16.72,99.5,63.3,0.0
53,-105.73342108726501,2.0133893489837646,16.09,97.8,63.4,0.0
54,-100.69924002885818,1.6627023220062256,10.47,96.4,63.5,0.0
55,-96.42020666599274,1.5848215818405151,16.65,98.2,63.7,0.0
56,-103.11068630218506,1.2939774990081787,12.38,99.3,63.8,0.0
57,-107.74349617958069,2.9905364513397217,13.19,94.5,63.8,0.0
58,-92.8113220334053,1.6688635349273682,438.24,48.7,65.4,0.0
59,-93.04302322864532,3.2330963611602783,17.52,99.2,65.4,0.0
60,-110.26547288894653,3.764289140701294,13.89,97.3,65.5,0.0
61,-89.41853815317154,3.2794322967529297,12.6,98.4,65.5,0.0
62,-83.45976996421814,2.3342087268829346,12.37,95.9,65.4,0.0
63,-86.89047610759735,2.2125320434570312,13.41,99.5,65.5,0.0
64,-82.28189980983734,1.0714898109436035,14.75,99.6,65.6,0.0
65,-97.92720448970795,1.5998767614364624,16.32,99.0,65.6,0.0
66,-89.63791865110397,3.1028571128845215,13.16,98.2,65.4,0.0
67,-82.20247459411621,1.3825980424880981,16.19,98.1,65.7,0.0
68,-80.91363060474396,2.4051952362060547,16.6,99.9,65.6,0.0
69,-90.58386808633804,2.6348206996917725,14.6,99.3,65.6,0.0
70,-74.34972417354584,2.3686490058898926,10.74,96.5,65.7,0.0
71,-76.92618906497955,0.9317708611488342,11.74,98.8,65.5,0.0
72,-85.81011319160461,1.730220079421997,13.35,98.9,65.7,0.0
73,-89.49792093038559,1.3505326509475708,17.25,99.7,65.7,0.0
