Episode,Reward,Critic_Loss,Time_Sec,CPU_Percent,RAM_Percent
1,-3710.75,388570.0938,2.77,32.9,38.3
2,-3656.45,360833.7969,2.91,60.6,38.7
3,-4017.78,412062.6641,2.75,86.3,39.0
4,-3405.71,348248.1953,2.65,87.1,39.1
5,-3943.84,457570.8438,2.69,86.0,39.2
6,-3383.51,350089.5625,2.5,81.0,39.3
7,-3486.55,333273.8438,2.54,81.2,39.3
8,-3298.42,294221.2734,2.65,85.5,39.4
9,-4147.43,486208.9609,2.71,86.3,39.5
10,-3788.35,381020.3125,2.7,86.6,39.6
11,-3278.4,276225.5469,2.62,85.5,39.6
12,-3889.47,418977.3516,2.62,78.1,39.7
13,-4089.86,467155.3203,2.67,81.1,39.7
14,-3207.02,276230.2891,2.71,87.6,40.0
15,-3900.2,435506.4766,2.79,85.6,40.1
16,-3723.02,400189.8828,2.69,85.7,40.1
17,-4111.64,484832.4062,2.64,78.3,40.2
18,-3866.43,402538.9531,2.63,84.5,40.2
19,-3897.49,436771.0312,2.7,87.4,40.3
20,-3664.9,401055.8281,2.67,85.2,40.3
21,-3418.98,303003.4766,2.65,87.0,40.3
22,-3591.41,351589.5625,2.61,80.7,40.3
23,-3150.82,279601.1328,2.49,80.8,40.3
24,-3917.45,406471.2578,2.72,84.2,40.3
25,-4117.12,462598.0391,2.76,85.8,40.4
26,-3622.98,364342.2891,2.66,86.2,40.4
27,-3998.25,471071.625,2.67,86.4,40.4
28,-3880.35,441236.7891,2.56,80.8,40.5
29,-3539.52,327360.0078,2.65,83.3,40.4
30,-3781.43,360895.1016,2.77,85.8,40.4
31,-3507.43,364026.2578,2.57,86.1,40.4
32,-3420.26,348156.3516,2.66,86.0,40.4
33,-3668.51,369376.4297,2.59,83.1,40.4
34,-3717.64,384503.1641,2.52,80.8,40.5
35,-3974.57,415768.4766,2.77,83.5,40.5
36,-3685.56,325577.4688,2.72,85.9,40.4
37,-3824.94,457500.9766,2.63,84.9,40.4
38,-2943.22,241916.7539,2.6,85.5,40.5
39,-3535.3,342407.1562,2.5,80.3,40.4
40,-3825.95,429979.8047,2.58,79.0,40.4
41,-3795.15,381835.0703,2.71,85.1,40.4
42,-3269.98,299243.0391,2.61,85.8,40.4
43,-3925.22,441753.1016,2.71,85.8,40.5
44,-3813.03,428905.6094,2.76,86.1,40.5
45,-3215.8,265758.4141,2.5,80.5,40.5
46,-3665.91,402357.1016,2.64,83.4,40.5
47,-3709.61,392180.5156,2.63,85.5,40.5
48,-4246.08,534753.0625,2.79,85.8,40.5
49,-3657.33,395553.4844,2.7,86.5,40.6
50,-3805.32,394880.8203,2.6,81.0,40.6
51,-3554.47,351171.4141,2.63,82.9,40.6
52,-4128.72,451499.5234,2.7,86.3,40.6
53,-4124.7,454230.25,2.83,85.5,40.6
54,-3331.55,304839.4453,2.59,86.8,40.6
55,-3592.2,328946.4609,2.62,83.4,40.6
56,-3787.2,357821.8594,2.58,79.7,40.6
57,-3757.01,386215.8203,2.71,85.2,40.6
58,-3855.91,425205.0938,2.74,86.2,40.6
59,-3859.21,408802.0312,2.84,86.1,40.7
60,-3413.89,298016.5234,2.55,82.0,40.7
61,-3898.26,429256.25,2.57,81.6,40.7
62,-3638.44,330381.2266,2.71,84.7,40.7
63,-3487.18,344887.5547,2.59,86.1,40.7
64,-3872.1,396624.1562,2.71,84.9,40.7
65,-3900.7,415022.7891,2.71,84.1,40.8
66,-3797.95,380251.4141,2.63,77.9,40.8
67,-3909.92,439085.5625,2.64,84.1,40.8
68,-3936.84,432417.7812,2.72,85.4,40.8
69,-3283.54,299141.2734,2.62,85.2,40.8
70,-3851.24,407529.8438,2.73,85.2,40.8
71,-3806.23,382192.0078,2.62,78.5,41.0
72,-3258.74,311421.1953,2.57,83.7,41.0
73,-3531.89,322471.1016,2.63,85.6,40.9
74,-3452.43,333530.8672,2.63,86.1,40.9
75,-3184.1,256000.8438,2.63,85.7,40.9
76,-4053.91,465171.8984,2.66,78.4,40.9
77,-3797.0,372339.0469,2.77,84.1,40.9
78,-3930.61,427487.6016,2.63,86.0,40.9
79,-3966.4,412427.5703,2.72,85.4,40.9
80,-3552.77,333431.8984,2.69,87.4,40.9
81,-3228.33,301924.2188,2.54,81.4,40.9
82,-3707.15,340344.2734,2.67,79.3,41.0
83,-3770.91,376157.0938,2.66,85.1,40.9
84,-3563.8,350930.0625,2.65,86.1,40.9
85,-3821.15,390793.5234,2.72,86.1,40.9
86,-4462.28,599352.5625,2.72,81.2,41.0
87,-3747.28,424007.7188,2.57,81.9,41.0
88,-3704.87,371711.1562,2.68,83.7,41.0
89,-3861.05,387491.5234,2.8,86.4,41.0
90,-3993.61,401064.7344,2.86,88.2,40.5
91,-3283.57,282008.0234,2.54,81.4,40.5
92,-3389.48,301907.4375,2.5,81.9,40.5
93,-3815.99,370247.2812,2.73,84.4,40.5
94,-3682.81,343250.0938,2.62,85.3,40.4
95,-4294.82,474653.0781,2.82,86.9,40.3
96,-3407.34,286451.2734,2.65,85.6,40.4
97,-3400.62,313710.0078,2.54,78.0,40.5
98,-3033.27,238102.1797,2.58,81.4,40.5
99,-3861.23,384727.1641,2.63,85.6,40.4
100,-3623.54,329228.6016,2.68,85.7,40.4
101,-3024.64,243306.5938,2.63,86.0,40.4
102,-3641.05,351202.2578,2.63,83.1,40.4
103,-3479.63,301316.1953,2.67,78.5,40.4
104,-3354.52,282883.0391,2.66,85.2,40.5
105,-3644.73,354067.3281,2.55,84.2,40.4
106,-4011.87,394730.3438,2.74,86.5,40.5
107,-3967.38,409333.0312,2.69,85.8,40.4
108,-3794.97,380871.3906,2.66,78.9,40.4
109,-3770.01,411409.3984,2.53,83.8,40.5
110,-3512.75,319926.1172,2.61,85.5,40.5
111,-3313.76,251116.6602,2.6,85.2,40.5
112,-3678.42,323084.3203,2.72,87.0,40.5
113,-3915.62,405905.1641,2.62,85.0,40.5
114,-3635.88,350678.7734,2.6,80.2,40.7
115,-4073.26,415050.1484,2.76,83.9,40.8
116,-3805.53,364996.0469,2.65,85.1,40.7
117,-3683.66,370975.4219,2.6,84.8,40.7
118,-4032.26,467875.0859,2.72,85.7,40.7
119,-3635.79,328787.7891,2.61,76.9,40.8
120,-3746.13,379025.7812,2.66,83.8,40.8
121,-3452.16,268311.8594,2.71,86.6,40.8
122,-3787.43,343570.2344,2.77,85.5,40.8
123,-4095.8,457161.5703,2.7,84.9,40.8
124,-3970.83,394403.8984,2.65,79.0,40.9
125,-3533.36,285281.2422,2.65,84.4,40.8
126,-3475.36,292449.7656,2.59,85.7,40.8
127,-3413.38,291600.1875,2.65,86.0,40.9
128,-3351.53,300621.9297,2.62,84.6,40.9
129,-3597.95,322249.9375,2.6,82.7,40.9
130,-3279.32,248940.9727,2.56,78.4,40.9
131,-3196.22,237806.0977,2.61,82.5,40.9
132,-3440.69,263406.2812,2.64,85.3,41.0
133,-3575.65,330083.8438,2.63,84.3,40.9
134,-3572.4,357552.1484,2.63,86.1,40.9
135,-3752.98,339200.2656,2.66,79.2,41.0
136,-4177.22,448781.6406,2.65,79.3,41.0
137,-3961.49,368829.7812,2.74,85.1,41.0
138,-3808.72,337931.0156,2.77,86.0,41.0
139,-4075.95,446755.2656,2.76,86.0,41.0
140,-3596.39,329673.3203,2.56,79.1,41.0
141,-3708.82,347970.5938,2.58,82.0,41.0
142,-4132.73,429487.3047,2.73,86.1,41.0
143,-3964.76,398011.3281,2.63,85.3,41.0
144,-3703.43,333399.3281,2.64,87.7,41.1
145,-3674.28,356281.1016,2.55,83.1,41.1
146,-4030.69,349167.8359,2.71,78.2,41.1
147,-4023.3,401452.3984,2.73,85.4,41.2
148,-3697.83,350234.0625,2.61,85.4,41.1
149,-3797.56,340949.9688,2.67,85.0,41.1
150,-4307.45,455854.5,2.79,85.6,41.1
151,-3450.34,334746.5078,2.53,78.1,41.1
152,-3923.18,370585.8516,2.67,83.6,41.1
153,-3809.72,347883.1016,2.62,86.4,41.2
154,-4338.99,460366.6719,2.82,85.4,41.1
155,-3262.92,220483.0547,2.65,83.2,41.1
156,-4078.02,351970.9219,2.68,79.0,41.2
157,-3705.05,344699.3516,2.71,85.4,41.2
158,-3577.31,309812.3047,2.63,85.6,41.2
159,-3860.02,389248.0547,2.61,85.4,41.2
160,-3941.2,366383.7812,2.75,83.2,41.2
161,-3382.7,306011.8125,2.59,80.3,41.2
162,-3221.48,220773.1016,2.68,83.8,41.3
163,-3323.3,254572.625,2.67,85.0,41.2
164,-3145.3,219151.6758,2.75,85.3,41.2
165,-3476.79,275171.7969,2.7,86.4,41.3
166,-3911.38,338505.6406,2.62,78.6,41.3
167,-3730.46,280917.75,2.77,81.7,41.2
168,-4150.89,398382.4141,2.78,86.1,41.3
169,-3344.55,244532.7891,2.61,84.9,41.3
170,-3269.8,234649.2461,2.6,84.1,41.5
171,-4035.23,392808.0156,2.63,78.0,41.4
172,-3721.37,303038.8203,2.65,84.4,41.4
173,-3744.85,317229.8516,2.62,85.1,41.5
174,-4363.98,441985.375,2.79,84.9,41.5
175,-3955.39,340034.5234,2.72,85.2,41.5
176,-3660.43,298239.875,2.55,79.7,41.4
