Episode,Reward,Critic_Loss,Time_Sec,CPU_Percent,RAM_Percent
1,-411.62,4246.6796,4.13,44.3,58.7
2,-415.96,4013.2133,6.09,64.8,58.6
3,-416.59,4947.7605,5.19,62.6,58.2
4,-417.15,4184.8826,4.43,54.8,57.9
5,-399.5,4023.7064,4.17,49.2,59.0
6,-413.91,4145.3009,4.11,49.5,58.0
7,-411.14,4043.1698,4.6,50.0,59.3
8,-428.66,4654.1636,4.17,48.5,58.7
9,-401.87,4195.2872,3.96,50.0,57.9
10,-410.08,3994.4661,6.15,64.4,57.9
11,-422.85,4341.9766,4.35,47.7,60.0
12,-413.1,4229.788,4.19,48.4,58.3
13,-435.7,4831.7683,4.21,51.5,57.9
14,-387.93,3917.1694,4.11,47.9,59.9
15,-449.0,4747.7852,4.18,58.2,58.2
16,-466.81,4855.5994,4.41,50.4,58.1
17,-396.06,3708.3183,5.09,55.8,59.8
18,-387.78,3639.66,3.83,48.4,58.2
19,-408.07,4471.8933,4.92,57.4,57.9
20,-404.46,3907.5106,4.15,55.1,59.3
21,-387.33,3871.3092,4.37,66.3,58.1
22,-410.43,3929.6901,4.92,68.4,58.1
23,-396.0,3429.3221,4.28,55.1,59.7
24,-439.16,4533.0007,10.05,82.5,58.5
25,-389.5,3233.5499,4.22,63.6,59.5
26,-429.97,4322.9763,4.43,57.7,58.7
27,-416.52,4811.6178,4.35,55.3,60.3
28,-376.72,3890.935,3.94,48.8,59.2
29,-374.56,3378.181,4.13,52.6,58.6
30,-441.27,4319.3755,6.14,61.9,58.6
31,-408.88,4007.5585,4.04,45.6,59.8
32,-453.5,5482.5087,4.02,48.0,58.2
33,-424.68,4259.5933,4.35,48.2,58.7
34,-426.53,3841.0641,4.4,52.0,59.3
35,-403.5,4886.4854,4.2,59.1,57.8
36,-381.3,3382.5734,3.89,52.3,58.1
37,-410.67,3845.1402,4.05,46.1,59.1
38,-408.35,3704.2327,4.25,53.1,58.4
39,-389.0,3326.9601,4.13,48.3,57.8
40,-427.87,3730.8815,4.29,49.3,57.9
41,-379.14,3257.5849,4.34,56.8,58.6
42,-451.34,4959.0527,4.05,52.0,59.6
43,-403.52,3659.2977,4.17,54.0,58.7
44,-458.7,4996.5825,4.12,51.7,58.0
45,-418.27,3659.7189,5.0,73.9,58.8
46,-406.1,3820.0426,4.65,70.1,59.5
47,-391.46,3078.0939,4.71,60.7,50.6
48,-418.55,3932.7018,3.8,41.6,41.1
49,-438.65,3753.705,4.26,44.5,40.7
50,-379.76,3179.3107,4.24,45.5,40.8
51,-414.94,3653.6918,4.14,51.5,42.8
52,-396.13,3342.3981,4.12,45.0,41.0
53,-440.85,4034.7044,4.54,48.8,40.9
54,-402.91,3501.5471,4.51,58.0,43.6
55,-384.96,3033.1694,4.01,52.5,42.4
56,-453.38,4624.3417,5.22,60.3,43.3
57,-416.81,3205.0651,4.14,44.5,44.6
58,-394.02,3173.6408,4.04,47.3,46.3
59,-412.59,3403.9206,4.29,54.1,46.5
60,-431.47,3289.0205,4.11,51.9,47.0
61,-438.93,4163.0835,5.92,66.6,48.6
62,-382.02,2670.6485,4.05,46.9,51.6
