Episode,Reward,Critic_Loss,Time_Sec,CPU_Percent,RAM_Percent
1,-15.75,48.8633,1.55,47.2,39.3
2,-18.08,54.474,2.31,61.4,39.3
3,-6.92,11.0045,1.66,45.6,39.3
4,-14.92,43.9224,1.52,49.3,39.3
5,-13.42,40.8609,1.6,41.8,39.5
6,-9.42,20.1429,1.58,44.9,39.3
7,-17.0,49.8979,1.48,44.8,39.3
8,-18.83,62.829,1.58,46.1,39.3
9,-13.42,41.5042,1.64,45.3,39.3
10,-11.33,26.1201,1.49,50.8,39.3
11,-17.08,50.4216,1.55,44.6,39.3
12,-14.08,41.0048,1.59,44.1,39.4
13,-11.5,28.4483,1.48,48.5,39.4
14,-17.25,55.397,1.71,46.4,39.3
15,-13.83,42.4727,1.47,40.7,39.4
16,-15.33,41.3791,1.53,53.9,39.3
17,-18.08,64.1761,1.86,48.4,39.6
18,-15.92,50.5414,1.5,39.5,39.4
19,-21.08,78.6056,1.71,55.7,39.3
20,-14.92,46.3411,1.63,41.8,39.4
21,-12.42,34.6301,1.57,41.3,39.4
22,-13.83,39.8572,1.85,61.6,39.3
23,-16.58,57.0276,1.61,43.7,39.4
24,-15.75,48.8475,1.51,46.9,39.4
25,-11.17,28.3415,1.74,48.3,39.3
26,-12.83,38.8652,1.6,42.5,39.4
27,-13.33,40.9227,1.44,50.9,39.4
28,-18.17,53.5374,1.7,46.0,39.6
29,-18.58,59.4288,1.7,43.5,39.4
30,-13.33,36.3421,1.51,46.7,39.5
31,-5.75,8.1215,1.78,53.0,39.5
32,-21.58,67.2595,1.55,35.4,39.5
33,-19.33,59.7529,1.5,44.0,39.5
34,-21.33,76.5303,1.81,55.5,39.5
35,-20.17,66.3989,1.6,39.9,39.5
36,-10.5,23.962,1.55,44.4,39.5
37,-22.08,85.6982,1.68,51.4,39.5
38,-17.42,59.1127,1.64,40.0,39.5
39,-14.33,38.5262,1.47,42.0,39.5
40,-19.75,65.4192,1.51,44.2,39.7
41,-11.33,25.3234,1.49,27.8,39.9
42,-8.58,17.2116,1.43,45.4,39.5
43,-15.67,45.8784,1.79,49.1,39.5
44,-19.58,71.0107,1.69,44.7,39.5
45,-6.5,10.1082,1.43,44.0,39.5
46,-16.0,49.1172,1.56,45.6,39.5
47,-19.33,65.1161,1.55,38.6,39.5
48,-13.42,34.838,1.45,46.0,39.5
49,-19.08,61.7849,1.66,43.2,39.5
50,-15.08,40.5256,1.58,40.1,39.5
51,-20.42,62.5389,1.56,47.7,39.5
52,-13.83,38.4848,1.52,45.1,39.5
53,-10.0,20.4604,1.5,37.8,39.7
