Time,Lane,Delay_s,Saturation,Avg_Queue_Veh,Inflow_PCU_h,TotalDemand_h,Capacity_h,Residual_NGE
63,156084447#2.35_0,0.0,0.34,0.0,754.84,754.84,2200.0,0.0
63,156084447#2.35_1,11.38,0.3,2.82,290.32,290.32,958.06,0.0
63,156084447#2.35_2,10.73,0.18,1.69,174.19,174.19,958.06,0.0
63,537517150#2_0,0.0,0.57,0.0,1248.39,1248.39,2200.0,0.0
63,537517150#2_1,17.12,0.76,8.42,812.9,812.9,1064.52,1.19
63,537517150#2_2,9.51,0.27,2.58,290.32,290.32,1064.52,0.0
63,156084437#2.76_0,0.0,0.44,0.0,958.06,958.06,2200.0,0.0
63,156084437#2.76_1,13.18,0.58,5.36,551.61,551.61,958.06,0.0
63,156084437#2.76_2,12.32,0.45,4.23,435.48,435.48,958.06,0.0
63,-156084515#1.105_0,0.0,0.45,0.0,987.1,987.1,2200.0,0.0
128,156084447#2.35_0,0.53,0.69,0.32,1523.08,1523.08,2200.0,0.32
128,156084447#2.35_1,16.2,0.71,7.62,720.0,720.0,1015.38,0.62
128,156084447#2.35_2,11.8,0.44,4.31,443.08,443.08,1015.38,0.0
128,537517150#2_0,0.0,0.5,0.0,1107.69,1107.69,2200.0,0.0
128,537517150#2_1,24.18,0.86,10.6,775.38,841.25,981.54,2.19
128,537517150#2_2,12.29,0.42,4.15,415.38,415.38,981.54,0.0
128,156084437#2.76_0,0.0,0.45,0.0,996.92,996.92,2200.0,0.0
128,156084437#2.76_1,12.18,0.49,4.85,498.46,498.46,1015.38,0.0
128,156084437#2.76_2,12.39,0.52,5.12,526.15,526.15,1015.38,0.0
128,-156084515#1.105_0,0.0,0.42,0.0,913.85,913.85,2200.0,0.0
210,156084447#2.35_0,0.0,0.65,0.0,1404.88,1419.03,2200.0,0.0
210,156084447#2.35_1,16.94,0.65,8.12,636.59,663.73,1019.51,0.01
210,156084447#2.35_2,16.16,0.58,7.24,592.68,592.68,1019.51,0.0
210,537517150#2_0,0.0,0.34,0.0,746.34,746.34,2200.0,0.0
210,537517150#2_1,19.05,0.7,9.14,614.63,710.8,1019.51,0.46
210,537517150#2_2,12.97,0.19,2.41,197.56,197.56,1019.51,0.0
210,156084437#2.76_0,0.0,0.47,0.0,1031.71,1031.71,2200.0,0.0
210,156084437#2.76_1,15.94,0.56,6.98,570.73,570.73,1019.51,0.0
210,156084437#2.76_2,15.52,0.52,6.44,526.83,526.83,1019.51,0.0
210,-156084515#1.105_0,0.0,0.33,0.0,724.39,724.39,2200.0,0.0
295,156084447#2.35_0,0.15,0.66,0.09,1461.18,1461.18,2200.0,0.09
295,156084447#2.35_1,16.53,0.59,7.68,614.12,614.54,1035.29,0.0
295,156084447#2.35_2,15.49,0.49,6.35,508.24,508.24,1035.29,0.0
295,537517150#2_0,0.0,0.25,0.0,550.59,550.59,2200.0,0.0
295,537517150#2_1,24.55,0.8,11.65,783.53,802.8,1009.41,1.39
295,537517150#2_2,14.23,0.27,3.52,275.29,275.29,1009.41,0.0
295,156084437#2.76_0,0.0,0.58,0.0,1270.59,1270.59,2200.0,0.0
295,156084437#2.76_1,19.2,0.7,9.43,720.0,720.0,1035.29,0.43
295,156084437#2.76_2,16.09,0.55,7.15,571.76,571.76,1035.29,0.0
295,-156084515#1.105_0,0.0,0.36,0.0,783.53,783.53,2200.0,0.0
381,156084447#2.35_0,0.0,0.63,0.0,1381.4,1385.31,2200.0,0.0
381,156084447#2.35_1,15.75,0.47,6.15,481.4,481.4,1023.26,0.0
381,156084447#2.35_2,15.37,0.43,5.62,439.53,439.53,1023.26,0.0
381,537517150#2_0,0.0,0.51,0.0,1130.23,1130.23,2200.0,0.0
381,537517150#2_1,29.25,0.9,14.03,858.14,916.23,1023.26,2.32
381,537517150#2_2,15.37,0.43,5.62,439.53,439.53,1023.26,0.0
381,156084437#2.76_0,0.0,0.6,0.0,1318.6,1318.6,2200.0,0.0
381,156084437#2.76_1,17.18,0.61,7.99,606.98,624.97,1023.26,0.0
381,156084437#2.76_2,17.22,0.61,8.02,627.91,627.91,1023.26,0.0
381,-156084515#1.105_0,0.0,0.32,0.0,711.63,711.63,2200.0,0.0
