Time,Lane,Delay_s,Saturation,Avg_Queue_Veh,Inflow_PCU_h,TotalDemand_h,Capacity_h,Residual_NGE
63,156084447#2.35_0,0.0,0.34,0.0,754.84,754.84,2200.0,0.0
63,156084447#2.35_1,11.38,0.3,2.82,290.32,290.32,958.06,0.0
63,156084447#2.35_2,10.73,0.18,1.69,174.19,174.19,958.06,0.0
63,537517150#2_0,0.0,0.57,0.0,1248.39,1248.39,2200.0,0.0
63,537517150#2_1,19.11,0.79,8.93,812.9,812.9,1029.03,1.48
63,537517150#2_2,10.12,0.28,2.66,290.32,290.32,1029.03,0.0
63,156084437#2.76_0,0.0,0.44,0.0,958.06,958.06,2200.0,0.0
63,156084437#2.76_1,12.44,0.56,5.21,551.61,551.61,993.55,0.0
63,156084437#2.76_2,11.62,0.44,4.11,435.48,435.48,993.55,0.0
63,-156084515#1.105_0,0.0,0.45,0.0,987.1,987.1,2200.0,0.0
128,156084447#2.35_0,0.53,0.69,0.32,1523.08,1523.08,2200.0,0.32
128,156084447#2.35_1,18.06,0.73,8.08,720.0,720.0,981.54,0.88
128,156084447#2.35_2,12.48,0.45,4.43,443.08,443.08,981.54,0.0
128,537517150#2_0,0.0,0.5,0.0,1107.69,1107.69,2200.0,0.0
128,537517150#2_1,22.65,0.84,10.37,775.38,857.39,1015.38,2.03
128,537517150#2_2,11.62,0.41,4.04,415.38,415.38,1015.38,0.0
128,156084437#2.76_0,0.0,0.45,0.0,996.92,996.92,2200.0,0.0
128,156084437#2.76_1,12.89,0.51,4.98,498.46,498.46,981.54,0.0
128,156084437#2.76_2,13.1,0.54,5.26,526.15,526.15,981.54,0.0
128,-156084515#1.105_0,0.0,0.42,0.0,913.85,913.85,2200.0,0.0
210,156084447#2.35_0,0.0,0.65,0.0,1404.88,1419.03,2200.0,0.0
210,156084447#2.35_1,17.98,0.69,8.95,680.49,719.28,1046.34,0.36
210,156084447#2.35_2,15.43,0.57,7.08,592.68,592.68,1046.34,0.0
210,537517150#2_0,0.0,0.36,0.0,790.24,790.24,2200.0,0.0
210,537517150#2_1,20.25,0.71,9.38,614.63,703.95,992.68,0.58
210,537517150#2_2,13.57,0.2,2.47,197.56,197.56,992.68,0.0
210,156084437#2.76_0,0.0,0.47,0.0,1031.71,1031.71,2200.0,0.0
210,156084437#2.76_1,14.45,0.46,5.77,482.93,482.93,1046.34,0.0
210,156084437#2.76_2,14.82,0.5,6.29,526.83,526.83,1046.34,0.0
210,-156084515#1.105_0,0.0,0.33,0.0,724.39,724.39,2200.0,0.0
295,156084447#2.35_0,0.0,0.64,0.0,1397.65,1397.65,2200.0,0.0
295,156084447#2.35_1,17.2,0.6,7.77,592.94,608.08,1009.41,0.0
295,156084447#2.35_2,16.19,0.5,6.49,508.24,508.24,1009.41,0.0
295,537517150#2_0,0.0,0.57,0.0,1249.41,1249.41,2200.0,0.0
295,537517150#2_1,35.9,1.07,17.25,1080.0,1104.39,1035.29,3.45
295,537517150#2_2,16.52,0.59,7.68,614.12,614.12,1035.29,0.0
295,156084437#2.76_0,0.0,0.56,0.0,1228.24,1228.24,2200.0,0.0
