Time,Lane,Delay_s,Saturation,Avg_Queue_Veh,Inflow_PCU_h,TotalDemand_h,Capacity_h,Residual_NGE
64,156084447#2.35_0,0.0,0.34,0.0,742.86,742.86,2200.0,0.0
64,156084447#2.35_1,10.85,0.23,2.22,228.57,228.57,977.78,0.0
64,156084447#2.35_2,10.54,0.18,1.67,171.43,171.43,977.78,0.0
64,537517150#2_0,0.0,0.56,0.0,1228.57,1228.57,2200.0,0.0
64,537517150#2_1,20.21,0.82,9.62,857.14,857.14,1047.62,1.76
64,537517150#2_2,9.93,0.27,2.62,285.71,285.71,1047.62,0.0
64,156084437#2.76_0,0.0,0.43,0.0,942.86,942.86,2200.0,0.0
64,156084437#2.76_1,12.91,0.56,5.28,542.86,542.86,977.78,0.0
64,156084437#2.76_2,12.07,0.44,4.17,428.57,428.57,977.78,0.0
64,-156084515#1.105_0,0.0,0.44,0.0,971.43,971.43,2200.0,0.0
130,156084447#2.35_0,0.0,0.63,0.0,1390.91,1390.91,2200.0,0.0
130,156084447#2.35_1,15.43,0.68,7.15,681.82,681.82,1000.0,0.33
130,156084447#2.35_2,12.25,0.44,4.36,436.36,436.36,1000.0,0.0
130,537517150#2_0,0.0,0.5,0.0,1090.91,1090.91,2200.0,0.0
130,537517150#2_1,21.33,0.81,9.67,709.09,805.09,1000.0,1.62
130,537517150#2_2,12.06,0.41,4.09,409.09,409.09,1000.0,0.0
130,156084437#2.76_0,0.0,0.45,0.0,981.82,981.82,2200.0,0.0
130,156084437#2.76_1,11.95,0.48,4.77,490.91,490.91,1033.33,0.0
130,156084437#2.76_2,12.14,0.5,5.04,518.18,518.18,1033.33,0.0
130,-156084515#1.105_0,0.0,0.41,0.0,900.0,900.0,2200.0,0.0
195,156084447#2.35_0,0.84,0.72,0.51,1578.46,1578.46,2200.0,0.51
195,156084447#2.35_1,26.35,0.92,11.61,886.15,904.6,981.54,2.57
195,156084447#2.35_2,16.69,0.71,7.51,692.31,692.31,981.54,0.59
195,537517150#2_0,0.0,0.45,0.0,996.92,996.92,2200.0,0.0
195,537517150#2_1,29.39,1.07,13.6,996.92,1086.82,1015.38,3.04
195,537517150#2_2,11.99,0.46,4.58,470.77,470.77,1015.38,0.0
195,156084437#2.76_0,0.0,0.45,0.0,996.92,996.92,2200.0,0.0
