Time,Lane,Delay_s,Saturation,Avg_Queue_Veh,Inflow_PCU_h,TotalDemand_h,Capacity_h,Residual_NGE
65,156084447#2.35_0,0.0,0.33,0.0,731.25,731.25,2200.0,0.0
65,156084447#2.35_1,10.06,0.22,2.12,225.0,225.0,1031.25,0.0
65,156084447#2.35_2,9.78,0.16,1.59,168.75,168.75,1031.25,0.0
65,537517150#2_0,0.0,0.55,0.0,1209.38,1209.38,2200.0,0.0
65,537517150#2_1,20.79,0.82,9.73,843.75,843.75,1031.25,1.76
65,537517150#2_2,10.67,0.33,3.19,337.5,337.5,1031.25,0.0
65,156084437#2.76_0,0.0,0.45,0.0,984.38,984.38,2200.0,0.0
65,156084437#2.76_1,11.93,0.52,5.05,534.38,534.38,1031.25,0.0
65,156084437#2.76_2,11.17,0.41,3.98,421.88,421.88,1031.25,0.0
65,-156084515#1.105_0,0.0,0.43,0.0,956.25,956.25,2200.0,0.0
151,156084447#2.35_0,0.0,0.58,0.0,1276.74,1276.74,2200.0,0.0
151,156084447#2.35_1,23.5,0.78,11.37,795.35,795.35,1023.26,1.2
151,156084447#2.35_2,16.77,0.57,7.49,586.05,586.05,1023.26,0.0
151,537517150#2_0,0.0,0.47,0.0,1025.58,1025.58,2200.0,0.0
151,537517150#2_1,24.98,0.81,12.07,753.49,827.16,1023.26,1.5
151,537517150#2_2,14.51,0.33,4.28,334.88,334.88,1023.26,0.0
151,156084437#2.76_0,0.0,0.43,0.0,941.86,941.86,2200.0,0.0
151,156084437#2.76_1,17.84,0.65,8.6,669.77,669.77,1023.26,0.04
151,156084437#2.76_2,15.37,0.43,5.62,439.53,439.53,1023.26,0.0
151,-156084515#1.105_0,0.0,0.31,0.0,690.7,690.7,2200.0,0.0
236,156084447#2.35_0,0.46,0.69,0.28,1524.71,1524.71,2200.0,0.28
236,156084447#2.35_1,29.12,0.91,14.15,889.41,940.39,1035.29,2.39
236,156084447#2.35_2,17.36,0.65,8.51,677.65,677.65,1035.29,0.04
236,537517150#2_0,0.0,0.36,0.0,783.53,783.53,2200.0,0.0
236,537517150#2_1,30.07,0.94,14.67,910.59,974.02,1035.29,2.5
236,537517150#2_2,14.58,0.39,5.03,402.35,402.35,1035.29,0.0
236,156084437#2.76_0,0.0,0.53,0.0,1164.71,1164.71,2200.0,0.0
236,156084437#2.76_1,24.98,0.82,12.22,847.06,848.88,1035.29,1.61
236,156084437#2.76_2,17.36,0.65,8.51,677.65,677.65,1035.29,0.04
236,-156084515#1.105_0,0.0,0.35,0.0,762.35,762.35,2200.0,0.0
321,156084447#2.35_0,0.0,0.58,0.0,1270.59,1282.62,2200.0,0.0
321,156084447#2.35_1,23.41,0.77,11.12,677.65,778.95,1009.41,1.16
321,156084447#2.35_2,16.2,0.51,6.52,508.24,510.06,1009.41,0.0
321,537517150#2_0,0.0,0.4,0.0,889.41,889.41,2200.0,0.0
321,537517150#2_1,25.88,0.84,12.64,762.35,868.2,1035.29,1.78
321,537517150#2_2,15.3,0.47,6.09,487.06,487.06,1035.29,0.0
321,156084437#2.76_0,0.0,0.6,0.0,1312.94,1312.94,2200.0,0.0
321,156084437#2.76_1,25.87,0.82,12.26,762.35,830.42,1009.41,1.65
321,156084437#2.76_2,17.84,0.65,8.43,656.47,658.29,1009.41,0.02
321,-156084515#1.105_0,0.0,0.44,0.0,974.12,974.12,2200.0,0.0
407,156084447#2.35_0,0.0,0.65,0.0,1423.26,1423.26,2200.0,0.0
407,156084447#2.35_1,17.29,0.62,8.11,586.05,634.69,1023.26,0.0
407,156084447#2.35_2,15.75,0.47,6.15,481.4,481.4,1023.26,0.0
407,537517150#2_0,0.0,0.42,0.0,920.93,920.93,2200.0,0.0
407,537517150#2_1,16.26,0.52,6.84,460.47,535.13,1023.26,0.0
407,537517150#2_2,14.05,0.19,2.46,188.37,188.37,997.67,0.0
407,156084437#2.76_0,0.38,0.68,0.23,1506.98,1506.98,2200.0,0.23
407,156084437#2.76_1,25.75,0.82,12.43,774.42,843.44,1023.26,1.65
407,156084437#2.76_2,17.88,0.66,8.62,669.77,670.63,1023.26,0.05
407,-156084515#1.105_0,0.0,0.4,0.0,879.07,879.07,2200.0,0.0
492,156084447#2.35_0,0.0,0.59,0.0,1291.76,1291.76,2200.0,0.0
492,156084447#2.35_1,17.27,0.61,7.85,614.12,614.12,1009.41,0.0
492,156084447#2.35_2,19.68,0.69,9.33,698.82,698.82,1009.41,0.4
492,537517150#2_0,0.0,0.49,0.0,1080.0,1080.0,2200.0,0.0
492,537517150#2_1,20.13,0.72,9.89,741.18,741.18,1035.29,0.62
492,537517150#2_2,15.3,0.47,6.09,487.06,487.06,1035.29,0.0
492,156084437#2.76_0,0.82,0.73,0.5,1588.24,1597.95,2200.0,0.5
492,156084437#2.76_1,18.55,0.68,9.11,635.29,705.1,1035.29,0.29
492,156084437#2.76_2,20.23,0.72,9.93,741.18,743.33,1035.29,0.64
492,-156084515#1.105_0,0.0,0.42,0.0,931.76,931.76,2200.0,0.0
