Time,Lane,Delay_s,Saturation,Avg_Queue_Veh,Inflow_PCU_h,TotalDemand_h,Capacity_h,Residual_NGE
65,156084447#2.35_0,0.0,0.01,0.0,28.12,28.12,2200.0,0.0
65,156084447#2.35_1,9.69,0.03,0.27,28.12,28.12,996.88,0.0
65,156084447#2.35_2,9.69,0.03,0.27,28.12,28.12,996.88,0.0
65,537517150#2_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
65,537517150#2_1,9.03,0.0,0.0,0.0,0.0,1031.25,0.0
65,537517150#2_2,9.03,0.0,0.0,0.0,0.0,1031.25,0.0
65,156084437#2.76_0,0.0,0.15,0.0,337.5,337.5,2200.0,0.0
65,156084437#2.76_1,9.39,0.08,0.8,84.38,84.38,1031.25,0.0
65,156084437#2.76_2,9.39,0.08,0.8,84.38,84.38,1031.25,0.0
65,-156084515#1.105_0,0.0,0.04,0.0,84.38,84.38,2200.0,0.0
131,156084447#2.35_0,0.0,0.04,0.0,81.82,81.82,2200.0,0.0
131,156084447#2.35_1,10.07,0.05,0.55,54.55,54.55,1000.0,0.0
131,156084447#2.35_2,10.07,0.05,0.55,54.55,54.55,1000.0,0.0
131,537517150#2_0,0.0,0.07,0.0,163.64,163.64,2200.0,0.0
131,537517150#2_1,10.33,0.11,1.09,109.09,109.09,1000.0,0.0
131,537517150#2_2,10.07,0.05,0.55,54.55,54.55,1000.0,0.0
131,156084437#2.76_0,0.0,0.05,0.0,109.09,109.09,2200.0,0.0
131,156084437#2.76_1,10.33,0.11,1.09,109.09,109.09,1000.0,0.0
131,156084437#2.76_2,10.61,0.16,1.64,163.64,163.64,1000.0,0.0
131,-156084515#1.105_0,0.0,0.15,0.0,327.27,327.27,2200.0,0.0
237,156084447#2.35_0,0.0,0.09,0.0,203.77,203.77,2200.0,0.0
237,156084447#2.35_1,9.15,0.08,1.22,101.89,101.89,1307.55,0.0
237,156084447#2.35_2,9.15,0.08,1.22,101.89,101.89,1307.55,0.0
237,537517150#2_0,0.0,0.07,0.0,152.83,152.83,2200.0,0.0
237,537517150#2_1,23.06,0.15,2.25,118.87,118.87,788.68,0.0
237,537517150#2_2,22.33,0.06,0.96,50.94,50.94,788.68,0.0
237,156084437#2.76_0,0.0,0.05,0.0,101.89,101.89,2200.0,0.0
237,156084437#2.76_1,9.13,0.0,0.0,0.0,0.0,1286.79,0.0
237,156084437#2.76_2,9.42,0.05,0.83,67.92,67.92,1286.79,0.0
237,-156084515#1.105_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
313,156084447#2.35_0,0.0,0.04,0.0,94.74,94.74,2200.0,0.0
313,156084447#2.35_1,13.32,0.0,0.0,0.0,0.0,897.37,0.0
313,156084447#2.35_2,13.32,0.0,0.0,0.0,0.0,897.37,0.0
313,537517150#2_0,0.0,0.11,0.0,236.84,236.84,2200.0,0.0
313,537517150#2_1,9.44,0.18,2.13,213.16,213.16,1157.89,0.0
313,537517150#2_2,8.53,0.0,0.0,0.0,0.0,1157.89,0.0
313,156084437#2.76_0,0.0,0.06,0.0,142.11,142.11,2200.0,0.0
313,156084437#2.76_1,14.23,0.05,0.61,47.37,47.37,868.42,0.0
313,156084437#2.76_2,14.23,0.05,0.61,47.37,47.37,868.42,0.0
313,-156084515#1.105_0,0.0,0.08,0.0,165.79,165.79,2200.0,0.0
388,156084447#2.35_0,0.0,0.14,0.0,312.0,312.0,2200.0,0.0
388,156084447#2.35_1,14.92,0.14,1.53,120.0,120.0,850.67,0.0
388,156084447#2.35_2,14.92,0.14,1.53,120.0,120.0,850.67,0.0
388,537517150#2_0,0.0,0.04,0.0,96.0,96.0,2200.0,0.0
388,537517150#2_1,9.14,0.1,1.2,120.0,120.0,1144.0,0.0
388,537517150#2_2,8.17,0.0,0.0,0.0,0.0,1173.33,0.0
388,156084437#2.76_0,0.0,0.05,0.0,120.0,120.0,2200.0,0.0
388,156084437#2.76_1,14.75,0.11,1.23,96.0,96.0,850.67,0.0
388,156084437#2.76_2,14.75,0.11,1.23,96.0,96.0,850.67,0.0
388,-156084515#1.105_0,0.0,0.03,0.0,72.0,72.0,2200.0,0.0
497,156084447#2.35_0,0.0,0.11,0.0,247.71,247.71,2200.0,0.0
497,156084447#2.35_1,9.96,0.12,1.86,148.62,148.62,1291.74,0.0
497,156084447#2.35_2,10.04,0.13,2.06,165.14,165.14,1291.74,0.0
497,537517150#2_0,0.0,0.05,0.0,115.6,115.6,2200.0,0.0
497,537517150#2_1,23.54,0.13,1.93,99.08,99.08,787.16,0.0
497,537517150#2_2,22.48,0.0,0.0,0.0,0.0,787.16,0.0
497,156084437#2.76_0,0.0,0.08,0.0,181.65,181.65,2200.0,0.0
497,156084437#2.76_1,9.43,0.03,0.41,33.03,33.03,1291.74,0.0
497,156084437#2.76_2,9.73,0.08,1.24,99.08,99.08,1291.74,0.0
497,-156084515#1.105_0,0.0,0.05,0.0,99.08,99.08,2200.0,0.0
