Time,Lane,Delay_s,Saturation,Avg_Queue_Veh,Inflow_PCU_h,TotalDemand_h,Capacity_h,Residual_NGE
65,156084447#2.35_0,0.0,0.01,0.0,28.12,28.12,2200.0,0.0
65,156084447#2.35_1,9.15,0.03,0.27,28.12,28.12,1031.25,0.0
65,156084447#2.35_2,9.15,0.03,0.27,28.12,28.12,1031.25,0.0
65,537517150#2_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
65,537517150#2_1,9.03,0.0,0.0,0.0,0.0,1031.25,0.0
65,537517150#2_2,9.03,0.0,0.0,0.0,0.0,1031.25,0.0
65,156084437#2.76_0,0.0,0.15,0.0,337.5,337.5,2200.0,0.0
65,156084437#2.76_1,9.39,0.08,0.8,84.38,84.38,1031.25,0.0
65,156084437#2.76_2,9.39,0.08,0.8,84.38,84.38,1031.25,0.0
65,-156084515#1.105_0,0.0,0.04,0.0,84.38,84.38,2200.0,0.0
130,156084447#2.35_0,0.0,0.04,0.0,83.08,83.08,2200.0,0.0
130,156084447#2.35_1,10.23,0.06,0.55,55.38,55.38,981.54,0.0
130,156084447#2.35_2,10.23,0.06,0.55,55.38,55.38,981.54,0.0
130,537517150#2_0,0.0,0.08,0.0,166.15,166.15,2200.0,0.0
130,537517150#2_1,9.92,0.11,1.08,110.77,110.77,1015.38,0.0
130,537517150#2_2,9.67,0.05,0.54,55.38,55.38,1015.38,0.0
130,156084437#2.76_0,0.0,0.05,0.0,110.77,110.77,2200.0,0.0
130,156084437#2.76_1,9.92,0.11,1.08,110.77,110.77,1015.38,0.0
130,156084437#2.76_2,10.19,0.16,1.62,166.15,166.15,1015.38,0.0
130,-156084515#1.105_0,0.0,0.15,0.0,332.31,332.31,2200.0,0.0
196,156084447#2.35_0,0.0,0.07,0.0,163.64,163.64,2200.0,0.0
196,156084447#2.35_1,10.07,0.05,0.55,54.55,54.55,1000.0,0.0
196,156084447#2.35_2,10.33,0.11,1.09,109.09,109.09,1000.0,0.0
196,537517150#2_0,0.0,0.06,0.0,136.36,136.36,2200.0,0.0
196,537517150#2_1,10.2,0.08,0.82,81.82,81.82,1000.0,0.0
196,537517150#2_2,10.2,0.08,0.82,81.82,81.82,1000.0,0.0
196,156084437#2.76_0,0.0,0.05,0.0,109.09,109.09,2200.0,0.0
196,156084437#2.76_1,9.82,0.0,0.0,0.0,0.0,1000.0,0.0
196,156084437#2.76_2,10.33,0.11,1.09,109.09,109.09,1000.0,0.0
196,-156084515#1.105_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
262,156084447#2.35_0,0.0,0.1,0.0,218.18,218.18,2200.0,0.0
262,156084447#2.35_1,10.33,0.11,1.09,109.09,109.09,1000.0,0.0
262,156084447#2.35_2,10.61,0.16,1.64,163.64,163.64,1000.0,0.0
262,537517150#2_0,0.0,0.12,0.0,272.73,272.73,2200.0,0.0
262,537517150#2_1,10.9,0.22,2.18,218.18,218.18,1000.0,0.0
262,537517150#2_2,9.82,0.0,0.0,0.0,0.0,1000.0,0.0
262,156084437#2.76_0,0.0,0.07,0.0,163.64,163.64,2200.0,0.0
262,156084437#2.76_1,10.5,0.03,0.28,27.27,27.27,966.67,0.0
262,156084437#2.76_2,10.37,0.0,0.0,0.0,0.0,966.67,0.0
262,-156084515#1.105_0,0.0,0.04,0.0,81.82,81.82,2200.0,0.0
327,156084447#2.35_0,0.0,0.06,0.0,138.46,138.46,2200.0,0.0
327,156084447#2.35_1,9.97,0.0,0.0,0.0,0.0,981.54,0.0
327,156084447#2.35_2,9.92,0.11,1.08,110.77,110.77,1015.38,0.0
327,537517150#2_0,0.0,0.08,0.0,166.15,166.15,2200.0,0.0
327,537517150#2_1,10.06,0.14,1.35,138.46,138.46,1015.38,0.0
327,537517150#2_2,9.42,0.0,0.0,0.0,0.0,1015.38,0.0
327,156084437#2.76_0,0.0,0.05,0.0,110.77,110.77,2200.0,0.0
327,156084437#2.76_1,9.67,0.05,0.54,55.38,55.38,1015.38,0.0
327,156084437#2.76_2,9.67,0.05,0.54,55.38,55.38,1015.38,0.0
327,-156084515#1.105_0,0.0,0.08,0.0,166.15,166.15,2200.0,0.0
393,156084447#2.35_0,0.0,0.15,0.0,327.27,327.27,2200.0,0.0
393,156084447#2.35_1,10.75,0.19,1.91,190.91,190.91,1000.0,0.0
393,156084447#2.35_2,10.47,0.14,1.36,136.36,136.36,1000.0,0.0
393,537517150#2_0,0.0,0.05,0.0,109.09,109.09,2200.0,0.0
393,537517150#2_1,10.33,0.11,1.09,109.09,109.09,1000.0,0.0
393,537517150#2_2,9.82,0.0,0.0,0.0,0.0,1000.0,0.0
393,156084437#2.76_0,0.0,0.07,0.0,163.64,163.64,2200.0,0.0
393,156084437#2.76_1,10.33,0.11,1.09,109.09,109.09,1000.0,0.0
393,156084437#2.76_2,10.61,0.16,1.64,163.64,163.64,1000.0,0.0
393,-156084515#1.105_0,0.0,0.02,0.0,54.55,54.55,2200.0,0.0
458,156084447#2.35_0,0.0,0.14,0.0,304.62,304.62,2200.0,0.0
458,156084447#2.35_1,10.64,0.14,1.38,138.46,138.46,981.54,0.0
458,156084447#2.35_2,10.5,0.11,1.11,110.77,110.77,981.54,0.0
458,537517150#2_0,0.0,0.09,0.0,193.85,193.85,2200.0,0.0
458,537517150#2_1,10.19,0.16,1.62,166.15,166.15,1015.38,0.0
458,537517150#2_2,9.42,0.0,0.0,0.0,0.0,1015.38,0.0
458,156084437#2.76_0,0.0,0.04,0.0,83.08,83.08,2200.0,0.0
458,156084437#2.76_1,9.97,0.0,0.0,0.0,0.0,981.54,0.0
458,156084437#2.76_2,9.97,0.0,0.0,0.0,0.0,981.54,0.0
458,-156084515#1.105_0,0.0,0.03,0.0,55.38,55.38,2200.0,0.0
524,156084447#2.35_0,0.0,0.02,0.0,54.55,54.55,2200.0,0.0
524,156084447#2.35_1,10.61,0.16,1.64,163.64,163.64,1000.0,0.0
524,156084447#2.35_2,11.05,0.25,2.45,245.45,245.45,1000.0,0.0
524,537517150#2_0,0.0,0.01,0.0,27.27,27.27,2200.0,0.0
524,537517150#2_1,9.82,0.0,0.0,0.0,0.0,1000.0,0.0
524,537517150#2_2,10.37,0.0,0.0,0.0,0.0,966.67,0.0
524,156084437#2.76_0,0.0,0.1,0.0,218.18,218.18,2200.0,0.0
524,156084437#2.76_1,10.07,0.05,0.55,54.55,54.55,1000.0,0.0
524,156084437#2.76_2,10.07,0.05,0.55,54.55,54.55,1000.0,0.0
524,-156084515#1.105_0,0.0,0.05,0.0,109.09,109.09,2200.0,0.0
