Time,Lane,Delay_s,Saturation,Avg_Queue_Veh,Inflow_PCU_h,TotalDemand_h,Capacity_h,Residual_NGE
62,156084447#2.35_0,0.0,0.01,0.0,29.51,29.51,2200.0,0.0
62,156084447#2.35_1,9.6,0.03,0.28,29.51,29.51,973.77,0.0
62,156084447#2.35_2,9.6,0.03,0.28,29.51,29.51,973.77,0.0
62,537517150#2_0,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
62,537517150#2_1,8.39,0.0,0.0,0.0,0.0,1045.9,0.0
62,537517150#2_2,8.39,0.0,0.0,0.0,0.0,1045.9,0.0
62,156084437#2.76_0,0.0,0.16,0.0,354.1,354.1,2200.0,0.0
62,156084437#2.76_1,10.46,0.09,0.86,88.52,88.52,937.7,0.0
62,156084437#2.76_2,10.46,0.09,0.86,88.52,88.52,937.7,0.0
62,-156084515#1.105_0,0.0,0.04,0.0,88.52,88.52,2200.0,0.0
116,156084447#2.35_0,0.0,0.03,0.0,66.67,66.67,2200.0,0.0
116,156084447#2.35_1,14.52,0.11,0.72,66.67,66.67,611.11,0.0
116,156084447#2.35_2,14.52,0.11,0.72,66.67,66.67,611.11,0.0
116,537517150#2_0,0.0,0.06,0.0,133.33,133.33,2200.0,0.0
116,537517150#2_1,4.35,0.1,0.78,133.33,133.33,1344.44,0.0
116,537517150#2_2,4.21,0.05,0.39,66.67,66.67,1344.44,0.0
116,156084437#2.76_0,0.0,0.06,0.0,133.33,133.33,2200.0,0.0
116,156084437#2.76_1,14.99,0.22,1.44,133.33,133.33,611.11,0.0
116,156084437#2.76_2,15.49,0.33,2.17,200.0,200.0,611.11,0.0
116,-156084515#1.105_0,0.0,0.2,0.0,433.33,433.33,2200.0,0.0
179,156084447#2.35_0,0.0,0.08,0.0,171.43,171.43,2200.0,0.0
179,156084447#2.35_1,16.95,0.18,1.43,114.29,114.29,628.57,0.0
179,156084447#2.35_2,16.5,0.09,0.71,57.14,57.14,628.57,0.0
179,537517150#2_0,0.0,0.04,0.0,85.71,85.71,2200.0,0.0
179,537517150#2_1,4.63,0.02,0.19,28.57,28.57,1361.9,0.0
179,537517150#2_2,4.63,0.02,0.19,28.57,28.57,1361.9,0.0
179,156084437#2.76_0,0.0,0.04,0.0,85.71,85.71,2200.0,0.0
179,156084437#2.76_1,16.07,0.0,0.0,0.0,0.0,628.57,0.0
179,156084437#2.76_2,16.95,0.18,1.43,114.29,114.29,628.57,0.0
179,-156084515#1.105_0,0.0,0.09,0.0,200.0,200.0,2200.0,0.0
282,156084447#2.35_0,0.0,0.07,0.0,157.28,157.28,2200.0,0.0
282,156084447#2.35_1,22.51,0.09,1.3,69.9,69.9,768.93,0.0
282,156084447#2.35_2,22.88,0.14,1.95,104.85,104.85,768.93,0.0
282,537517150#2_0,0.0,0.14,0.0,297.09,297.09,2200.0,0.0
282,537517150#2_1,9.3,0.13,2.04,174.76,174.76,1302.91,0.0
282,537517150#2_2,8.7,0.03,0.41,34.95,34.95,1302.91,0.0
282,156084437#2.76_0,0.0,0.03,0.0,69.9,69.9,2200.0,0.0
282,156084437#2.76_1,21.79,0.0,0.0,0.0,0.0,768.93,0.0
282,156084437#2.76_2,21.79,0.0,0.0,0.0,0.0,768.93,0.0
282,-156084515#1.105_0,0.0,0.05,0.0,104.85,104.85,2200.0,0.0
362,156084447#2.35_0,0.0,0.09,0.0,202.5,202.5,2200.0,0.0
362,156084447#2.35_1,25.32,0.23,1.94,112.5,112.5,495.0,0.0
362,156084447#2.35_2,26.46,0.41,3.49,202.5,202.5,495.0,0.0
362,537517150#2_0,0.0,0.01,0.0,22.5,22.5,2200.0,0.0
362,537517150#2_1,3.34,0.01,0.14,22.5,22.5,1567.5,0.0
362,537517150#2_2,3.31,0.0,0.0,0.0,0.0,1567.5,0.0
362,156084437#2.76_0,0.0,0.09,0.0,202.5,202.5,2200.0,0.0
362,156084437#2.76_1,26.43,0.29,2.36,135.0,135.0,467.5,0.0
362,156084437#2.76_2,26.43,0.29,2.36,135.0,135.0,467.5,0.0
362,-156084515#1.105_0,0.0,0.05,0.0,112.5,112.5,2200.0,0.0
453,156084447#2.35_0,0.0,0.09,0.0,197.8,197.8,2200.0,0.0
453,156084447#2.35_1,11.43,0.05,0.74,59.34,59.34,1112.09,0.0
453,156084447#2.35_2,11.99,0.14,1.98,158.24,158.24,1112.09,0.0
453,537517150#2_0,0.0,0.1,0.0,217.58,217.58,2200.0,0.0
453,537517150#2_1,15.7,0.2,2.8,197.8,197.8,967.03,0.0
453,537517150#2_2,14.29,0.0,0.0,0.0,0.0,967.03,0.0
453,156084437#2.76_0,0.0,0.03,0.0,59.34,59.34,2200.0,0.0
453,156084437#2.76_1,11.63,0.0,0.0,0.0,0.0,1087.91,0.0
453,156084437#2.76_2,12.06,0.07,1.01,79.12,79.12,1087.91,0.0
453,-156084515#1.105_0,0.0,0.02,0.0,39.56,39.56,2200.0,0.0
