Time,Lane,Delay_s,Saturation,Avg_Queue_Veh,Inflow_PCU_h,TotalDemand_h,Capacity_h,Residual_NGE
66,156084447#2.35_0,0.0,0.35,0.0,775.38,775.38,2200.0,0.0
66,156084447#2.35_1,10.48,0.22,2.15,221.54,221.54,1015.38,0.0
66,156084447#2.35_2,10.19,0.16,1.62,166.15,166.15,1015.38,0.0
66,537517150#2_0,0.0,0.54,0.0,1190.77,1190.77,2200.0,0.0
66,537517150#2_1,21.38,0.82,9.84,830.77,830.77,1015.38,1.76
66,537517150#2_2,11.1,0.33,3.23,332.31,332.31,1015.38,0.0
66,156084437#2.76_0,0.0,0.47,0.0,1024.62,1024.62,2200.0,0.0
66,156084437#2.76_1,12.81,0.57,5.65,581.54,581.54,1015.38,0.0
66,156084437#2.76_2,11.62,0.41,4.04,415.38,415.38,1015.38,0.0
66,-156084515#1.105_0,0.0,0.43,0.0,941.54,941.54,2200.0,0.0
130,156084447#2.35_0,0.02,0.65,0.02,1434.38,1434.38,2200.0,0.02
130,156084447#2.35_1,18.88,0.76,8.56,759.38,759.38,996.88,1.18
130,156084447#2.35_2,12.03,0.45,4.38,450.0,450.0,996.88,0.0
130,537517150#2_0,0.0,0.49,0.0,1068.75,1068.75,2200.0,0.0
130,537517150#2_1,19.59,0.78,8.86,675.0,774.0,996.88,1.34
130,537517150#2_2,11.84,0.42,4.1,421.88,421.88,996.88,0.0
130,156084437#2.76_0,0.0,0.43,0.0,956.25,956.25,2200.0,0.0
130,156084437#2.76_1,13.08,0.59,5.74,590.62,590.62,996.88,0.0
130,156084437#2.76_2,12.64,0.54,5.2,534.38,534.38,996.88,0.0
130,-156084515#1.105_0,0.0,0.42,0.0,928.12,928.12,2200.0,0.0
196,156084447#2.35_0,0.09,0.66,0.06,1445.45,1446.29,2200.0,0.06
196,156084447#2.35_1,26.14,0.94,11.88,872.73,937.21,1000.0,2.51
196,156084447#2.35_2,15.43,0.68,7.15,681.82,681.82,1000.0,0.33
196,537517150#2_0,0.0,0.45,0.0,981.82,981.82,2200.0,0.0
196,537517150#2_1,29.23,1.05,13.43,981.82,1054.76,1000.0,2.88
196,537517150#2_2,13.14,0.48,4.77,463.64,463.64,966.67,0.0
196,156084437#2.76_0,0.0,0.47,0.0,1036.36,1036.36,2200.0,0.0
196,156084437#2.76_1,13.73,0.63,6.27,627.27,627.27,1000.0,0.0
196,156084437#2.76_2,13.05,0.55,5.45,545.45,545.45,1000.0,0.0
196,-156084515#1.105_0,0.0,0.46,0.0,1009.09,1009.09,2200.0,0.0
262,156084447#2.35_0,1.02,0.73,0.63,1609.09,1612.15,2200.0,0.63
262,156084447#2.35_1,18.68,0.77,8.9,654.55,791.51,1033.33,1.2
262,156084447#2.35_2,12.91,0.6,6.01,600.0,618.16,1033.33,0.0
262,537517150#2_0,0.0,0.45,0.0,981.82,981.82,2200.0,0.0
262,537517150#2_1,27.02,0.98,12.11,790.91,948.06,966.67,2.36
262,537517150#2_2,13.79,0.56,5.61,545.45,545.45,966.67,0.0
262,156084437#2.76_0,0.0,0.55,0.0,1200.0,1200.0,2200.0,0.0
262,156084437#2.76_1,12.64,0.49,4.91,490.91,490.91,1000.0,0.0
262,156084437#2.76_2,13.27,0.57,5.73,572.73,572.73,1000.0,0.0
262,-156084515#1.105_0,0.0,0.48,0.0,1063.64,1063.64,2200.0,0.0
327,156084447#2.35_0,0.1,0.66,0.06,1412.31,1446.99,2200.0,0.06
327,156084447#2.35_1,14.53,0.66,6.59,581.54,648.05,981.54,0.11
327,156084447#2.35_2,12.1,0.39,3.88,387.69,387.69,981.54,0.0
327,537517150#2_0,0.0,0.31,0.0,692.31,692.31,2200.0,0.0
327,537517150#2_1,17.12,0.73,8.02,609.23,740.03,1015.38,0.82
327,537517150#2_2,11.44,0.38,3.77,387.69,387.69,1015.38,0.0
327,156084437#2.76_0,0.0,0.58,0.0,1273.85,1273.85,2200.0,0.0
327,156084437#2.76_1,13.32,0.56,5.54,553.85,553.85,981.54,0.0
327,156084437#2.76_2,13.55,0.59,5.82,581.54,581.54,981.54,0.0
327,-156084515#1.105_0,0.0,0.52,0.0,1135.38,1135.38,2200.0,0.0
393,156084447#2.35_0,1.18,0.75,0.72,1636.36,1639.57,2200.0,0.72
393,156084447#2.35_1,14.42,0.66,6.71,654.55,660.45,1000.0,0.11
393,156084447#2.35_2,12.84,0.52,5.18,518.18,518.18,1000.0,0.0
393,537517150#2_0,0.0,0.36,0.0,790.91,790.91,2200.0,0.0
393,537517150#2_1,12.98,0.54,5.36,490.91,535.9,1000.0,0.0
393,537517150#2_2,10.75,0.19,1.91,190.91,190.91,1000.0,0.0
393,156084437#2.76_0,1.31,0.76,0.8,1663.64,1663.64,2200.0,0.8
393,156084437#2.76_1,18.01,0.74,8.27,736.36,736.36,1000.0,0.9
393,156084437#2.76_2,14.15,0.65,6.59,654.55,654.55,1000.0,0.05
393,-156084515#1.105_0,0.0,0.43,0.0,954.55,954.55,2200.0,0.0
