Time,Lane,Delay_s,Saturation,Queue_m,Inflow_PCU_h,Outflow_PCU_h,Avg_Queue
325,156084447#2.35_0,0.0,0.49,-1.12,1080.0,963.69,-0.15
325,156084447#2.35_1,60.59,0.46,169.03,459.69,437.54,22.54
325,156084447#2.35_2,55.96,0.31,116.08,315.69,293.54,15.48
325,537517150#2_0,0.0,0.43,-0.99,947.08,936.0,-0.13
325,537517150#2_1,71.81,0.7,259.76,697.85,697.85,34.63
325,537517150#2_2,57.65,0.37,136.45,371.08,371.08,18.19
325,156084437#2.76_0,0.0,0.42,-0.98,936.0,864.0,-0.13
325,156084437#2.76_1,62.37,0.51,187.36,509.54,470.77,24.98
325,156084437#2.76_2,56.15,0.34,125.55,343.38,304.62,16.74
325,-156084515#1.105_0,0.0,0.39,-0.89,852.92,753.23,-0.12
