Time,Lane,Delay_s,Saturation,Avg_Queue_Veh,Inflow_PCU_h,TotalDemand_h,Capacity_h,Residual_NGE
64,156084447#2.35_0,0.0,0.34,0.0,742.86,742.86,2200.0,0.0
64,156084447#2.35_1,10.85,0.23,2.22,228.57,228.57,977.78,0.0
64,156084447#2.35_2,10.54,0.18,1.67,171.43,171.43,977.78,0.0
64,537517150#2_0,0.0,0.56,0.0,1228.57,1228.57,2200.0,0.0
64,537517150#2_1,20.21,0.82,9.62,857.14,857.14,1047.62,1.76
64,537517150#2_2,9.93,0.27,2.62,285.71,285.71,1047.62,0.0
64,156084437#2.76_0,0.0,0.43,0.0,942.86,942.86,2200.0,0.0
64,156084437#2.76_1,12.18,0.54,5.13,542.86,542.86,1012.7,0.0
64,156084437#2.76_2,11.39,0.42,4.05,428.57,428.57,1012.7,0.0
64,-156084515#1.105_0,0.0,0.44,0.0,971.43,971.43,2200.0,0.0
150,156084447#2.35_0,0.0,0.58,0.0,1276.74,1276.74,2200.0,0.0
150,156084447#2.35_1,17.84,0.65,8.6,669.77,669.77,1023.26,0.04
150,156084447#2.35_2,15.75,0.47,6.15,481.4,481.4,1023.26,0.0
150,537517150#2_0,0.0,0.47,0.0,1025.58,1025.58,2200.0,0.0
150,537517150#2_1,24.01,0.79,11.61,732.56,806.23,1023.26,1.3
150,537517150#2_2,14.51,0.33,4.28,334.88,334.88,1023.26,0.0
150,156084437#2.76_0,0.0,0.44,0.0,962.79,962.79,2200.0,0.0
150,156084437#2.76_1,15.37,0.43,5.62,439.53,439.53,1023.26,0.0
150,156084437#2.76_2,15.37,0.43,5.62,439.53,439.53,1023.26,0.0
150,-156084515#1.105_0,0.0,0.32,0.0,711.63,711.63,2200.0,0.0
235,156084447#2.35_0,1.09,0.75,0.67,1651.76,1651.76,2200.0,0.67
235,156084447#2.35_1,30.38,0.92,14.38,931.76,933.59,1009.41,2.46
235,156084447#2.35_2,26.68,0.84,12.63,847.06,847.06,1009.41,1.81
235,537517150#2_0,0.0,0.35,0.0,762.35,762.35,2200.0,0.0
235,537517150#2_1,21.64,0.75,10.62,720.0,775.24,1035.29,0.93
235,537517150#2_2,14.58,0.39,5.03,402.35,402.35,1035.29,0.0
235,156084437#2.76_0,0.0,0.52,0.0,1143.53,1143.53,2200.0,0.0
235,156084437#2.76_1,28.77,0.88,13.57,889.41,889.41,1009.41,2.21
235,156084437#2.76_2,16.6,0.55,7.04,550.59,550.59,1009.41,0.0
235,-156084515#1.105_0,0.0,0.33,0.0,720.0,720.0,2200.0,0.0
321,156084447#2.35_0,0.0,0.58,0.0,1255.81,1283.65,2200.0,0.0
321,156084447#2.35_1,19.61,0.69,9.48,606.98,709.76,1023.26,0.41
321,156084447#2.35_2,16.61,0.61,8.01,565.12,640.73,1048.84,0.0
321,537517150#2_0,0.0,0.41,0.0,900.0,900.0,2200.0,0.0
321,537517150#2_1,19.57,0.69,9.46,669.77,708.88,1023.26,0.4
321,537517150#2_2,15.94,0.49,6.42,502.33,502.33,1023.26,0.0
321,156084437#2.76_0,0.0,0.59,0.0,1297.67,1297.67,2200.0,0.0
321,156084437#2.76_1,21.03,0.72,10.17,648.84,741.22,1023.26,0.7
321,156084437#2.76_2,16.35,0.53,6.95,544.19,544.19,1023.26,0.0
321,-156084515#1.105_0,0.0,0.35,0.0,774.42,774.42,2200.0,0.0
406,156084447#2.35_0,0.05,0.65,0.03,1440.0,1440.0,2200.0,0.03
406,156084447#2.35_1,17.23,0.6,7.8,592.94,610.41,1009.41,0.0
406,156084447#2.35_2,15.99,0.48,6.22,487.06,487.06,1009.41,0.0
406,537517150#2_0,0.0,0.39,0.0,847.06,847.06,2200.0,0.0
406,537517150#2_1,15.26,0.47,6.04,465.88,483.01,1035.29,0.0
406,537517150#2_2,13.04,0.18,2.38,190.59,190.59,1035.29,0.0
406,156084437#2.76_0,0.57,0.7,0.35,1545.88,1545.88,2200.0,0.35
406,156084437#2.76_1,22.04,0.74,10.47,720.0,749.79,1009.41,0.89
406,156084437#2.76_2,16.19,0.5,6.49,508.24,508.24,1009.41,0.0
406,-156084515#1.105_0,0.0,0.46,0.0,1016.47,1016.47,2200.0,0.0
