Time,Lane,Delay_s,Saturation,Avg_Queue_Veh,Inflow_PCU_h,TotalDemand_h,Capacity_h,Residual_NGE
64,156084447#2.35_0,0.0,0.35,0.0,771.43,771.43,2200.0,0.0
64,156084447#2.35_1,10.7,0.31,2.97,314.29,314.29,1012.7,0.0
64,156084447#2.35_2,10.24,0.23,2.16,228.57,228.57,1012.7,0.0
64,537517150#2_0,0.0,0.3,0.0,657.14,657.14,2200.0,0.0
64,537517150#2_1,11.58,0.45,4.32,457.14,457.14,1012.7,0.0
64,537517150#2_2,10.54,0.28,2.7,285.71,285.71,1012.7,0.0
64,156084437#2.76_0,0.0,0.14,0.0,314.29,314.29,2200.0,0.0
64,156084437#2.76_1,9.85,0.03,0.28,28.57,28.57,977.78,0.0
64,156084437#2.76_2,9.85,0.03,0.28,28.57,28.57,977.78,0.0
64,-156084515#1.105_0,0.0,0.03,0.0,57.14,57.14,2200.0,0.0
162,156084447#2.35_0,0.0,0.19,0.0,422.45,422.45,2200.0,0.0
162,156084447#2.35_1,25.13,0.11,1.41,73.47,73.47,651.02,0.0
162,156084447#2.35_2,25.13,0.11,1.41,73.47,73.47,651.02,0.0
162,537517150#2_0,0.0,0.24,0.0,532.65,532.65,2200.0,0.0
162,537517150#2_1,7.43,0.25,3.39,348.98,348.98,1414.29,0.0
162,537517150#2_2,6.64,0.09,1.25,128.57,128.57,1414.29,0.0
162,156084437#2.76_0,0.0,0.28,0.0,606.12,606.12,2200.0,0.0
162,156084437#2.76_1,25.8,0.2,2.46,128.57,128.57,651.02,0.0
162,156084437#2.76_2,25.35,0.14,1.76,91.84,91.84,651.02,0.0
162,-156084515#1.105_0,0.0,0.34,0.0,753.06,753.06,2200.0,0.0
243,156084447#2.35_0,0.0,0.25,0.0,555.56,555.56,2200.0,0.0
243,156084447#2.35_1,12.86,0.15,1.9,155.56,155.56,1004.94,0.0
243,156084447#2.35_2,12.72,0.13,1.63,133.33,133.33,1004.94,0.0
243,537517150#2_0,0.0,0.29,0.0,644.44,644.44,2200.0,0.0
243,537517150#2_1,14.67,0.47,5.84,488.89,488.89,1032.1,0.0
243,537517150#2_2,13.95,0.39,4.78,400.0,400.0,1032.1,0.0
243,156084437#2.76_0,0.0,0.37,0.0,822.22,822.22,2200.0,0.0
243,156084437#2.76_1,14.12,0.41,5.04,422.22,422.22,1032.1,0.0
243,156084437#2.76_2,13.14,0.28,3.45,288.89,288.89,1032.1,0.0
243,-156084515#1.105_0,0.0,0.16,0.0,355.56,355.56,2200.0,0.0
329,156084447#2.35_0,0.0,0.24,0.0,523.26,523.26,2200.0,0.0
329,156084447#2.35_1,12.61,0.14,1.83,146.51,146.51,1048.84,0.0
329,156084447#2.35_2,13.15,0.22,2.88,230.23,230.23,1048.84,0.0
329,537517150#2_0,0.0,0.28,0.0,606.98,606.98,2200.0,0.0
329,537517150#2_1,15.94,0.49,6.42,502.33,502.33,1023.26,0.0
329,537517150#2_2,15.94,0.49,6.42,502.33,502.33,1023.26,0.0
329,156084437#2.76_0,0.0,0.24,0.0,523.26,523.26,2200.0,0.0
329,156084437#2.76_1,13.6,0.2,2.67,209.3,209.3,1023.26,0.0
329,156084437#2.76_2,13.89,0.25,3.21,251.16,251.16,1023.26,0.0
329,-156084515#1.105_0,0.0,0.28,0.0,606.98,606.98,2200.0,0.0
414,156084447#2.35_0,0.0,0.25,0.0,550.59,550.59,2200.0,0.0
414,156084447#2.35_1,14.23,0.27,3.52,275.29,275.29,1009.41,0.0
414,156084447#2.35_2,13.92,0.23,2.98,232.94,232.94,1009.41,0.0
414,537517150#2_0,0.0,0.27,0.0,592.94,592.94,2200.0,0.0
414,537517150#2_1,14.24,0.35,4.5,360.0,360.0,1035.29,0.0
414,537517150#2_2,12.77,0.14,1.85,148.24,148.24,1035.29,0.0
414,156084437#2.76_0,0.0,0.3,0.0,656.47,656.47,2200.0,0.0
414,156084437#2.76_1,13.77,0.21,2.71,211.76,211.76,1009.41,0.0
414,156084437#2.76_2,13.63,0.19,2.44,190.59,190.59,1009.41,0.0
414,-156084515#1.105_0,0.0,0.19,0.0,423.53,423.53,2200.0,0.0
