Time,Lane,Delay_s,Saturation,Avg_Queue_Veh,Inflow_PCU_h,TotalDemand_h,Capacity_h,Residual_NGE
67,156084447#2.35_0,0.0,0.33,0.0,736.36,736.36,2200.0,0.0
67,156084447#2.35_1,10.44,0.33,3.35,354.55,354.55,1066.67,0.0
67,156084447#2.35_2,9.72,0.2,2.06,218.18,218.18,1066.67,0.0
67,537517150#2_0,0.0,0.32,0.0,709.09,709.09,2200.0,0.0
67,537517150#2_1,12.25,0.44,4.36,436.36,436.36,1000.0,0.0
67,537517150#2_2,11.21,0.27,2.73,272.73,272.73,1000.0,0.0
67,156084437#2.76_0,0.0,0.14,0.0,300.0,300.0,2200.0,0.0
67,156084437#2.76_1,8.87,0.03,0.26,27.27,27.27,1066.67,0.0
67,156084437#2.76_2,8.87,0.03,0.26,27.27,27.27,1066.67,0.0
67,-156084515#1.105_0,0.0,0.06,0.0,136.36,136.36,2200.0,0.0
182,156084447#2.35_0,0.0,0.17,0.0,375.65,375.65,2200.0,0.0
182,156084447#2.35_1,35.71,0.16,1.93,78.26,78.26,497.39,0.0
182,156084447#2.35_2,35.45,0.13,1.55,62.61,62.61,497.39,0.0
182,537517150#2_0,0.0,0.26,0.0,579.13,579.13,2200.0,0.0
182,537517150#2_1,5.66,0.3,4.17,469.57,469.57,1587.83,0.0
182,537517150#2_2,5.26,0.14,2.01,219.13,219.13,1568.7,0.0
182,156084437#2.76_0,0.0,0.27,0.0,594.78,594.78,2200.0,0.0
182,156084437#2.76_1,39.18,0.53,6.58,266.09,266.09,497.39,0.0
182,156084437#2.76_2,37.65,0.38,4.64,187.83,187.83,497.39,0.0
182,-156084515#1.105_0,0.0,0.3,0.0,657.39,657.39,2200.0,0.0
267,156084447#2.35_0,0.0,0.23,0.0,508.24,508.24,2200.0,0.0
267,156084447#2.35_1,13.35,0.15,1.89,148.24,148.24,1009.41,0.0
267,156084447#2.35_2,12.77,0.14,1.85,148.24,148.24,1035.29,0.0
267,537517150#2_0,0.0,0.19,0.0,423.53,423.53,2200.0,0.0
267,537517150#2_1,15.06,0.38,4.87,381.18,381.18,1009.41,0.0
267,537517150#2_2,14.75,0.41,5.29,423.53,423.53,1035.29,0.0
267,156084437#2.76_0,0.0,0.27,0.0,592.94,592.94,2200.0,0.0
267,156084437#2.76_1,14.23,0.27,3.52,275.29,275.29,1009.41,0.0
267,156084437#2.76_2,14.71,0.34,4.33,338.82,338.82,1009.41,0.0
267,-156084515#1.105_0,0.0,0.22,0.0,487.06,487.06,2200.0,0.0
343,156084447#2.35_0,0.0,0.18,0.0,402.63,402.63,2200.0,0.0
343,156084447#2.35_1,14.24,0.16,1.78,142.11,142.11,897.37,0.0
343,156084447#2.35_2,14.93,0.26,2.96,236.84,236.84,897.37,0.0
343,537517150#2_0,0.0,0.28,0.0,615.79,615.79,2200.0,0.0
343,537517150#2_1,11.32,0.4,4.62,450.0,450.0,1128.95,0.0
343,537517150#2_2,11.48,0.42,4.87,473.68,473.68,1128.95,0.0
343,156084437#2.76_0,0.0,0.32,0.0,710.53,710.53,2200.0,0.0
343,156084437#2.76_1,15.23,0.22,2.42,189.47,189.47,868.42,0.0
343,156084437#2.76_2,15.79,0.3,3.33,260.53,260.53,868.42,0.0
343,-156084515#1.105_0,0.0,0.24,0.0,521.05,521.05,2200.0,0.0
418,156084447#2.35_0,0.0,0.29,0.0,648.0,648.0,2200.0,0.0
418,156084447#2.35_1,16.23,0.34,3.68,288.0,288.0,850.67,0.0
418,156084447#2.35_2,16.03,0.31,3.37,264.0,264.0,850.67,0.0
418,537517150#2_0,0.0,0.33,0.0,720.0,720.0,2200.0,0.0
418,537517150#2_1,10.3,0.39,4.43,456.0,456.0,1173.33,0.0
418,537517150#2_2,9.06,0.18,2.1,216.0,216.0,1173.33,0.0
418,156084437#2.76_0,0.0,0.32,0.0,696.0,696.0,2200.0,0.0
418,156084437#2.76_1,15.46,0.23,2.45,192.0,192.0,850.67,0.0
418,156084437#2.76_2,15.27,0.2,2.15,168.0,168.0,850.67,0.0
418,-156084515#1.105_0,0.0,0.19,0.0,408.0,408.0,2200.0,0.0
