Time,Lane,Delay_s,Saturation,Avg_Queue_Veh,Inflow_PCU_h,TotalDemand_h,Capacity_h,Residual_NGE
99,-E0_0,0.0,0.32,0.0,697.96,697.96,2200.0,0.0
99,-E0_1,29.76,0.65,8.37,440.82,440.82,673.47,0.05
99,-E0_2,24.99,0.26,3.42,183.67,183.67,695.92,0.0
99,-E2_0,0.0,0.44,0.0,973.47,973.47,2200.0,0.0
99,-E2_1,46.48,0.98,14.87,661.22,661.22,673.47,2.38
99,-E2_2,0.0,0.17,0.0,367.35,367.35,2200.0,0.0
99,-E1_0,0.0,0.52,0.0,1138.78,1138.78,2200.0,0.0
99,-E1_1,37.15,0.76,10.9,514.29,514.29,673.47,1.19
99,-E1_2,25.74,0.27,3.47,183.67,183.67,673.47,0.0
197,-E0_0,0.0,0.51,0.0,1120.41,1120.41,2200.0,0.0
197,-E0_1,56.59,1.34,20.14,900.0,901.75,673.47,3.11
197,-E0_2,31.59,0.68,9.01,459.18,459.18,673.47,0.33
197,-E2_0,0.0,0.48,0.0,1046.94,1046.94,2200.0,0.0
197,-E2_1,47.91,1.21,16.89,697.96,785.57,651.02,1.83
197,-E2_2,0.0,0.23,0.0,514.29,514.29,2200.0,0.0
197,-E1_0,0.34,0.68,0.21,1506.12,1506.12,2200.0,0.21
197,-E1_1,47.81,1.02,15.5,642.86,686.54,673.47,2.53
197,-E1_2,26.22,0.33,4.16,220.41,220.41,673.47,0.0
320,-E0_0,0.0,0.53,0.0,1170.73,1170.73,2200.0,0.0
320,-E0_1,78.67,1.43,27.82,878.05,968.99,679.67,4.94
320,-E0_2,41.67,0.72,12.35,482.93,492.67,679.67,0.72
320,-E2_0,0.0,0.35,0.0,760.98,760.98,2200.0,0.0
320,-E2_1,55.26,0.96,17.98,600.0,653.6,679.67,2.54
320,-E2_2,0.0,0.2,0.0,439.02,439.02,2200.0,0.0
320,-E1_0,0.0,0.48,0.0,1039.02,1045.17,2200.0,0.0
320,-E1_1,61.99,1.06,20.07,629.27,703.25,661.79,3.27
320,-E1_2,33.88,0.43,6.91,292.68,292.68,679.67,0.0
448,-E0_0,0.0,0.46,0.0,1012.5,1012.5,2200.0,0.0
448,-E0_1,65.87,1.09,21.68,590.62,729.63,670.31,3.64
448,-E0_2,38.11,0.62,10.24,393.75,414.05,670.31,0.0
448,-E2_0,0.02,0.65,0.01,1434.38,1434.38,2200.0,0.01
448,-E2_1,109.28,1.7,37.11,1096.88,1168.41,687.5,8.55
448,-E2_2,0.0,0.33,0.0,717.19,717.19,2200.0,0.0
448,-E1_0,0.0,0.5,0.0,1110.94,1110.94,2200.0,0.0
448,-E1_1,57.09,0.97,18.95,576.56,668.56,687.5,2.6
448,-E1_2,34.43,0.39,6.53,267.19,267.19,687.5,0.0
