Time,Lane,Delay_s,Saturation,Queue_m,Inflow_PCU_h,Outflow_PCU_h,Avg_Queue
99,-E0_0,0.0,0.38,0.0,690.91,618.18,0.1
99,-E0_1,9.1,0.38,0.0,436.36,381.82,2.73
99,-E0_1,49.5,0.0,0.0,0.0,0.0,0.0
99,-E0_2,26.84,0.42,0.0,236.36,90.91,1.23
99,-E2_0,0.0,0.53,0.0,963.64,854.55,0.15
99,-E2_1,12.63,0.6,0.0,654.55,581.82,1.22
99,-E2_1,49.5,0.0,0.0,0.0,0.0,0.0
99,-E2_2,10.23,0.35,0.0,381.82,254.55,0.71
99,-E2_2,49.5,0.0,0.0,0.0,0.0,0.0
99,-E1_0,0.0,0.64,0.0,1163.64,1090.91,0.16
99,-E1_1,11.82,0.58,0.0,636.36,527.27,1.3
99,-E1_1,49.5,0.0,0.0,0.0,0.0,0.0
99,-E1_2,8.83,0.21,0.0,236.36,200.0,1.93
99,-E1_2,49.5,0.0,0.0,0.0,0.0,0.0
198,-E0_0,0.0,0.62,0.0,1127.27,1109.09,0.13
198,-E0_1,11.87,0.65,0.35,745.45,563.64,3.08
198,-E0_1,49.5,0.0,0.0,0.0,0.0,0.0
198,-E0_2,27.8,0.51,0.0,290.91,254.55,1.74
198,-E2_0,0.0,0.5,0.0,909.09,1000.0,0.11
198,-E2_1,12.43,0.59,0.0,636.36,563.64,1.8
198,-E2_1,49.5,0.0,0.0,0.0,0.0,0.0
198,-E2_2,10.23,0.35,0.0,381.82,454.55,1.91
198,-E2_2,49.5,0.0,0.0,0.0,0.0,0.0
198,-E1_0,1.7,0.76,6.43,1381.82,1309.09,0.16
198,-E1_1,12.49,0.55,0.0,581.82,563.64,3.01
198,-E1_1,49.5,0.0,0.0,0.0,0.0,0.0
198,-E1_2,9.65,0.2,0.0,218.18,181.82,4.12
198,-E1_2,49.5,0.0,0.0,0.0,0.0,0.0
297,-E0_0,0.0,0.63,0.0,1145.45,1127.27,0.16
297,-E0_1,24.25,0.83,12.92,836.36,763.64,4.68
297,-E0_1,49.5,0.0,0.0,0.0,0.0,0.0
297,-E0_2,30.74,0.58,0.0,290.91,309.09,2.67
297,-E2_0,0.0,0.44,0.0,800.0,672.73,0.1
297,-E2_1,8.36,0.4,0.0,472.73,563.64,0.86
297,-E2_1,49.5,0.0,0.0,0.0,0.0,0.0
297,-E2_2,8.03,0.36,0.0,418.18,436.36,0.35
297,-E2_2,49.5,0.0,0.0,0.0,0.0,0.0
297,-E1_0,0.0,0.51,0.0,927.27,1072.73,0.14
297,-E1_1,10.42,0.49,0.0,545.45,581.82,4.31
297,-E1_1,49.5,0.0,0.0,0.0,0.0,0.0
297,-E1_2,8.48,0.23,0.0,254.55,309.09,5.04
297,-E1_2,49.5,0.0,0.0,0.0,0.0,0.0
396,-E0_0,0.0,0.52,0.0,945.45,1072.73,0.14
396,-E0_1,11.72,0.42,0.0,436.36,690.91,1.91
396,-E0_1,49.5,0.0,0.0,0.0,0.0,0.0
396,-E0_2,27.81,0.38,0.0,200.0,345.45,1.0
396,-E2_0,0.0,0.62,0.0,1127.27,1181.82,0.14
396,-E2_1,15.28,0.68,2.5,727.27,690.91,1.37
396,-E2_1,49.5,0.0,0.0,0.0,0.0,0.0
396,-E2_2,12.3,0.53,0.0,563.64,509.09,0.67
396,-E2_2,49.5,0.0,0.0,0.0,0.0,0.0
396,-E1_0,0.0,0.62,0.0,1127.27,1072.73,0.14
396,-E1_1,8.71,0.5,0.0,600.0,454.55,2.77
396,-E1_1,49.5,0.0,0.0,0.0,0.0,0.0
396,-E1_2,6.28,0.11,0.0,127.27,127.27,2.01
396,-E1_2,49.5,0.0,0.0,0.0,0.0,0.0
495,-E0_0,0.0,0.6,0.0,1090.91,1090.91,0.15
495,-E0_1,11.22,0.47,0.0,509.09,509.09,1.36
495,-E0_1,49.5,0.0,0.0,0.0,0.0,0.0
495,-E0_2,26.81,0.3,0.0,163.64,163.64,0.76
495,-E2_0,0.0,0.64,0.0,1163.64,1254.55,0.15
495,-E2_1,19.3,0.85,13.59,1000.0,909.09,2.57
495,-E2_1,49.5,0.0,0.0,0.0,0.0,0.0
495,-E2_2,8.25,0.39,0.0,454.55,345.45,2.75
495,-E2_2,49.5,0.0,0.0,0.0,0.0,0.0
495,-E1_0,0.0,0.46,0.0,836.36,927.27,0.11
495,-E1_1,13.5,0.59,0.0,618.18,727.27,3.63
495,-E1_1,49.5,0.0,0.0,0.0,0.0,0.0
495,-E1_2,10.48,0.26,0.0,272.73,254.55,4.34
495,-E1_2,49.5,0.0,0.0,0.0,0.0,0.0
