Time,Lane,Delay_s,Saturation,Queue_m,Inflow_PCU_h,Outflow_PCU_h,Avg_Queue
99,-E0_0,0.0,0.38,0.0,690.91,618.18,0.1
99,-E0_1,10.77,0.42,0.0,454.55,381.82,1.18
99,-E0_1,49.5,0.0,0.0,0.0,0.0,0.0
99,-E0_2,25.95,0.2,0.0,109.09,109.09,0.37
99,-E2_0,0.0,0.53,0.0,963.64,854.55,0.15
99,-E2_1,53.46,1.11,22.08,654.55,600.0,6.06
99,-E2_1,49.5,0.0,0.0,0.0,0.0,0.0
99,-E2_2,28.34,0.62,0.0,363.64,181.82,7.2
99,-E2_2,49.5,0.0,0.0,0.0,0.0,0.0
99,-E1_0,0.0,0.64,0.0,1163.64,1054.55,0.16
99,-E1_1,0.18,0.32,0.0,545.45,363.64,2.22
99,-E1_1,49.5,0.0,0.0,0.0,0.0,0.0
99,-E1_2,0.15,0.14,0.0,236.36,36.36,2.44
99,-E1_2,49.5,0.0,0.0,0.0,0.0,0.0
198,-E0_0,0.0,0.63,0.0,1145.45,1127.27,0.14
198,-E0_1,16.9,0.72,5.02,763.64,690.91,1.68
198,-E0_1,49.5,0.0,0.0,0.0,0.0,0.0
198,-E0_2,33.65,0.68,3.01,363.64,254.55,0.56
198,-E2_0,0.0,0.5,0.0,909.09,1000.0,0.11
198,-E2_1,10.64,0.56,0.0,636.36,618.18,1.35
198,-E2_1,49.5,0.0,0.0,0.0,0.0,0.0
198,-E2_2,8.98,0.37,0.0,418.18,545.45,1.84
198,-E2_2,49.5,0.0,0.0,0.0,0.0,0.0
198,-E1_0,1.41,0.74,5.33,1345.45,1309.09,0.16
198,-E1_1,10.97,0.5,0.0,545.45,454.55,3.01
198,-E1_1,49.5,0.0,0.0,0.0,0.0,0.0
198,-E1_2,8.44,0.15,0.0,163.64,236.36,3.11
198,-E1_2,49.5,0.0,0.0,0.0,0.0,0.0
297,-E0_0,0.0,0.59,0.0,1072.73,1090.91,0.15
297,-E0_1,17.6,0.71,4.36,727.27,763.64,4.21
297,-E0_1,49.5,0.0,0.0,0.0,0.0,0.0
297,-E0_2,29.32,0.59,0.0,327.27,345.45,1.98
297,-E2_0,0.0,0.44,0.0,800.0,672.73,0.1
297,-E2_1,9.34,0.42,0.0,472.73,563.64,1.12
297,-E2_1,49.5,0.0,0.0,0.0,0.0,0.0
297,-E2_2,8.54,0.3,0.0,345.45,400.0,0.14
297,-E2_2,49.5,0.0,0.0,0.0,0.0,0.0
297,-E1_0,0.0,0.51,0.0,927.27,1072.73,0.14
297,-E1_1,11.54,0.5,0.0,545.45,690.91,2.83
297,-E1_1,49.5,0.0,0.0,0.0,0.0,0.0
297,-E1_2,9.62,0.27,0.0,290.91,290.91,2.54
297,-E1_2,49.5,0.0,0.0,0.0,0.0,0.0
396,-E0_0,0.0,0.56,0.0,1018.18,1090.91,0.14
396,-E0_1,11.17,0.41,0.0,436.36,454.55,4.83
396,-E0_1,49.5,0.0,0.0,0.0,0.0,0.0
396,-E0_2,26.9,0.27,0.0,145.45,181.82,1.09
396,-E2_0,0.0,0.62,0.0,1127.27,1181.82,0.14
396,-E2_1,11.52,0.64,0.0,727.27,727.27,2.67
396,-E2_1,49.5,0.0,0.0,0.0,0.0,0.0
396,-E2_2,9.6,0.45,0.0,509.09,418.18,3.12
396,-E2_2,49.5,0.0,0.0,0.0,0.0,0.0
396,-E1_0,0.0,0.62,0.0,1127.27,1072.73,0.14
396,-E1_1,11.88,0.54,0.0,581.82,345.45,3.88
396,-E1_1,49.5,0.0,0.0,0.0,0.0,0.0
396,-E1_2,8.98,0.17,0.0,181.82,163.64,3.65
396,-E1_2,49.5,0.0,0.0,0.0,0.0,0.0
495,-E0_0,0.0,0.6,0.0,1090.91,1036.36,0.14
495,-E0_1,11.22,0.47,0.0,509.09,509.09,2.93
495,-E0_1,49.5,0.0,0.0,0.0,0.0,0.0
495,-E0_2,28.45,0.44,0.0,236.36,218.18,1.67
495,-E2_0,0.0,0.64,0.0,1163.64,1254.55,0.15
495,-E2_1,21.88,0.88,15.44,1000.0,963.64,3.79
495,-E2_1,49.5,0.0,0.0,0.0,0.0,0.0
495,-E2_2,10.02,0.5,0.0,563.64,454.55,5.38
495,-E2_2,49.5,0.0,0.0,0.0,0.0,0.0
495,-E1_0,0.0,0.44,0.0,800.0,927.27,0.11
495,-E1_1,12.0,0.59,0.0,654.55,818.18,2.94
495,-E1_1,49.5,0.0,0.0,0.0,0.0,0.0
495,-E1_2,9.85,0.36,0.0,400.0,309.09,2.94
495,-E1_2,49.5,0.0,0.0,0.0,0.0,0.0
