Time,Lane,Delay_s,Saturation,Queue_m,Inflow_PCU_h,Outflow_PCU_h,Avg_Queue
99,-E0_0,0.0,0.14,0.0,254.55,218.18,0.03
99,-E0_1,26.14,0.26,0.0,145.45,145.45,0.21
99,-E0_2,24.54,0.07,0.0,36.36,36.36,0.03
99,-E2_0,0.0,0.04,0.0,72.73,72.73,0.01
99,-E2_1,99.5,2.0,0.95,36.36,36.36,0.0
99,-E2_2,0.0,0.02,0.0,36.36,36.36,0.0
99,-E1_0,0.0,0.11,0.0,200.0,200.0,0.02
99,-E1_1,7.16,0.1,0.0,109.09,109.09,0.0
99,-E1_2,6.73,0.0,0.0,0.0,0.0,0.0
198,-E0_0,0.0,0.16,0.0,290.91,327.27,0.03
198,-E0_1,27.11,0.34,0.0,181.82,109.09,0.14
198,-E0_2,24.4,0.0,0.0,0.0,0.0,0.0
198,-E2_0,0.0,0.09,0.0,163.64,163.64,0.02
198,-E2_1,9.56,0.15,0.0,163.64,163.64,0.24
198,-E2_2,0.0,0.0,0.0,0.0,0.0,0.0
198,-E1_0,0.0,0.07,0.0,127.27,127.27,0.01
198,-E1_1,101.66,2.0,1.89,127.27,72.73,0.7
198,-E1_2,100.03,2.0,1.89,72.73,0.0,0.55
297,-E0_0,0.0,0.05,0.0,90.91,90.91,0.02
297,-E0_1,25.05,0.13,0.0,72.73,90.91,0.3
297,-E0_2,24.05,0.0,0.0,0.0,0.0,0.0
297,-E2_0,0.0,0.02,0.0,36.36,36.36,0.01
297,-E2_1,49.5,0.0,0.0,0.0,0.0,0.0
297,-E2_2,0.0,0.0,0.0,0.0,0.0,0.0
297,-E1_0,0.0,0.13,0.0,236.36,200.0,0.03
297,-E1_1,6.61,0.02,0.0,18.18,72.73,0.15
297,-E1_2,6.36,0.0,0.0,0.0,72.73,0.0
396,-E0_0,0.0,0.09,0.0,163.64,163.64,0.02
396,-E0_1,7.28,0.08,0.0,90.91,127.27,0.25
396,-E0_2,7.2,0.06,0.0,72.73,72.73,0.0
396,-E2_0,0.0,0.08,0.0,145.45,145.45,0.03
396,-E2_1,66.65,0.73,8.41,127.27,72.73,0.03
396,-E2_2,0.0,0.03,0.0,54.55,54.55,0.0
396,-E1_0,0.0,0.03,0.0,54.55,90.91,0.01
396,-E1_1,30.33,0.0,0.0,0.0,0.0,0.0
396,-E1_2,30.33,0.0,0.0,0.0,0.0,0.0
495,-E0_0,0.0,0.09,0.0,163.64,163.64,0.02
495,-E0_1,8.49,0.0,0.0,0.0,18.18,0.22
495,-E0_2,8.49,0.0,0.0,0.0,0.0,0.0
495,-E2_0,0.0,0.09,0.0,163.64,163.64,0.02
495,-E2_1,21.78,0.14,0.0,90.91,145.45,0.33
495,-E2_2,0.0,0.0,0.0,0.0,0.0,0.0
495,-E1_0,0.0,0.07,0.0,127.27,127.27,0.02
495,-E1_1,51.03,2.0,0.0,54.55,0.0,0.19
495,-E1_2,49.5,0.0,0.0,0.0,0.0,0.0
