Time,Lane,Delay_s,Saturation,Avg_Queue_Veh,Inflow_PCU_h,TotalDemand_h,Capacity_h,Residual_NGE
97,-E0_0,0.0,0.12,0.0,262.5,262.5,2200.0,0.0
97,-E0_1,24.35,0.22,2.75,150.0,150.0,687.5,0.0
97,-E0_2,23.49,0.11,1.38,75.0,75.0,687.5,0.0
97,-E2_0,0.0,0.03,0.0,75.0,75.0,2200.0,0.0
97,-E2_1,23.08,0.05,0.69,37.5,37.5,687.5,0.0
97,-E2_2,0.0,0.02,0.0,37.5,37.5,2200.0,0.0
97,-E1_0,0.0,0.09,0.0,206.25,206.25,2200.0,0.0
97,-E1_1,23.91,0.16,2.06,112.5,112.5,687.5,0.0
97,-E1_2,23.28,0.08,1.03,56.25,56.25,687.5,0.0
229,-E0_0,0.0,0.12,0.0,259.09,259.09,2200.0,0.0
229,-E0_1,19.75,0.18,3.66,190.91,190.91,1050.0,0.0
229,-E0_2,18.49,0.05,1.05,54.55,54.55,1050.0,0.0
229,-E2_0,0.0,0.06,0.0,122.73,122.73,2200.0,0.0
229,-E2_1,41.74,0.25,3.48,122.73,122.73,500.0,0.0
229,-E2_2,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
229,-E1_0,0.0,0.09,0.0,190.91,190.91,2200.0,0.0
229,-E1_1,41.2,0.19,2.7,95.45,95.45,500.0,0.0
229,-E1_2,40.41,0.11,1.55,54.55,54.55,500.0,0.0
325,-E0_0,0.0,0.08,0.0,168.75,168.75,2200.0,0.0
325,-E0_1,26.83,0.35,4.25,225.0,225.0,641.67,0.0
325,-E0_2,24.93,0.12,1.42,75.0,75.0,641.67,0.0
325,-E2_0,0.0,0.03,0.0,56.25,56.25,2200.0,0.0
325,-E2_1,48.0,0.0,0.0,0.0,0.0,0.0,0.0
325,-E2_2,0.0,0.0,0.0,0.0,0.0,2200.0,0.0
325,-E1_0,0.0,0.09,0.0,206.25,206.25,2200.0,0.0
325,-E1_1,5.72,0.01,0.17,18.75,18.75,1443.75,0.0
325,-E1_2,5.67,0.0,0.0,0.0,0.0,1443.75,0.0
