Time,Lane,Delay_s,Saturation,Queue_m,Inflow_PCU_h,Outflow_PCU_h,Avg_Queue
99,-E0_0,0.0,0.26,0.0,472.73,436.36,0.06
99,-E0_1,27.47,0.48,0.0,272.73,272.73,0.25
99,-E0_2,24.84,0.19,0.0,109.09,109.09,0.18
99,-E2_0,0.0,0.3,0.0,545.45,545.45,0.08
99,-E2_1,29.69,0.63,0.0,345.45,272.73,0.37
99,-E2_2,0.0,0.12,0.0,218.18,109.09,0.09
99,-E1_0,0.0,0.24,0.0,436.36,418.18,0.07
99,-E1_1,28.63,0.53,0.0,290.91,272.73,0.35
99,-E1_2,25.58,0.2,0.0,109.09,109.09,0.23
198,-E0_0,0.0,0.29,0.0,527.27,454.55,0.06
198,-E0_1,26.63,0.36,0.0,200.0,163.64,0.46
198,-E0_2,24.95,0.16,0.0,90.91,90.91,0.2
198,-E2_0,0.0,0.42,0.0,763.64,709.09,0.09
198,-E2_1,59.78,1.14,25.75,618.18,527.27,1.53
198,-E2_2,0.0,0.14,0.0,254.55,236.36,1.33
198,-E1_0,0.0,0.29,0.0,527.27,509.09,0.06
198,-E1_1,32.22,0.67,1.95,363.64,345.45,1.08
198,-E1_2,27.11,0.34,0.0,181.82,181.82,0.9
297,-E0_0,0.0,0.16,0.0,290.91,400.0,0.04
297,-E0_1,43.61,0.72,6.7,290.91,145.45,1.07
297,-E0_2,31.52,0.23,0.0,90.91,0.0,1.17
297,-E2_0,0.0,0.37,0.0,672.73,636.36,0.09
297,-E2_1,33.68,0.77,9.72,527.27,618.18,1.15
297,-E2_2,0.0,0.14,0.0,254.55,345.45,1.58
297,-E1_0,0.0,0.33,0.0,600.0,545.45,0.08
297,-E1_1,24.25,0.35,0.0,218.18,163.64,0.65
297,-E1_2,21.77,0.06,0.0,36.36,36.36,0.5
396,-E0_0,0.0,0.35,0.0,636.36,600.0,0.09
396,-E0_1,23.88,0.53,0.0,363.64,345.45,0.6
396,-E0_2,20.32,0.16,0.0,109.09,90.91,0.63
396,-E2_0,0.0,0.14,0.0,254.55,290.91,0.05
396,-E2_1,19.65,0.23,0.0,163.64,236.36,1.01
396,-E2_2,0.0,0.04,0.0,72.73,109.09,1.27
396,-E1_0,0.0,0.28,0.0,509.09,600.0,0.07
396,-E1_1,81.94,1.69,17.56,418.18,418.18,1.35
396,-E1_2,57.52,0.73,8.52,181.82,181.82,1.87
495,-E0_0,0.0,0.26,0.0,472.73,381.82,0.06
495,-E0_1,19.87,0.25,0.0,181.82,345.45,1.53
495,-E0_2,18.63,0.1,0.0,72.73,181.82,1.76
495,-E2_0,0.0,0.38,0.0,690.91,709.09,0.09
495,-E2_1,55.81,1.05,17.98,490.91,418.18,0.69
495,-E2_2,0.0,0.18,0.0,327.27,327.27,0.21
495,-E1_0,0.0,0.21,0.0,381.82,400.0,0.05
495,-E1_1,29.6,0.49,0.0,254.55,254.55,0.52
495,-E1_2,27.98,0.32,0.0,163.64,90.91,0.36
