Time,Lane,Delay_s,Saturation,Queue_m,Inflow_PCU_h,Outflow_PCU_h,Avg_Queue
99,-E0_0,0.0,0.26,0.0,472.73,436.36,0.06
99,-E0_1,29.11,0.51,0.0,272.73,163.64,0.68
99,-E0_2,26.52,0.27,0.0,145.45,36.36,0.5
99,-E2_0,0.0,0.3,0.0,545.45,545.45,0.08
99,-E2_1,28.83,0.61,0.0,345.45,327.27,0.32
99,-E2_2,0.0,0.12,0.0,218.18,145.45,0.27
99,-E1_0,0.0,0.24,0.0,436.36,436.36,0.08
99,-E1_1,28.97,0.56,0.0,309.09,181.82,1.01
99,-E1_2,25.86,0.23,0.0,127.27,54.55,0.78
198,-E0_0,0.0,0.29,0.0,527.27,454.55,0.06
198,-E0_1,27.41,0.37,0.0,200.0,218.18,1.47
198,-E0_2,25.95,0.2,0.0,109.09,181.82,0.88
198,-E2_0,0.0,0.42,0.0,763.64,709.09,0.09
198,-E2_1,54.2,1.09,22.32,618.18,636.36,1.11
198,-E2_2,0.0,0.15,0.0,272.73,345.45,1.6
198,-E1_0,0.0,0.29,0.0,527.27,527.27,0.06
198,-E1_1,33.84,0.69,3.91,381.82,381.82,1.05
198,-E1_2,26.42,0.3,0.0,163.64,109.09,1.27
297,-E0_0,0.0,0.16,0.0,290.91,400.0,0.04
297,-E0_1,29.04,0.54,0.0,290.91,290.91,1.55
297,-E0_2,26.81,0.3,0.0,163.64,181.82,1.32
297,-E2_0,0.0,0.37,0.0,672.73,636.36,0.09
297,-E2_1,53.38,1.25,10.81,527.27,527.27,1.28
297,-E2_2,0.0,0.17,0.0,309.09,254.55,2.17
297,-E1_0,0.0,0.33,0.0,600.0,545.45,0.08
297,-E1_1,21.71,0.32,0.0,218.18,218.18,0.84
297,-E1_2,19.9,0.11,0.0,72.73,145.45,0.8
396,-E0_0,0.0,0.35,0.0,636.36,600.0,0.09
396,-E0_1,32.22,0.67,1.95,363.64,381.82,0.63
396,-E0_2,26.52,0.27,0.0,145.45,163.64,1.19
396,-E2_0,0.0,0.14,0.0,254.55,290.91,0.05
396,-E2_1,29.58,0.34,0.0,163.64,109.09,0.8
396,-E2_2,0.0,0.04,0.0,72.73,90.91,0.39
396,-E1_0,0.0,0.28,0.0,509.09,581.82,0.07
396,-E1_1,24.81,0.61,0.0,418.18,527.27,1.18
396,-E1_2,21.46,0.29,0.0,200.0,163.64,0.75
495,-E0_0,0.0,0.26,0.0,472.73,381.82,0.06
495,-E0_1,104.21,0.9,25.57,181.82,218.18,1.61
495,-E0_2,41.61,0.54,0.0,109.09,36.36,1.26
495,-E2_0,0.0,0.38,0.0,690.91,709.09,0.09
495,-E2_1,26.01,0.68,2.29,490.91,418.18,0.66
495,-E2_2,0.0,0.16,0.0,290.91,254.55,0.53
495,-E1_0,0.0,0.21,0.0,381.82,400.0,0.05
495,-E1_1,20.1,0.34,0.0,254.55,254.55,1.09
495,-E1_2,17.64,0.05,0.0,36.36,127.27,0.55
