Time,Lane,Delay_s,Saturation,Queue_m,Inflow_PCU_h,Outflow_PCU_h,Avg_Queue
99,-E0_0,0.0,0.26,0.0,472.73,436.36,0.06
99,-E0_1,28.7,0.5,0.0,272.73,163.64,0.61
99,-E0_2,26.52,0.27,0.0,145.45,36.36,0.43
99,-E2_0,0.0,0.3,0.0,545.45,545.45,0.08
99,-E2_1,30.12,0.64,0.0,345.45,327.27,0.25
99,-E2_2,0.0,0.12,0.0,218.18,145.45,0.16
99,-E1_0,0.0,0.24,0.0,436.36,436.36,0.07
99,-E1_1,28.14,0.54,0.0,309.09,127.27,1.6
99,-E1_2,24.84,0.19,0.0,109.09,0.0,1.35
198,-E0_0,0.0,0.29,0.0,527.27,454.55,0.06
198,-E0_1,27.41,0.37,0.0,200.0,218.18,1.28
198,-E0_2,24.89,0.07,0.0,36.36,109.09,0.75
198,-E2_0,0.0,0.42,0.0,763.64,709.09,0.09
198,-E2_1,61.8,1.16,26.97,618.18,636.36,1.37
198,-E2_2,0.0,0.14,0.0,254.55,327.27,1.45
198,-E1_0,0.0,0.29,0.0,527.27,509.09,0.06
198,-E1_1,28.76,0.63,0.0,363.64,472.73,0.84
198,-E1_2,25.57,0.31,0.0,181.82,181.82,1.12
297,-E0_0,0.0,0.16,0.0,290.91,400.0,0.04
297,-E0_1,29.04,0.54,0.0,290.91,290.91,0.74
297,-E0_2,26.81,0.3,0.0,163.64,181.82,0.53
297,-E2_0,0.0,0.37,0.0,672.73,636.36,0.09
297,-E2_1,49.58,0.97,17.18,527.27,527.27,0.45
297,-E2_2,0.0,0.18,0.0,327.27,327.27,0.11
297,-E1_0,0.0,0.33,0.0,600.0,490.91,0.08
297,-E1_1,25.66,0.29,0.0,163.64,163.64,0.41
297,-E1_2,24.08,0.1,0.0,54.55,127.27,0.34
396,-E0_0,0.0,0.35,0.0,636.36,600.0,0.09
396,-E0_1,33.65,0.68,3.01,363.64,254.55,0.68
396,-E0_2,26.81,0.3,0.0,163.64,72.73,0.69
396,-E2_0,0.0,0.14,0.0,254.55,290.91,0.05
396,-E2_1,26.81,0.3,0.0,163.64,163.64,0.49
396,-E2_2,0.0,0.03,0.0,54.55,54.55,0.25
396,-E1_0,0.0,0.28,0.0,509.09,654.55,0.07
396,-E1_1,44.72,0.83,15.6,472.73,418.18,1.2
396,-E1_2,25.66,0.29,0.0,163.64,127.27,0.9
495,-E0_0,0.0,0.26,0.0,472.73,381.82,0.06
495,-E0_1,27.11,0.34,0.0,181.82,363.64,1.59
495,-E0_2,25.95,0.2,0.0,109.09,181.82,1.63
495,-E2_0,0.0,0.38,0.0,690.91,709.09,0.09
495,-E2_1,52.1,0.91,21.08,490.91,400.0,0.42
495,-E2_2,0.0,0.17,0.0,309.09,309.09,0.11
495,-E1_0,0.0,0.21,0.0,381.82,400.0,0.05
495,-E1_1,26.76,0.44,0.0,254.55,327.27,0.68
495,-E1_2,24.48,0.19,0.0,109.09,181.82,0.66
