Time,Lane,Delay_s,Saturation,Avg_Queue_Veh,Inflow_PCU_h,TotalDemand_h,Capacity_h,Residual_NGE
99,-E0_0,0.0,0.22,0.0,477.55,477.55,2200.0,0.0
99,-E0_1,26.97,0.41,5.2,275.51,275.51,673.47,0.0
99,-E0_2,24.84,0.16,2.08,110.2,110.2,673.47,0.0
99,-E2_0,0.0,0.25,0.0,551.02,551.02,2200.0,0.0
99,-E2_1,28.87,0.54,6.69,348.98,348.98,651.02,0.0
99,-E2_2,0.0,0.1,0.0,220.41,220.41,2200.0,0.0
99,-E1_0,0.0,0.2,0.0,440.82,440.82,2200.0,0.0
99,-E1_1,27.23,0.44,5.55,293.88,293.88,673.47,0.0
99,-E1_2,24.84,0.16,2.08,110.2,110.2,673.47,0.0
189,-E0_0,0.0,0.21,0.0,460.0,460.0,2200.0,0.0
189,-E0_1,27.44,0.44,4.77,260.0,260.0,586.67,0.0
189,-E0_2,25.84,0.24,2.57,140.0,140.0,586.67,0.0
189,-E2_0,0.0,0.37,0.0,820.0,820.0,2200.0,0.0
189,-E2_1,43.8,1.04,15.36,760.0,760.0,733.33,2.7
189,-E2_2,0.0,0.18,0.0,400.0,400.0,2200.0,0.0
189,-E1_0,0.0,0.25,0.0,560.0,560.0,2200.0,0.0
189,-E1_1,27.25,0.64,7.35,420.0,420.0,660.0,0.0
189,-E1_2,24.25,0.3,3.5,200.0,200.0,660.0,0.0
297,-E0_0,0.0,0.21,0.0,466.67,466.67,2200.0,0.0
297,-E0_1,31.24,0.49,6.69,316.67,316.67,651.85,0.0
297,-E0_2,28.24,0.18,2.46,116.67,116.67,651.85,0.0
297,-E2_0,0.0,0.3,0.0,666.67,666.67,2200.0,0.0
297,-E2_1,41.82,0.89,15.91,633.33,723.24,814.81,2.25
297,-E2_2,0.0,0.16,0.0,350.0,350.0,2200.0,0.0
297,-E1_0,0.0,0.24,0.0,533.33,533.33,2200.0,0.0
297,-E1_1,33.14,0.33,4.12,183.33,183.33,550.0,0.0
297,-E1_2,30.84,0.06,0.75,33.33,33.33,550.0,0.0
396,-E0_0,0.0,0.27,0.0,600.0,600.0,2200.0,0.0
396,-E0_1,23.38,0.61,8.94,545.45,545.45,888.89,0.0
396,-E0_2,19.34,0.23,3.28,200.0,200.0,888.89,0.0
396,-E2_0,0.0,0.12,0.0,254.55,254.55,2200.0,0.0
396,-E2_1,38.74,0.68,7.26,236.36,318.08,466.67,0.37
396,-E2_2,0.0,0.05,0.0,109.09,109.09,2200.0,0.0
396,-E1_0,0.0,0.3,0.0,654.55,654.55,2200.0,0.0
396,-E1_1,38.46,0.76,10.73,490.91,490.91,644.44,1.18
396,-E1_2,26.45,0.3,3.83,200.0,200.0,666.67,0.0
502,-E0_0,0.0,0.25,0.0,560.38,560.38,2200.0,0.0
502,-E0_1,30.54,0.45,6.01,288.68,288.68,643.4,0.0
502,-E0_2,28.99,0.29,3.89,186.79,186.79,643.4,0.0
502,-E2_0,0.0,0.33,0.0,730.19,730.19,2200.0,0.0
502,-E2_1,28.29,0.67,10.37,543.4,555.82,830.19,0.18
502,-E2_2,0.0,0.17,0.0,373.58,373.58,2200.0,0.0
502,-E1_0,0.0,0.17,0.0,373.58,373.58,2200.0,0.0
502,-E1_1,35.25,0.65,7.96,322.64,362.79,560.38,0.0
502,-E1_2,30.87,0.18,2.24,101.89,101.89,560.38,0.0
