Time,Lane,Delay_s,Saturation,Avg_Queue_Veh,Inflow_PCU_h,TotalDemand_h,Capacity_h,Residual_NGE
157,E1_0,0.0,0.49,0.0,1073.08,1073.08,2200.0,0.0
157,E1_1,140.22,1.8,33.99,761.54,761.54,423.08,7.33
157,E1_2,83.8,0.9,15.94,380.77,380.77,423.08,2.62
157,E2_0,0.0,0.43,0.0,946.15,946.15,2200.0,0.0
157,E2_1,89.24,1.06,18.72,450.0,450.0,423.08,2.97
157,E2_2,55.55,0.44,6.46,184.62,184.62,423.08,0.0
157,-E3_0,0.0,0.6,0.0,1315.38,1315.38,2200.0,0.0
157,-E3_1,184.12,2.23,43.05,911.54,911.54,408.97,10.89
157,-E3_2,83.9,0.99,16.59,403.85,403.85,408.97,2.34
157,-E4_0,0.0,0.5,0.0,1096.15,1096.15,2200.0,0.0
157,-E4_1,115.84,1.55,28.1,657.69,657.69,423.08,5.08
157,-E4_2,61.4,0.68,10.43,288.46,288.46,423.08,0.33
157,E0_0,0.0,0.39,0.0,865.38,865.38,2200.0,0.0
157,E0_1,147.58,1.89,28.82,611.54,611.54,324.36,6.22
157,E0_2,92.17,0.96,13.86,311.54,311.54,324.36,2.35
321,E1_0,0.0,0.6,0.0,1317.07,1317.07,2200.0,0.0
321,E1_1,243.18,2.66,55.15,910.98,1071.95,402.44,15.25
321,E1_2,145.04,1.78,33.79,658.54,715.97,402.44,7.14
321,E2_0,0.0,0.52,0.0,1152.44,1152.44,2200.0,0.0
321,E2_1,178.91,2.1,41.5,779.27,844.46,402.44,10.07
321,E2_2,106.02,1.17,21.63,471.95,471.95,402.44,4.06
321,-E3_0,0.0,0.52,0.0,1141.46,1141.46,2200.0,0.0
321,-E3_1,243.55,2.67,55.22,834.15,1073.17,402.44,15.28
321,-E3_2,101.88,1.35,23.55,493.9,545.23,402.44,3.25
321,-E4_0,0.0,0.58,0.0,1273.17,1273.17,2200.0,0.0
321,-E4_1,219.15,2.46,50.21,878.05,989.63,402.44,13.37
321,-E4_2,93.58,1.05,18.68,417.07,424.38,402.44,2.88
321,E0_0,0.0,0.62,0.0,1360.98,1360.98,2200.0,0.0
321,E0_1,297.83,3.09,65.54,1108.54,1245.12,402.44,19.19
321,E0_2,149.23,1.82,34.76,680.49,732.14,402.44,7.51
