Time,Lane,Delay_s,Saturation,Avg_Queue_Veh,Inflow_PCU_h,TotalDemand_h,Capacity_h,Residual_NGE
163,E1_0,0.0,0.48,0.0,1055.56,1055.56,2200.0,0.0
163,E1_1,142.65,1.77,33.56,722.22,722.22,407.41,7.08
163,E1_2,93.21,1.06,18.86,433.33,433.33,407.41,2.97
163,E2_0,0.0,0.42,0.0,933.33,933.33,2200.0,0.0
163,E2_1,88.0,1.23,20.42,500.0,500.0,407.41,2.08
163,E2_2,58.51,0.44,6.52,177.78,177.78,407.41,0.0
163,-E3_0,0.0,0.58,0.0,1277.78,1277.78,2200.0,0.0
163,-E3_1,190.38,2.23,43.32,877.78,877.78,393.83,10.89
163,-E3_2,88.69,0.93,16.08,366.67,366.67,393.83,2.54
163,-E4_0,0.0,0.51,0.0,1122.22,1122.22,2200.0,0.0
163,-E4_1,137.05,1.72,32.25,700.0,700.0,407.41,6.58
163,-E4_2,87.08,0.95,16.72,388.89,388.89,407.41,2.46
163,E0_0,0.0,0.42,0.0,922.22,922.22,2200.0,0.0
163,E0_1,120.28,1.55,27.47,611.11,611.11,393.83,4.89
163,E0_2,83.33,0.85,14.39,333.33,333.33,393.83,2.08
377,E1_0,0.0,0.56,0.0,1236.45,1236.45,2200.0,0.0
377,E1_1,256.33,2.25,60.11,807.48,926.64,411.21,15.32
377,E1_2,150.73,1.49,35.67,563.55,613.51,411.21,6.01
377,E2_0,0.0,0.58,0.0,1270.09,1270.09,2200.0,0.0
377,E2_1,293.11,2.5,67.99,992.52,1027.57,411.21,18.32
377,E2_2,142.79,1.43,33.74,588.79,588.79,411.21,5.28
377,-E3_0,0.0,0.47,0.0,1042.99,1042.99,2200.0,0.0
377,-E3_1,271.95,2.37,62.39,765.42,948.6,400.93,16.28
377,-E3_2,122.45,1.09,24.98,395.33,437.99,400.93,3.69
377,-E4_0,0.0,0.58,0.0,1270.09,1270.09,2200.0,0.0
377,-E4_1,247.39,2.19,58.14,790.65,901.4,411.21,14.57
377,-E4_2,130.19,1.16,27.69,437.38,478.8,411.21,4.54
377,E0_0,0.0,0.59,0.0,1295.33,1295.33,2200.0,0.0
377,E0_1,307.75,2.59,71.01,984.11,1066.36,411.21,19.47
377,E0_2,156.75,1.54,37.12,597.2,632.14,411.21,6.57
590,E1_0,0.0,0.35,0.0,760.56,760.56,2200.0,0.0
590,E1_1,234.21,2.11,54.35,591.55,850.47,402.82,13.24
590,E1_2,127.31,1.15,27.09,371.83,473.45,413.15,4.34
590,E2_0,0.0,0.27,0.0,583.1,583.1,2200.0,0.0
590,E2_1,210.05,1.94,49.87,490.14,799.77,413.15,11.44
590,E2_2,114.33,1.22,26.85,414.08,503.29,413.15,2.67
590,-E3_0,0.0,0.31,0.0,684.51,684.51,2200.0,0.0
590,-E3_1,224.13,2.04,53.1,566.2,841.31,413.15,12.67
590,-E3_2,103.85,0.89,19.86,304.23,366.55,413.15,2.24
590,-E4_0,0.0,0.44,0.0,971.83,971.83,2200.0,0.0
590,-E4_1,194.52,1.82,46.26,507.04,753.29,413.15,10.06
590,-E4_2,103.25,0.88,19.69,287.32,364.12,413.15,2.19
590,E0_0,0.0,0.45,0.0,997.18,997.18,2200.0,0.0
590,E0_1,319.12,2.68,72.33,752.11,1081.22,402.82,20.07
590,E0_2,139.26,1.41,32.29,456.34,567.32,402.82,4.87
