Time,Lane,Delay_s,Saturation,Queue_m,Inflow_PCU_h,Outflow_PCU_h,Avg_Queue
165,E1_0,0.0,0.57,0.0,1036.36,720.0,4.72
165,E1_1,178.92,2.0,47.35,698.18,403.64,4.84
165,E1_2,110.87,1.43,20.15,392.73,0.0,5.06
165,E2_0,0.0,0.5,0.0,916.36,665.45,4.27
165,E2_1,128.54,1.61,34.13,523.64,272.73,2.66
165,E2_2,66.1,0.67,1.95,218.18,21.82,2.72
165,-E3_0,0.84,0.72,3.18,1309.09,1047.27,2.14
165,-E3_1,188.27,2.0,55.87,861.82,621.82,2.15
165,-E3_2,91.45,1.24,13.5,403.64,174.55,2.59
165,-E4_0,0.0,0.62,0.0,1134.55,1014.55,0.66
165,-E4_1,174.38,2.0,54.92,709.09,632.73,1.32
165,-E4_2,103.9,1.37,20.08,436.36,196.36,1.47
165,E0_0,0.0,0.5,0.0,905.45,840.0,3.27
165,E0_1,109.99,1.45,33.01,621.82,589.09,3.02
165,E0_2,69.05,0.76,9.29,327.27,261.82,3.4
330,E1_0,0.0,0.61,0.0,1112.73,1112.73,2.93
330,E1_1,120.07,1.54,41.42,687.27,687.27,2.93
330,E1_2,75.35,0.83,14.36,360.0,458.18,6.52
330,E2_0,0.0,0.58,0.0,1058.18,1123.64,5.16
330,E2_1,138.73,1.7,52.69,741.82,829.09,4.18
330,E2_2,82.56,0.95,18.8,414.55,338.18,5.73
330,-E3_0,0.0,0.52,0.0,949.09,1145.45,6.29
330,-E3_1,116.14,1.5,37.69,654.55,883.64,6.14
330,-E3_2,82.56,0.95,18.8,414.55,523.64,8.54
330,-E4_0,0.2,0.67,0.76,1210.91,1178.18,9.82
330,-E4_1,176.64,2.0,66.29,829.09,774.55,6.6
330,-E4_2,69.88,0.74,7.39,283.64,480.0,8.87
330,E0_0,0.0,0.64,0.0,1156.36,850.91,5.42
330,E0_1,146.8,2.0,0.0,796.36,425.45,7.58
330,E0_2,104.43,2.0,0.0,381.82,0.0,9.61
495,E1_0,0.0,0.46,0.0,829.09,1014.55,5.48
495,E1_1,88.26,1.24,18.01,534.55,730.91,4.98
495,E1_2,55.43,0.56,0.0,240.0,436.36,5.98
495,E2_0,0.0,0.52,0.0,949.09,1123.64,5.2
495,E2_1,144.1,1.75,55.51,752.73,840.0,5.46
495,E2_2,83.07,0.94,19.01,403.64,621.82,8.28
495,-E3_0,0.0,0.56,0.0,1014.55,1025.45,6.85
495,-E3_1,173.71,2.0,55.87,709.09,665.45,6.26
495,-E3_2,99.87,1.07,21.0,349.09,381.82,6.48
495,-E4_0,0.91,0.73,3.44,1320.0,1003.64,6.66
495,-E4_1,209.67,2.0,9.47,709.09,501.82,5.92
495,-E4_2,179.96,2.0,9.47,370.91,32.73,6.15
495,E0_0,0.0,0.64,0.0,1167.27,1243.64,5.32
495,E0_1,150.4,1.8,60.19,785.45,850.91,4.8
495,E0_2,67.57,0.75,8.49,327.27,469.09,5.49
