Time,Lane,Delay_s,Saturation,Queue_m,Inflow_PCU_h,Outflow_PCU_h,Avg_Queue
165,E1_0,0.0,0.57,0.0,1036.36,774.55,3.05
165,E1_1,170.26,2.0,55.87,665.45,480.0,2.8
165,E1_2,89.22,1.22,12.56,403.64,87.27,2.65
165,E2_0,0.0,0.5,0.0,916.36,785.45,1.6
165,E2_1,125.12,1.58,32.25,512.73,327.27,0.99
165,E2_2,61.55,0.54,0.0,174.55,76.36,1.13
165,-E3_0,0.84,0.72,3.18,1309.09,1156.36,2.32
165,-E3_1,189.49,2.0,55.87,872.73,709.09,2.3
165,-E3_2,107.92,1.14,25.75,370.91,272.73,2.26
165,-E4_0,0.0,0.62,0.0,1134.55,1156.36,1.54
165,-E4_1,181.18,2.0,54.92,785.45,709.09,2.11
165,-E4_2,90.38,1.23,12.58,392.73,250.91,2.88
165,E0_0,0.0,0.52,0.0,938.18,741.82,3.61
165,E0_1,151.07,1.83,50.02,643.64,370.91,3.84
165,E0_2,92.04,0.93,19.6,327.27,76.36,4.86
330,E1_0,0.0,0.61,0.0,1112.73,1112.73,4.27
330,E1_1,141.62,1.73,54.56,752.73,687.27,4.07
330,E1_2,75.35,0.83,14.36,360.0,523.64,6.83
330,E2_0,0.0,0.56,0.0,1025.45,1069.09,4.44
330,E2_1,127.31,1.6,45.19,698.18,785.45,4.32
330,E2_2,82.53,0.93,19.21,403.64,403.64,5.56
330,-E3_0,0.0,0.52,0.0,949.09,1080.0,6.07
330,-E3_1,121.7,1.55,41.44,676.36,840.0,5.8
330,-E3_2,82.61,0.9,19.7,392.73,447.27,8.49
330,-E4_0,0.2,0.67,0.76,1210.91,741.82,9.14
330,-E4_1,137.96,2.0,0.0,730.91,294.55,6.67
330,-E4_2,97.06,2.0,0.0,272.73,0.0,9.15
330,E0_0,0.0,0.62,0.0,1123.64,960.0,4.66
330,E0_1,171.48,2.0,65.34,763.64,698.18,4.98
330,E0_2,93.63,1.06,21.62,403.64,316.36,5.84
