Time,Lane,Delay_s,Saturation,Queue_m,Inflow_PCU_h,Outflow_PCU_h,Avg_Queue
165,E1_0,0.0,0.03,0.0,54.55,54.55,0.01
165,E1_1,55.0,0.09,0.0,32.73,32.73,0.57
165,E1_2,54.25,0.06,0.0,21.82,21.82,0.41
165,E2_0,0.0,0.1,0.0,174.55,163.64,0.06
165,E2_1,58.08,0.23,0.0,76.36,32.73,0.47
165,E2_2,56.66,0.1,0.0,32.73,0.0,0.0
165,-E3_0,0.0,0.08,0.0,152.73,120.0,0.34
165,-E3_1,57.01,0.13,0.0,43.64,21.82,0.21
165,-E3_2,55.97,0.03,0.0,10.91,0.0,0.01
165,-E4_0,0.0,0.05,0.0,87.27,76.36,0.38
165,-E4_1,57.71,0.2,0.0,65.45,65.45,0.08
165,-E4_2,56.31,0.07,0.0,21.82,21.82,0.0
165,E0_0,0.0,0.08,0.0,152.73,152.73,0.69
165,E0_1,59.19,0.34,0.0,109.09,109.09,0.25
165,E0_2,56.31,0.07,0.0,21.82,21.82,0.0
330,E1_0,0.0,0.13,0.0,229.09,229.09,0.57
330,E1_1,71.38,0.67,2.3,174.55,130.91,0.46
330,E1_2,64.96,0.46,0.0,120.0,109.09,0.89
330,E2_0,0.0,0.08,0.0,141.82,54.55,1.01
330,E2_1,56.59,0.13,0.0,43.64,43.64,0.32
330,E2_2,56.24,0.1,0.0,32.73,65.45,0.04
330,-E3_0,0.0,0.08,0.0,152.73,163.64,0.73
330,-E3_1,58.01,0.26,0.0,87.27,98.18,0.75
330,-E3_2,56.59,0.13,0.0,43.64,10.91,0.6
330,-E4_0,0.0,0.03,0.0,54.55,65.45,0.42
330,-E4_1,57.01,0.13,0.0,43.64,43.64,0.27
330,-E4_2,56.31,0.07,0.0,21.82,21.82,0.0
330,E0_0,0.0,0.09,0.0,163.64,163.64,0.02
330,E0_1,52.41,0.26,0.0,109.09,109.09,0.28
330,E0_2,51.75,0.21,0.0,87.27,87.27,0.47
495,E1_0,0.0,0.05,0.0,87.27,32.73,0.53
495,E1_1,61.35,0.12,0.0,32.73,43.64,0.7
495,E1_2,61.73,0.17,0.0,43.64,54.55,0.0
495,E2_0,0.0,0.06,0.0,109.09,185.45,0.52
495,E2_1,51.42,0.18,0.0,76.36,76.36,0.3
495,E2_2,49.56,0.03,0.0,10.91,10.91,0.05
495,-E3_0,0.0,0.08,0.0,141.82,163.64,0.61
495,-E3_1,52.07,0.24,0.0,98.18,109.09,0.52
495,-E3_2,50.47,0.11,0.0,43.64,76.36,0.69
495,-E4_0,0.0,0.08,0.0,141.82,141.82,0.2
495,-E4_1,51.75,0.21,0.0,87.27,65.45,0.5
495,-E4_2,50.16,0.08,0.0,32.73,32.73,0.45
495,E0_0,0.0,0.07,0.0,120.0,109.09,0.04
495,E0_1,68.05,0.18,0.0,32.73,32.73,0.66
495,E0_2,66.83,0.0,0.0,0.0,0.0,0.0
660,E1_0,0.0,0.0,0.0,0.0,54.55,0.33
660,E1_1,48.11,0.0,0.0,0.0,32.73,0.33
660,E1_2,48.49,0.0,0.0,0.0,0.0,0.0
660,E2_0,0.0,0.0,0.0,0.0,21.82,0.33
660,E2_1,47.73,0.0,0.0,0.0,43.64,0.35
660,E2_2,47.73,0.0,0.0,0.0,0.0,0.0
660,-E3_0,0.0,0.0,0.0,0.0,0.0,0.0
660,-E3_1,47.73,0.0,0.0,0.0,0.0,0.0
660,-E3_2,47.73,0.0,0.0,0.0,10.91,0.67
660,-E4_0,0.0,0.01,0.0,21.82,21.82,0.0
660,-E4_1,70.94,0.0,0.0,0.0,21.82,0.93
660,-E4_2,70.94,0.0,0.0,0.0,0.0,0.0
660,E0_0,0.0,0.0,0.0,0.0,10.91,0.0
660,E0_1,61.1,0.0,0.0,0.0,0.0,0.0
660,E0_2,61.1,0.0,0.0,0.0,0.0,0.0
