Time,Lane,Delay_s,Saturation,Avg_Queue_Veh,Inflow_PCU_h,TotalDemand_h,Capacity_h,Residual_NGE
163,E1_0,0.0,0.03,0.0,55.56,55.56,2200.0,0.0
163,E1_1,54.61,0.08,1.22,33.33,33.33,407.41,0.0
163,E1_2,53.78,0.0,0.0,0.0,0.0,407.41,0.0
163,E2_0,0.0,0.08,0.0,177.78,177.78,2200.0,0.0
163,E2_1,55.72,0.11,1.64,44.44,44.44,393.83,0.0
163,E2_2,55.44,0.08,1.23,33.33,33.33,393.83,0.0
163,-E3_0,0.0,0.07,0.0,155.56,155.56,2200.0,0.0
163,-E3_1,54.89,0.11,1.63,44.44,44.44,407.41,0.0
163,-E3_2,54.05,0.03,0.41,11.11,11.11,407.41,0.0
163,-E4_0,0.0,0.04,0.0,88.89,88.89,2200.0,0.0
163,-E4_1,55.46,0.16,2.44,66.67,66.67,407.41,0.0
163,-E4_2,54.33,0.05,0.81,22.22,22.22,407.41,0.0
163,E0_0,0.0,0.07,0.0,155.56,155.56,2200.0,0.0
163,E0_1,57.5,0.28,4.1,111.11,111.11,393.83,0.0
163,E0_2,55.44,0.08,1.23,33.33,33.33,393.83,0.0
327,E1_0,0.0,0.11,0.0,241.46,241.46,2200.0,0.0
327,E1_1,58.85,0.38,5.72,153.66,153.66,402.44,0.0
327,E1_2,57.92,0.3,4.49,120.73,120.73,402.44,0.0
327,E2_0,0.0,0.08,0.0,186.59,186.59,2200.0,0.0
327,E2_1,57.87,0.23,3.29,87.8,87.8,389.02,0.0
327,E2_2,57.28,0.17,2.47,65.85,65.85,389.02,0.0
327,-E3_0,0.0,0.07,0.0,153.66,153.66,2200.0,0.0
327,-E3_1,57.32,0.25,3.68,98.78,98.78,402.44,0.0
327,-E3_2,56.14,0.14,2.04,54.88,54.88,402.44,0.0
327,-E4_0,0.0,0.03,0.0,65.85,65.85,2200.0,0.0
327,-E4_1,55.86,0.11,1.63,43.9,43.9,402.44,0.0
327,-E4_2,55.3,0.05,0.82,21.95,21.95,402.44,0.0
327,E0_0,0.0,0.07,0.0,164.63,164.63,2200.0,0.0
327,E0_1,59.17,0.41,6.13,164.63,164.63,402.44,0.0
327,E0_2,57.62,0.27,4.09,109.76,109.76,402.44,0.0
491,E1_0,0.0,0.06,0.0,131.71,131.71,2200.0,0.0
491,E1_1,57.02,0.22,3.27,87.8,87.8,402.44,0.0
491,E1_2,58.85,0.38,5.72,153.66,153.66,402.44,0.0
491,E2_0,0.0,0.09,0.0,197.56,197.56,2200.0,0.0
491,E2_1,57.92,0.3,4.49,120.73,120.73,402.44,0.0
491,E2_2,55.02,0.03,0.41,10.98,10.98,402.44,0.0
491,-E3_0,0.0,0.06,0.0,142.68,142.68,2200.0,0.0
491,-E3_1,57.32,0.25,3.68,98.78,98.78,402.44,0.0
491,-E3_2,55.86,0.11,1.63,43.9,43.9,402.44,0.0
491,-E4_0,0.0,0.06,0.0,142.68,142.68,2200.0,0.0
491,-E4_1,57.02,0.22,3.27,87.8,87.8,402.44,0.0
491,-E4_2,55.58,0.08,1.23,32.93,32.93,402.44,0.0
491,E0_0,0.0,0.05,0.0,109.76,109.76,2200.0,0.0
491,E0_1,55.58,0.08,1.23,32.93,32.93,402.44,0.0
491,E0_2,57.87,0.23,3.29,87.8,87.8,389.02,0.0
