Time,Lane,Delay_s,Saturation,Avg_Queue_Veh,Inflow_PCU_h,TotalDemand_h,Capacity_h,Residual_NGE
164,E1_0,0.0,0.03,0.0,55.21,55.21,2200.0,0.0
164,E1_1,55.09,0.08,1.22,33.13,33.13,404.91,0.0
164,E1_2,54.26,0.0,0.0,0.0,0.0,404.91,0.0
164,E2_0,0.0,0.08,0.0,176.69,176.69,2200.0,0.0
164,E2_1,55.37,0.11,1.63,44.17,44.17,404.91,0.0
164,E2_2,55.09,0.08,1.22,33.13,33.13,404.91,0.0
164,-E3_0,0.0,0.07,0.0,154.6,154.6,2200.0,0.0
164,-E3_1,55.37,0.11,1.63,44.17,44.17,404.91,0.0
164,-E3_2,54.26,0.0,0.0,0.0,0.0,404.91,0.0
164,-E4_0,0.0,0.04,0.0,88.34,88.34,2200.0,0.0
164,-E4_1,55.95,0.16,2.45,66.26,66.26,404.91,0.0
164,-E4_2,54.81,0.05,0.82,22.09,22.09,404.91,0.0
164,E0_0,0.0,0.07,0.0,154.6,154.6,2200.0,0.0
164,E0_1,56.27,0.26,4.05,110.43,110.43,418.4,0.0
164,E0_2,54.27,0.08,1.21,33.13,33.13,418.4,0.0
378,E1_0,0.0,0.08,0.0,185.05,185.05,2200.0,0.0
378,E1_1,75.97,0.37,7.32,151.4,151.4,411.21,0.0
378,E1_2,75.04,0.31,6.1,126.17,126.17,411.21,0.0
378,E2_0,0.0,0.06,0.0,126.17,126.17,2200.0,0.0
378,E2_1,74.7,0.23,4.5,92.52,92.52,400.93,0.0
378,E2_2,73.52,0.15,2.86,58.88,58.88,400.93,0.0
378,-E3_0,0.0,0.08,0.0,168.22,168.22,2200.0,0.0
378,-E3_1,74.4,0.21,4.09,84.11,84.11,400.93,0.0
378,-E3_2,72.67,0.08,1.64,33.64,33.64,400.93,0.0
378,-E4_0,0.0,0.05,0.0,109.35,109.35,2200.0,0.0
378,-E4_1,72.68,0.14,2.85,58.88,58.88,411.21,0.0
378,-E4_2,71.56,0.06,1.22,25.23,25.23,411.21,0.0
378,E0_0,0.0,0.08,0.0,168.22,168.22,2200.0,0.0
378,E0_1,75.97,0.37,7.32,151.4,151.4,411.21,0.0
378,E0_2,73.55,0.2,4.07,84.11,84.11,411.21,0.0
