Time,Lane,Delay_s,Saturation,Avg_Queue_Veh,Inflow_PCU_h,TotalDemand_h,Capacity_h,Residual_NGE
160,E1_0,0.0,0.24,0.0,520.75,520.75,2200.0,0.0
160,E1_1,68.61,0.74,11.86,305.66,305.66,415.09,0.9
160,E1_2,56.08,0.35,5.27,147.17,147.17,415.09,0.0
160,E2_0,0.0,0.23,0.0,498.11,498.11,2200.0,0.0
160,E2_1,85.18,0.95,16.66,396.23,396.23,415.09,2.46
160,E2_2,55.77,0.33,4.87,135.85,135.85,415.09,0.0
160,-E3_0,0.0,0.19,0.0,418.87,418.87,2200.0,0.0
160,-E3_1,58.33,0.55,8.11,226.42,226.42,415.09,0.0
160,-E3_2,55.17,0.27,4.06,113.21,113.21,415.09,0.0
160,-E4_0,0.0,0.25,0.0,554.72,554.72,2200.0,0.0
160,-E4_1,81.48,0.85,14.34,339.62,339.62,401.26,2.08
160,-E4_2,57.91,0.45,6.54,181.13,181.13,401.26,0.0
160,E0_0,0.0,0.22,0.0,475.47,475.47,2200.0,0.0
160,E0_1,86.44,0.85,13.47,305.66,305.66,359.75,2.18
160,E0_2,58.33,0.28,3.76,101.89,101.89,359.75,0.0
324,E1_0,0.0,0.31,0.0,691.46,691.46,2200.0,0.0
324,E1_1,94.1,1.28,21.66,493.9,513.74,402.44,2.54
324,E1_2,77.2,0.79,13.32,318.29,318.29,402.44,1.47
324,E2_0,0.0,0.27,0.0,592.68,592.68,2200.0,0.0
324,E2_1,105.8,1.17,21.58,417.07,471.12,402.44,4.04
324,E2_2,74.27,0.76,12.63,307.32,307.32,402.44,1.19
324,-E3_0,0.0,0.22,0.0,493.9,493.9,2200.0,0.0
324,-E3_1,62.62,0.65,9.85,263.41,263.41,402.44,0.05
324,-E3_2,57.02,0.22,3.27,87.8,87.8,402.44,0.0
324,-E4_0,0.0,0.21,0.0,460.98,460.98,2200.0,0.0
324,-E4_1,61.55,0.6,9.05,197.56,243.16,402.44,0.0
324,-E4_2,57.02,0.22,3.27,87.8,87.8,402.44,0.0
324,E0_0,0.0,0.32,0.0,702.44,702.44,2200.0,0.0
324,E0_1,107.07,1.18,21.88,428.05,475.96,402.44,4.16
324,E0_2,61.15,0.57,8.58,230.49,230.49,402.44,0.0
528,E1_0,0.0,0.24,0.0,520.59,520.59,2200.0,0.0
528,E1_1,100.71,0.88,18.97,317.65,362.39,409.8,2.26
528,E1_2,75.38,0.56,10.56,202.94,228.96,409.8,0.0
528,E2_0,0.0,0.26,0.0,573.53,573.53,2200.0,0.0
528,E2_1,119.43,1.11,24.26,370.59,441.88,399.02,3.76
528,E2_2,76.1,0.56,10.39,202.94,223.93,399.02,0.0
528,-E3_0,0.0,0.23,0.0,502.94,502.94,2200.0,0.0
528,-E3_1,103.36,0.93,20.0,379.41,380.25,409.8,2.47
528,-E3_2,75.07,0.54,10.17,220.59,220.59,409.8,0.0
528,-E4_0,0.0,0.15,0.0,335.29,335.29,2200.0,0.0
528,-E4_1,75.4,0.56,10.58,229.41,229.41,409.8,0.0
528,-E4_2,70.95,0.26,4.88,105.88,105.88,409.8,0.0
528,E0_0,0.0,0.31,0.0,688.24,688.24,2200.0,0.0
528,E0_1,110.74,1.04,22.73,352.94,426.36,409.8,3.07
528,E0_2,75.4,0.56,10.58,229.41,229.41,409.8,0.0
