Time,Lane,Delay_s,Saturation,Avg_Queue_Veh,Inflow_PCU_h,TotalDemand_h,Capacity_h,Residual_NGE
163,E1_0,0.0,0.23,0.0,511.11,511.11,2200.0,0.0
163,E1_1,77.12,0.79,12.97,311.11,311.11,393.83,1.48
163,E1_2,58.43,0.37,5.34,144.44,144.44,393.83,0.0
163,E2_0,0.0,0.23,0.0,511.11,511.11,2200.0,0.0
163,E2_1,87.36,0.93,16.39,377.78,377.78,407.41,2.54
163,E2_2,58.83,0.46,6.93,188.89,188.89,407.41,0.0
163,-E3_0,0.0,0.19,0.0,411.11,411.11,2200.0,0.0
163,-E3_1,59.82,0.55,8.15,222.22,222.22,407.41,0.0
163,-E3_2,56.64,0.27,4.07,111.11,111.11,407.41,0.0
163,-E4_0,0.0,0.26,0.0,566.67,566.67,2200.0,0.0
163,-E4_1,80.23,0.82,13.68,322.22,322.22,393.83,1.78
163,-E4_2,59.4,0.45,6.57,177.78,177.78,393.83,0.0
163,E0_0,0.0,0.21,0.0,466.67,466.67,2200.0,0.0
163,E0_1,67.37,0.71,11.21,288.89,288.89,407.41,0.62
163,E0_2,57.56,0.35,5.3,144.44,144.44,407.41,0.0
327,E1_0,0.0,0.31,0.0,691.46,691.46,2200.0,0.0
327,E1_1,97.22,1.31,22.42,493.9,526.4,402.44,2.82
327,E1_2,74.27,0.76,12.63,307.32,307.32,402.44,1.19
327,E2_0,0.0,0.28,0.0,625.61,625.61,2200.0,0.0
327,E2_1,102.97,1.37,23.81,493.9,549.64,402.44,3.35
327,E2_2,88.06,0.98,17.09,395.12,395.12,402.44,2.38
327,-E3_0,0.0,0.25,0.0,548.78,548.78,2200.0,0.0
327,-E3_1,65.52,0.68,10.55,274.39,274.39,402.44,0.33
327,-E3_2,57.02,0.22,3.27,87.8,87.8,402.44,0.0
327,-E4_0,0.0,0.21,0.0,471.95,471.95,2200.0,0.0
327,-E4_1,70.64,0.72,11.27,241.46,280.51,389.02,0.75
327,-E4_2,57.87,0.23,3.29,87.8,87.8,389.02,0.0
327,E0_0,0.0,0.28,0.0,614.63,614.63,2200.0,0.0
327,E0_1,80.82,0.82,14.18,318.29,331.87,402.44,1.83
327,E0_2,59.17,0.41,6.13,164.63,164.63,402.44,0.0
491,E1_0,0.0,0.28,0.0,625.61,625.61,2200.0,0.0
491,E1_1,102.13,1.14,20.71,395.12,457.1,402.44,3.69
491,E1_2,61.28,0.58,8.73,208.54,234.64,402.44,0.0
491,E2_0,0.0,0.3,0.0,658.54,658.54,2200.0,0.0
491,E2_1,101.96,1.36,23.57,471.95,545.55,402.44,3.26
491,E2_2,88.71,0.92,16.35,318.29,370.65,402.44,2.56
491,-E3_0,0.0,0.26,0.0,581.71,581.71,2200.0,0.0
491,-E3_1,104.42,1.15,20.49,439.02,446.33,389.02,3.75
491,-E3_2,60.71,0.48,7.0,186.59,186.59,389.02,0.0
491,-E4_0,0.0,0.2,0.0,450.0,450.0,2200.0,0.0
491,-E4_1,69.9,0.72,11.59,274.39,290.89,402.44,0.76
491,-E4_2,57.62,0.27,4.09,109.76,109.76,402.44,0.0
491,E0_0,0.0,0.25,0.0,548.78,548.78,2200.0,0.0
491,E0_1,82.05,0.84,14.47,296.34,336.46,402.44,1.95
491,E0_2,60.48,0.52,7.76,208.54,208.54,402.44,0.0
