Time,Lane,Delay_s,Saturation,Queue_m,Inflow_PCU_h,Outflow_PCU_h,Avg_Queue
165,E1_0,0.0,0.28,0.0,501.82,436.36,0.86
165,E1_1,59.48,0.68,2.29,294.55,196.36,0.32
165,E1_2,51.77,0.33,0.0,141.82,87.27,0.75
165,E2_0,0.0,0.28,0.0,501.82,512.73,1.02
165,E2_1,98.1,1.09,23.65,403.64,360.0,1.08
165,E2_2,58.35,0.5,0.0,185.45,185.45,1.31
165,-E3_0,0.0,0.22,0.0,403.64,370.91,0.06
165,-E3_1,140.68,1.72,15.72,218.18,109.09,2.14
165,-E3_2,157.65,0.86,21.57,109.09,0.0,1.71
165,-E4_0,0.0,0.31,0.0,556.36,436.36,2.93
165,-E4_1,99.87,1.07,21.0,349.09,218.18,1.86
165,-E4_2,61.55,0.54,0.0,174.55,0.0,2.26
165,E0_0,0.0,0.26,0.0,480.0,447.27,0.26
165,E0_1,56.1,0.64,0.0,283.64,218.18,0.85
165,E0_2,52.1,0.35,0.0,152.73,54.55,0.59
330,E1_0,0.0,0.28,0.0,512.73,578.18,5.02
330,E1_1,106.78,1.13,24.56,360.0,436.36,3.49
330,E1_2,61.59,0.51,0.0,163.64,218.18,5.01
330,E2_0,0.0,0.29,0.0,523.64,360.0,1.44
330,E2_1,173.92,2.0,11.36,294.55,240.0,2.0
330,E2_2,169.56,2.0,11.36,218.18,0.0,2.5
330,-E3_0,0.0,0.28,0.0,512.73,327.27,2.35
330,-E3_1,54.3,0.48,0.0,207.27,196.36,1.53
330,-E3_2,49.91,0.15,0.0,65.45,120.0,1.16
330,-E4_0,0.0,0.22,0.0,403.64,447.27,3.74
330,-E4_1,53.93,0.46,0.0,196.36,250.91,1.88
330,-E4_2,50.53,0.2,0.0,87.27,218.18,2.85
330,E0_0,0.0,0.35,0.0,632.73,512.73,2.89
330,E0_1,54.61,0.53,0.0,229.09,294.55,2.08
330,E0_2,50.77,0.25,0.0,109.09,185.45,3.59
495,E1_0,0.0,0.28,0.0,512.73,294.55,4.78
495,E1_1,168.82,2.0,19.89,294.55,130.91,2.46
495,E1_2,161.68,0.85,20.54,98.18,0.0,2.87
495,E2_0,0.0,0.28,0.0,512.73,534.55,3.22
495,E2_1,71.25,0.79,11.62,349.09,338.18,2.23
495,E2_2,51.02,0.3,0.0,130.91,240.0,1.99
495,-E3_0,0.0,0.26,0.0,480.0,578.18,2.64
495,-E3_1,68.71,0.77,9.68,338.18,338.18,2.24
495,-E3_2,52.03,0.37,0.0,163.64,163.64,1.81
495,-E4_0,0.0,0.2,0.0,370.91,436.36,3.82
495,-E4_1,54.99,0.55,0.0,240.0,272.73,3.02
495,-E4_2,51.1,0.28,0.0,120.0,120.0,2.03
495,E0_0,0.0,0.31,0.0,556.36,600.0,5.91
495,E0_1,90.46,1.21,9.85,327.27,338.18,3.76
495,E0_2,86.94,0.77,10.93,207.27,185.45,3.75
660,E1_0,0.0,0.01,0.0,10.91,240.0,1.63
660,E1_1,47.73,0.0,0.0,0.0,185.45,0.73
660,E1_2,48.31,0.05,0.0,21.82,120.0,0.95
660,E2_0,0.0,0.02,0.0,43.64,185.45,3.39
660,E2_1,49.29,0.1,0.0,43.64,152.73,2.51
660,E2_2,48.11,0.0,0.0,0.0,109.09,1.88
660,-E3_0,0.0,0.0,0.0,0.0,120.0,1.89
660,-E3_1,49.2,0.13,0.0,54.55,174.55,2.37
660,-E3_2,49.2,0.13,0.0,54.55,109.09,1.82
660,-E4_0,0.0,0.0,0.0,0.0,32.73,0.84
660,-E4_1,63.71,0.0,0.0,0.0,43.64,1.75
660,-E4_2,63.71,0.0,0.0,0.0,43.64,1.7
660,E0_0,0.0,0.01,0.0,10.91,141.82,0.0
660,E0_1,69.01,0.13,0.0,21.82,21.82,0.0
660,E0_2,68.18,0.0,0.0,0.0,43.64,0.0
