Time,Lane,Delay_s,Queue_m,Saturation
60.0,156084447#2.35_0,73.97,16.33,2.4
60.0,156084447#2.35_0,30.0,0.0,0.0
60.0,156084447#2.35_1,146.41,11.08,4.8
60.0,156084447#2.35_2,79.99,15.37,0.8
60.0,156084447#2.35_2,30.0,0.0,0.0
60.0,156084447#2.35_2,30.0,0.0,0.0
60.0,537517150#2_0,188.68,29.17,6.0
60.0,537517150#2_1,258.1,21.58,8.4
60.0,537517150#2_2,91.85,11.67,3.0
60.0,537517150#2_2,30.0,0.0,0.0
60.0,156084437#2.76_0,84.29,19.83,2.7
60.0,156084437#2.76_0,30.0,0.0,0.0
60.0,156084437#2.76_1,183.55,14.58,6.0
60.0,156084437#2.76_2,53.75,4.67,1.8
60.0,156084437#2.76_2,30.0,0.0,0.0
60.0,-156084515#1.105_0,34.86,9.55,0.75
60.0,-156084515#1.105_0,30.0,0.0,0.0
60.0,-156084515#1.105_0,30.0,0.0,0.0
60.0,-156084515#1.105_0,30.0,0.0,0.0
120.0,156084447#2.35_0,94.71,23.33,3.0
120.0,156084447#2.35_0,30.0,0.0,0.0
120.0,156084447#2.35_1,28.37,0.0,0.0
120.0,156084447#2.35_2,26.04,0.0,0.36
120.0,156084447#2.35_2,30.0,0.0,0.0
120.0,156084447#2.35_2,30.0,0.0,0.0
120.0,537517150#2_0,111.02,15.17,3.6
120.0,537517150#2_1,80.49,4.37,2.67
120.0,537517150#2_2,39.11,1.75,1.33
120.0,537517150#2_2,30.0,0.0,0.0
120.0,156084437#2.76_0,63.76,12.83,2.1
120.0,156084437#2.76_0,30.0,0.0,0.0
120.0,156084437#2.76_1,65.64,3.79,2.18
120.0,156084437#2.76_2,27.62,0.0,0.55
120.0,156084437#2.76_2,30.0,0.0,0.0
120.0,-156084515#1.105_0,36.8,8.17,1.35
120.0,-156084515#1.105_0,30.0,0.0,0.0
120.0,-156084515#1.105_0,30.0,0.0,0.0
120.0,-156084515#1.105_0,30.0,0.0,0.0
180.0,156084447#2.35_0,53.63,9.33,1.8
