Time,Lane,Delay_s,Saturation,Queue_m,Inflow_PCU_h,Outflow_PCU_h,Avg_Queue
66,156084447#2.35_0,0.0,0.42,0.0,763.64,654.55,0.95
66,156084447#2.35_1,13.85,0.5,0.0,381.82,381.82,0.34
66,156084447#2.35_2,12.22,0.25,0.0,190.91,190.91,0.24
66,537517150#2_0,0.0,0.65,0.0,1172.73,1172.73,0.15
66,537517150#2_1,21.47,0.85,16.55,818.18,545.45,0.52
66,537517150#2_2,8.88,0.34,0.0,327.27,136.36,0.65
66,156084437#2.76_0,0.0,0.56,0.0,1009.09,790.91,0.27
66,156084437#2.76_1,15.38,0.65,0.0,490.91,490.91,0.01
66,156084437#2.76_2,14.68,0.6,0.0,463.64,381.82,0.84
66,-156084515#1.105_0,0.0,0.53,0.0,954.55,300.0,1.12
132,156084447#2.35_0,1.32,0.72,5.0,1309.09,1281.82,0.48
132,156084447#2.35_1,20.63,0.76,9.71,627.27,572.73,0.21
132,156084447#2.35_2,12.43,0.46,0.0,381.82,381.82,0.23
132,537517150#2_0,0.0,0.63,0.0,1145.45,1009.09,0.17
132,537517150#2_1,28.5,0.89,20.66,736.36,654.55,0.89
132,537517150#2_2,12.2,0.43,0.0,354.55,272.73,1.64
132,156084437#2.76_0,0.0,0.38,0.0,681.82,845.45,1.52
132,156084437#2.76_1,11.97,0.48,0.0,409.09,409.09,0.29
132,156084437#2.76_2,10.92,0.32,0.0,272.73,327.27,1.03
132,-156084515#1.105_0,0.0,0.48,0.0,872.73,845.45,3.36
198,156084447#2.35_0,0.0,0.65,0.0,1172.73,1009.09,0.63
198,156084447#2.35_1,12.98,0.61,0.0,518.18,572.73,0.3
198,156084447#2.35_2,12.21,0.51,0.0,436.36,436.36,1.23
198,537517150#2_0,0.0,0.42,0.0,763.64,900.0,0.17
198,537517150#2_1,29.55,0.92,20.17,736.36,981.82,0.75
198,537517150#2_2,13.65,0.55,0.0,436.36,436.36,0.93
198,156084437#2.76_0,0.0,0.54,0.0,981.82,845.45,0.52
198,156084437#2.76_1,13.08,0.58,0.0,490.91,490.91,0.29
198,156084437#2.76_2,12.56,0.52,0.0,436.36,354.55,0.37
198,-156084515#1.105_0,0.0,0.39,0.0,709.09,845.45,4.65
264,156084447#2.35_0,0.0,0.65,0.0,1172.73,1363.64,0.63
264,156084447#2.35_1,23.87,0.81,13.71,654.55,654.55,0.34
264,156084447#2.35_2,12.78,0.47,0.0,381.82,381.82,0.39
264,537517150#2_0,0.0,0.62,0.0,1118.18,1036.36,0.15
264,537517150#2_1,27.9,0.96,18.11,790.91,845.45,0.98
264,537517150#2_2,17.67,0.7,4.98,572.73,327.27,1.72
264,156084437#2.76_0,0.0,0.5,0.0,900.0,1090.91,1.39
264,156084437#2.76_1,17.67,0.7,4.98,572.73,572.73,0.49
264,156084437#2.76_2,12.09,0.37,0.0,300.0,381.82,1.13
264,-156084515#1.105_0,0.0,0.33,0.0,600.0,300.0,9.09
330,156084447#2.35_0,0.0,0.57,0.0,1036.36,818.18,0.61
330,156084447#2.35_1,13.28,0.54,0.0,436.36,436.36,0.23
330,156084447#2.35_2,12.31,0.4,0.0,327.27,272.73,0.55
330,537517150#2_0,0.0,0.27,0.0,490.91,545.45,0.11
330,537517150#2_1,13.38,0.51,0.0,409.09,381.82,0.2
330,537517150#2_2,10.91,0.17,0.0,136.36,600.0,0.8
330,156084437#2.76_0,0.0,0.57,0.0,1036.36,954.55,0.52
330,156084437#2.76_1,14.21,0.61,0.0,490.91,490.91,0.26
330,156084437#2.76_2,11.55,0.33,0.0,272.73,300.0,0.39
330,-156084515#1.105_0,0.0,0.26,0.0,463.64,436.36,6.73
396,156084447#2.35_0,0.0,0.59,0.0,1063.64,1281.82,0.42
396,156084447#2.35_1,13.92,0.58,0.0,463.64,463.64,0.33
396,156084447#2.35_2,12.67,0.5,0.0,409.09,409.09,0.45
396,537517150#2_0,0.0,0.45,0.0,818.18,845.45,0.12
396,537517150#2_1,13.08,0.58,0.0,490.91,381.82,0.31
396,537517150#2_2,10.67,0.23,0.0,190.91,190.91,0.39
396,156084437#2.76_0,1.59,0.73,6.02,1336.36,1200.0,0.85
396,156084437#2.76_1,14.12,0.64,0.0,518.18,463.64,0.33
396,156084437#2.76_2,13.28,0.54,0.0,436.36,409.09,0.08
396,-156084515#1.105_0,0.0,0.5,0.0,900.0,790.91,5.96
462,156084447#2.35_0,0.0,0.45,0.0,818.18,681.82,0.11
462,156084447#2.35_1,12.31,0.4,0.0,327.27,327.27,0.0
462,156084447#2.35_2,12.31,0.4,0.0,327.27,218.18,0.48
462,537517150#2_0,0.0,0.62,0.0,1118.18,1090.91,0.2
462,537517150#2_1,18.4,0.73,7.53,627.27,572.73,0.78
462,537517150#2_2,11.23,0.32,0.0,272.73,218.18,0.37
462,156084437#2.76_0,1.32,0.72,5.0,1309.09,1363.64,0.89
462,156084437#2.76_1,24.59,0.83,15.29,681.82,681.82,0.8
462,156084437#2.76_2,12.2,0.43,0.0,354.55,381.82,0.96
462,-156084515#1.105_0,0.0,0.47,0.0,845.45,872.73,5.6
528,156084447#2.35_0,0.0,0.43,0.0,790.91,1036.36,0.77
528,156084447#2.35_1,19.76,0.74,7.95,600.0,600.0,1.14
528,156084447#2.35_2,13.28,0.54,0.0,436.36,436.36,1.41
528,537517150#2_0,0.0,0.24,0.0,436.36,463.64,0.05
528,537517150#2_1,12.09,0.45,0.0,381.82,627.27,0.01
528,537517150#2_2,11.86,0.42,0.0,354.55,463.64,0.38
528,156084437#2.76_0,0.0,0.41,0.0,736.36,900.0,1.83
528,156084437#2.76_1,11.97,0.4,0.0,327.27,381.82,0.85
528,156084437#2.76_2,11.35,0.3,0.0,245.45,245.45,0.6
528,-156084515#1.105_0,0.0,0.51,0.0,927.27,981.82,5.05
594,156084447#2.35_0,0.0,0.0,0.0,0.0,0.0,0.0
594,156084447#2.35_1,10.09,0.0,0.0,0.0,0.0,0.0
594,156084447#2.35_2,10.09,0.0,0.0,0.0,163.64,0.94
594,537517150#2_0,0.0,0.0,0.0,0.0,0.0,0.0
594,537517150#2_1,9.55,0.0,0.0,0.0,0.0,0.0
594,537517150#2_2,9.55,0.0,0.0,0.0,0.0,0.0
594,156084437#2.76_0,0.0,0.0,0.0,0.0,0.0,0.0
594,156084437#2.76_1,10.09,0.0,0.0,0.0,0.0,0.0
594,156084437#2.76_2,10.09,0.0,0.0,0.0,0.0,0.0
594,-156084515#1.105_0,0.0,0.43,0.0,790.91,900.0,6.21
