Time,Lane,Delay_s,Saturation,Queue_m,Inflow_PCU_h,Outflow_PCU_h,Avg_Queue
66,156084447#2.35_0,56.9,0.21,0.0,763.64,600.0,1.03
66,156084447#2.35_0,33.0,0.0,0.0,0.0,0.0,0.0
66,156084447#2.35_1,11.47,0.27,0.0,218.18,163.64,0.3
66,156084447#2.35_2,4.21,0.07,0.0,163.64,27.27,1.95
66,156084447#2.35_2,33.0,0.0,0.0,0.0,0.0,0.0
66,156084447#2.35_2,33.0,0.0,0.0,0.0,0.0,0.0
66,537517150#2_0,0.0,0.65,0.0,1172.73,1172.73,0.15
66,537517150#2_1,24.37,0.99,11.22,818.18,818.18,0.55
66,537517150#2_2,0.33,0.2,0.0,327.27,272.73,0.27
66,537517150#2_2,33.0,0.0,0.0,0.0,0.0,0.0
66,156084437#2.76_0,74.16,0.28,0.0,1009.09,681.82,1.48
66,156084437#2.76_0,33.0,0.0,0.0,0.0,0.0,0.0
66,156084437#2.76_1,17.67,0.7,4.98,572.73,463.64,0.33
66,156084437#2.76_2,0.5,0.29,0.0,463.64,272.73,0.82
66,156084437#2.76_2,33.0,0.0,0.0,0.0,0.0,0.0
66,-156084515#1.105_0,300.0,0.13,0.0,954.55,654.55,3.85
66,-156084515#1.105_0,33.0,0.0,0.0,0.0,0.0,0.0
66,-156084515#1.105_0,33.0,0.0,0.0,0.0,0.0,0.0
66,-156084515#1.105_0,33.0,0.0,0.0,0.0,0.0,0.0
132,156084447#2.35_0,117.86,0.36,0.0,1309.09,1254.55,3.86
132,156084447#2.35_0,33.0,0.0,0.0,0.0,0.0,0.0
132,156084447#2.35_1,15.37,0.79,11.31,845.45,736.36,0.84
132,156084447#2.35_2,25.43,0.13,0.0,409.09,436.36,1.93
132,156084447#2.35_2,33.0,0.0,0.0,0.0,0.0,0.0
132,156084447#2.35_2,33.0,0.0,0.0,0.0,0.0,0.0
132,537517150#2_0,0.0,0.63,0.0,1145.45,1009.09,0.17
132,537517150#2_1,44.35,1.19,26.16,736.36,354.55,0.91
132,537517150#2_2,4.15,0.29,0.0,354.55,409.09,3.47
132,537517150#2_2,33.0,0.0,0.0,0.0,0.0,0.0
132,156084437#2.76_0,52.8,0.19,0.0,681.82,872.73,0.98
132,156084437#2.76_0,33.0,0.0,0.0,0.0,0.0,0.0
132,156084437#2.76_1,7.44,0.48,0.0,518.18,518.18,0.21
132,156084437#2.76_2,1.51,0.13,0.0,272.73,272.73,2.64
132,156084437#2.76_2,33.0,0.0,0.0,0.0,0.0,0.0
132,-156084515#1.105_0,300.0,0.08,0.0,545.45,0.0,40.82
132,-156084515#1.105_0,33.0,0.0,0.0,0.0,0.0,0.0
132,-156084515#1.105_0,33.0,0.0,0.0,0.0,0.0,0.0
132,-156084515#1.105_0,33.0,0.0,0.0,0.0,0.0,0.0
198,156084447#2.35_0,92.96,0.32,0.0,1172.73,1227.27,2.17
198,156084447#2.35_0,33.0,0.0,0.0,0.0,0.0,0.0
198,156084447#2.35_1,8.06,0.53,0.0,572.73,709.09,0.82
198,156084447#2.35_2,25.93,0.14,0.0,436.36,545.45,1.75
198,156084447#2.35_2,33.0,0.0,0.0,0.0,0.0,0.0
198,156084447#2.35_2,33.0,0.0,0.0,0.0,0.0,0.0
198,537517150#2_0,0.0,0.42,0.0,763.64,900.0,0.14
198,537517150#2_1,34.79,1.27,10.85,736.36,736.36,3.89
198,537517150#2_2,5.74,0.38,0.0,436.36,163.64,2.5
198,537517150#2_2,33.0,0.0,0.0,0.0,0.0,0.0
198,156084437#2.76_0,71.74,0.27,0.0,981.82,872.73,1.71
198,156084437#2.76_0,33.0,0.0,0.0,0.0,0.0,0.0
198,156084437#2.76_1,8.06,0.53,0.0,572.73,681.82,0.31
198,156084437#2.76_2,1.44,0.2,0.0,436.36,436.36,3.17
198,156084437#2.76_2,33.0,0.0,0.0,0.0,0.0,0.0
198,-156084515#1.105_0,300.0,0.04,0.0,272.73,354.55,44.03
198,-156084515#1.105_0,33.0,0.0,0.0,0.0,0.0,0.0
198,-156084515#1.105_0,33.0,0.0,0.0,0.0,0.0,0.0
198,-156084515#1.105_0,33.0,0.0,0.0,0.0,0.0,0.0
264,156084447#2.35_0,92.96,0.32,0.0,1172.73,1336.36,3.29
264,156084447#2.35_0,33.0,0.0,0.0,0.0,0.0,0.0
264,156084447#2.35_1,30.56,1.06,15.75,790.91,845.45,0.85
264,156084447#2.35_2,2.29,0.21,0.0,463.64,463.64,1.8
264,156084447#2.35_2,33.0,0.0,0.0,0.0,0.0,0.0
264,156084447#2.35_2,33.0,0.0,0.0,0.0,0.0,0.0
264,537517150#2_0,0.0,0.62,0.0,1118.18,1036.36,0.15
264,537517150#2_1,19.03,0.81,13.35,790.91,1118.18,1.83
264,537517150#2_2,0.4,0.29,0.0,572.73,327.27,3.14
264,537517150#2_2,33.0,0.0,0.0,0.0,0.0,0.0
264,156084437#2.76_0,65.35,0.25,0.0,900.0,1145.45,5.82
264,156084437#2.76_0,33.0,0.0,0.0,0.0,0.0,0.0
264,156084437#2.76_1,24.86,0.79,12.78,600.0,600.0,1.3
264,156084437#2.76_2,1.06,0.16,0.0,245.45,245.45,5.39
264,156084437#2.76_2,33.0,0.0,0.0,0.0,0.0,0.0
264,-156084515#1.105_0,300.0,0.09,0.0,654.55,490.91,21.61
264,-156084515#1.105_0,33.0,0.0,0.0,0.0,0.0,0.0
264,-156084515#1.105_0,33.0,0.0,0.0,0.0,0.0,0.0
264,-156084515#1.105_0,33.0,0.0,0.0,0.0,0.0,0.0
330,156084447#2.35_0,76.74,0.28,0.0,1036.36,736.36,2.32
330,156084447#2.35_0,33.0,0.0,0.0,0.0,0.0,0.0
330,156084447#2.35_1,28.47,0.75,9.98,436.36,381.82,0.89
330,156084447#2.35_2,0.08,0.13,0.0,218.18,218.18,2.14
330,156084447#2.35_2,33.0,0.0,0.0,0.0,0.0,0.0
330,156084447#2.35_2,33.0,0.0,0.0,0.0,0.0,0.0
330,537517150#2_0,0.0,0.27,0.0,490.91,545.45,0.1
330,537517150#2_1,7.13,0.38,0.0,409.09,409.09,0.45
330,537517150#2_2,1.18,0.06,0.0,136.36,654.55,4.8
330,537517150#2_2,33.0,0.0,0.0,0.0,0.0,0.0
330,156084437#2.76_0,76.74,0.28,0.0,1036.36,709.09,4.88
330,156084437#2.76_0,33.0,0.0,0.0,0.0,0.0,0.0
330,156084437#2.76_1,35.35,1.06,14.05,600.0,409.09,1.06
330,156084437#2.76_2,5.57,0.24,0.0,272.73,354.55,3.8
330,156084437#2.76_2,33.0,0.0,0.0,0.0,0.0,0.0
330,-156084515#1.105_0,300.0,0.08,0.0,600.0,845.45,24.03
330,-156084515#1.105_0,33.0,0.0,0.0,0.0,0.0,0.0
330,-156084515#1.105_0,33.0,0.0,0.0,0.0,0.0,0.0
330,-156084515#1.105_0,33.0,0.0,0.0,0.0,0.0,0.0
396,156084447#2.35_0,79.52,0.29,0.0,1063.64,1200.0,1.05
396,156084447#2.35_0,33.0,0.0,0.0,0.0,0.0,0.0
396,156084447#2.35_1,13.26,0.64,0.0,545.45,572.73,0.11
396,156084447#2.35_2,7.41,0.18,0.0,463.64,136.36,3.75
396,156084447#2.35_2,33.0,0.0,0.0,0.0,0.0,0.0
396,156084447#2.35_2,33.0,0.0,0.0,0.0,0.0,0.0
396,537517150#2_0,0.0,0.45,0.0,818.18,845.45,0.12
396,537517150#2_1,12.35,0.57,0.0,490.91,490.91,1.34
396,537517150#2_2,0.01,0.11,0.0,190.91,190.91,0.64
396,537517150#2_2,33.0,0.0,0.0,0.0,0.0,0.0
396,156084437#2.76_0,124.53,0.37,0.0,1336.36,1390.91,0.61
396,156084437#2.76_0,33.0,0.0,0.0,0.0,0.0,0.0
396,156084437#2.76_1,20.28,0.77,10.28,654.55,681.82,0.01
396,156084437#2.76_2,0.15,0.22,0.0,381.82,109.09,0.83
396,156084437#2.76_2,33.0,0.0,0.0,0.0,0.0,0.0
396,-156084515#1.105_0,300.0,0.06,0.0,409.09,545.45,38.48
396,-156084515#1.105_0,33.0,0.0,0.0,0.0,0.0,0.0
396,-156084515#1.105_0,33.0,0.0,0.0,0.0,0.0,0.0
396,-156084515#1.105_0,33.0,0.0,0.0,0.0,0.0,0.0
462,156084447#2.35_0,60.0,0.23,0.0,818.18,845.45,1.18
462,156084447#2.35_0,33.0,0.0,0.0,0.0,0.0,0.0
462,156084447#2.35_1,6.25,0.3,0.0,327.27,354.55,0.16
462,156084447#2.35_2,26.94,0.1,0.0,327.27,354.55,3.5
462,156084447#2.35_2,33.0,0.0,0.0,0.0,0.0,0.0
462,156084447#2.35_2,33.0,0.0,0.0,0.0,0.0,0.0
462,537517150#2_0,0.0,0.62,0.0,1118.18,1090.91,0.2
462,537517150#2_1,39.6,1.11,18.42,627.27,600.0,1.19
462,537517150#2_2,5.67,0.27,0.0,300.0,245.45,2.15
462,537517150#2_2,33.0,0.0,0.0,0.0,0.0,0.0
462,156084437#2.76_0,117.86,0.36,0.0,1309.09,1336.36,1.35
462,156084437#2.76_0,33.0,0.0,0.0,0.0,0.0,0.0
462,156084437#2.76_1,7.29,0.45,0.0,490.91,572.73,0.23
462,156084437#2.76_2,1.56,0.15,0.0,327.27,545.45,1.7
462,156084437#2.76_2,33.0,0.0,0.0,0.0,0.0,0.0
462,-156084515#1.105_0,300.0,0.09,0.0,654.55,518.18,36.06
462,-156084515#1.105_0,33.0,0.0,0.0,0.0,0.0,0.0
462,-156084515#1.105_0,33.0,0.0,0.0,0.0,0.0,0.0
462,-156084515#1.105_0,33.0,0.0,0.0,0.0,0.0,0.0
528,156084447#2.35_0,58.41,0.22,0.0,790.91,1036.36,1.33
528,156084447#2.35_0,33.0,0.0,0.0,0.0,0.0,0.0
528,156084447#2.35_1,8.79,0.53,0.0,545.45,545.45,0.7
528,156084447#2.35_2,21.55,0.14,0.0,436.36,627.27,6.68
528,156084447#2.35_2,33.0,0.0,0.0,0.0,0.0,0.0
528,156084447#2.35_2,33.0,0.0,0.0,0.0,0.0,0.0
528,537517150#2_0,0.0,0.24,0.0,436.36,463.64,0.05
528,537517150#2_1,15.73,0.54,0.0,381.82,463.64,0.0
528,537517150#2_2,2.08,0.23,0.0,327.27,218.18,1.77
528,537517150#2_2,33.0,0.0,0.0,0.0,0.0,0.0
528,156084437#2.76_0,55.46,0.2,0.0,736.36,981.82,4.12
528,156084437#2.76_0,33.0,0.0,0.0,0.0,0.0,0.0
528,156084437#2.76_1,7.77,0.32,0.0,327.27,409.09,0.99
528,156084437#2.76_2,0.55,0.11,0.0,218.18,381.82,2.05
528,156084437#2.76_2,33.0,0.0,0.0,0.0,0.0,0.0
528,-156084515#1.105_0,300.0,0.13,0.0,927.27,681.82,21.06
528,-156084515#1.105_0,33.0,0.0,0.0,0.0,0.0,0.0
528,-156084515#1.105_0,33.0,0.0,0.0,0.0,0.0,0.0
528,-156084515#1.105_0,33.0,0.0,0.0,0.0,0.0,0.0
594,156084447#2.35_0,33.0,0.0,0.0,0.0,0.0,0.0
594,156084447#2.35_0,33.0,0.0,0.0,0.0,0.0,0.0
594,156084447#2.35_1,31.03,0.0,0.0,0.0,0.0,0.0
594,156084447#2.35_2,27.27,0.0,0.0,0.0,109.09,0.0
594,156084447#2.35_2,33.0,0.0,0.0,0.0,0.0,0.0
594,156084447#2.35_2,33.0,0.0,0.0,0.0,0.0,0.0
594,537517150#2_0,0.0,0.0,0.0,0.0,0.0,0.0
594,537517150#2_1,0.19,0.0,0.0,0.0,0.0,0.0
594,537517150#2_2,23.76,0.0,0.0,0.0,163.64,0.35
594,537517150#2_2,33.0,0.0,0.0,0.0,0.0,0.0
594,156084437#2.76_0,33.0,0.0,0.0,0.0,0.0,0.0
594,156084437#2.76_0,33.0,0.0,0.0,0.0,0.0,0.0
594,156084437#2.76_1,31.03,0.0,0.0,0.0,0.0,0.0
594,156084437#2.76_2,29.12,0.0,0.0,0.0,0.0,0.0
594,156084437#2.76_2,33.0,0.0,0.0,0.0,0.0,0.0
594,-156084515#1.105_0,300.0,0.12,0.0,872.73,1609.09,11.88
594,-156084515#1.105_0,33.0,0.0,0.0,0.0,0.0,0.0
594,-156084515#1.105_0,33.0,0.0,0.0,0.0,0.0,0.0
