Time,Lane,Delay_s,Saturation,Queue_m,Inflow_PCU_h,Outflow_PCU_h,Avg_Queue
66,156084447#2.35_0,0.0,0.02,0.0,27.27,27.27,0.01
66,156084447#2.35_1,9.97,0.03,0.0,27.27,27.27,0.0
66,156084447#2.35_2,9.97,0.03,0.0,27.27,27.27,0.27
66,537517150#2_0,0.0,0.0,0.0,0.0,0.0,0.0
66,537517150#2_1,9.28,0.0,0.0,0.0,0.0,0.0
66,537517150#2_2,9.55,0.0,0.0,0.0,0.0,0.0
66,156084437#2.76_0,0.0,0.18,0.0,327.27,327.27,0.04
66,156084437#2.76_1,10.57,0.1,0.0,81.82,81.82,0.0
66,156084437#2.76_2,10.57,0.1,0.0,81.82,27.27,0.0
66,-156084515#1.105_0,0.0,0.04,0.0,81.82,81.82,0.3
132,156084447#2.35_0,0.0,0.04,0.0,81.82,54.55,0.02
132,156084447#2.35_1,10.12,0.07,0.0,54.55,54.55,0.0
132,156084447#2.35_2,10.12,0.07,0.0,54.55,54.55,0.0
132,537517150#2_0,0.0,0.09,0.0,163.64,163.64,0.02
132,537517150#2_1,10.16,0.13,0.0,109.09,109.09,0.0
132,537517150#2_2,9.84,0.06,0.0,54.55,54.55,0.42
132,156084437#2.76_0,0.0,0.06,0.0,109.09,109.09,0.01
132,156084437#2.76_1,11.03,0.14,0.0,109.09,109.09,0.0
132,156084437#2.76_2,11.03,0.14,0.0,109.09,163.64,0.36
132,-156084515#1.105_0,0.0,0.18,0.0,327.27,245.45,0.18
198,156084447#2.35_0,0.0,0.08,0.0,136.36,163.64,0.32
198,156084447#2.35_1,6.09,0.1,0.0,109.09,109.09,0.2
198,156084447#2.35_2,5.91,0.05,0.0,54.55,54.55,0.0
198,537517150#2_0,0.0,0.04,0.0,81.82,81.82,0.02
198,537517150#2_1,13.66,0.12,0.0,81.82,81.82,0.0
198,537517150#2_2,13.66,0.12,0.0,81.82,27.27,0.12
198,156084437#2.76_0,0.0,0.08,0.0,136.36,81.82,0.03
198,156084437#2.76_1,5.73,0.0,0.0,0.0,0.0,0.0
198,156084437#2.76_2,5.73,0.0,0.0,0.0,0.0,0.0
198,-156084515#1.105_0,0.0,0.0,0.0,0.0,81.82,0.0
264,156084447#2.35_0,0.0,0.12,0.0,218.18,218.18,0.18
264,156084447#2.35_1,10.44,0.13,0.0,109.09,109.09,0.0
264,156084447#2.35_2,10.44,0.13,0.0,109.09,109.09,0.38
264,537517150#2_0,0.0,0.15,0.0,272.73,272.73,0.02
264,537517150#2_1,11.47,0.27,0.0,218.18,109.09,0.0
264,537517150#2_2,10.09,0.0,0.0,0.0,54.55,0.41
264,156084437#2.76_0,0.0,0.02,0.0,27.27,81.82,0.01
264,156084437#2.76_1,9.28,0.0,0.0,0.0,0.0,0.0
264,156084437#2.76_2,9.28,0.0,0.0,0.0,0.0,0.0
264,-156084515#1.105_0,0.0,0.06,0.0,109.09,81.82,0.02
330,156084447#2.35_0,0.0,0.02,0.0,27.27,27.27,0.01
330,156084447#2.35_1,9.55,0.0,0.0,0.0,0.0,0.0
330,156084447#2.35_2,9.55,0.0,0.0,0.0,0.0,0.0
330,537517150#2_0,0.0,0.09,0.0,163.64,163.64,0.02
330,537517150#2_1,10.25,0.03,0.0,27.27,136.36,0.32
330,537517150#2_2,10.09,0.0,0.0,0.0,0.0,0.0
330,156084437#2.76_0,0.0,0.06,0.0,109.09,109.09,0.02
330,156084437#2.76_1,9.57,0.06,0.0,54.55,54.55,0.0
330,156084437#2.76_2,9.57,0.06,0.0,54.55,54.55,0.37
330,-156084515#1.105_0,0.0,0.08,0.0,136.36,109.09,0.25
396,156084447#2.35_0,0.0,0.18,0.0,327.27,327.27,0.04
396,156084447#2.35_1,10.32,0.16,0.0,136.36,136.36,0.0
396,156084447#2.35_2,10.32,0.16,0.0,136.36,136.36,0.36
396,537517150#2_0,0.0,0.06,0.0,109.09,109.09,0.01
396,537517150#2_1,10.74,0.13,0.0,109.09,109.09,0.0
396,537517150#2_2,10.09,0.0,0.0,0.0,0.0,0.0
396,156084437#2.76_0,0.0,0.09,0.0,163.64,136.36,0.02
396,156084437#2.76_1,10.16,0.13,0.0,109.09,109.09,0.0
396,156084437#2.76_2,10.16,0.13,0.0,109.09,109.09,0.0
396,-156084515#1.105_0,0.0,0.0,0.0,0.0,54.55,0.3
462,156084447#2.35_0,0.0,0.11,0.0,190.91,190.91,0.02
462,156084447#2.35_1,1.43,0.13,0.0,190.91,190.91,0.0
462,156084447#2.35_2,1.43,0.13,0.0,190.91,54.55,0.11
462,537517150#2_0,0.0,0.11,0.0,190.91,190.91,0.02
462,537517150#2_1,26.11,0.59,0.0,163.64,163.64,0.6
462,537517150#2_2,23.76,0.0,0.0,0.0,0.0,0.0
462,156084437#2.76_0,0.0,0.03,0.0,54.55,81.82,0.01
462,156084437#2.76_1,1.28,0.0,0.0,0.0,0.0,0.0
462,156084437#2.76_2,1.28,0.0,0.0,0.0,0.0,0.0
462,-156084515#1.105_0,0.0,0.03,0.0,54.55,54.55,0.02
