Time,Lane,Delay_s,Saturation,Queue_m,Inflow_PCU_h,Outflow_PCU_h,Avg_Queue
66,156084447#2.35_0,0.0,0.02,0.0,27.27,27.27,0.01
66,156084447#2.35_1,20.0,0.07,0.0,27.27,27.27,0.0
66,156084447#2.35_2,20.0,0.07,0.0,27.27,27.27,0.35
66,537517150#2_0,0.0,0.0,0.0,0.0,0.0,0.0
66,537517150#2_1,3.18,0.0,0.0,0.0,0.0,0.0
66,537517150#2_2,3.18,0.0,0.0,0.0,0.0,0.0
66,156084437#2.76_0,0.0,0.18,0.0,327.27,327.27,0.04
66,156084437#2.76_1,20.63,0.2,0.0,81.82,81.82,0.0
66,156084437#2.76_2,20.63,0.2,0.0,81.82,27.27,0.02
66,-156084515#1.105_0,0.0,0.04,0.0,81.82,81.82,0.16
132,156084447#2.35_0,0.0,0.04,0.0,81.82,54.55,0.02
132,156084447#2.35_1,18.75,0.12,0.0,54.55,54.55,0.0
132,156084447#2.35_2,18.37,0.11,0.0,54.55,54.55,0.18
132,537517150#2_0,0.0,0.09,0.0,163.64,163.64,0.02
132,537517150#2_1,5.88,0.1,0.0,109.09,109.09,0.0
132,537517150#2_2,5.48,0.05,0.0,54.55,54.55,0.1
132,156084437#2.76_0,0.0,0.06,0.0,109.09,109.09,0.01
132,156084437#2.76_1,18.96,0.23,0.0,109.09,109.09,0.0
132,156084437#2.76_2,18.96,0.23,0.0,109.09,163.64,0.25
132,-156084515#1.105_0,0.0,0.18,0.0,327.27,327.27,0.24
198,156084447#2.35_0,0.0,0.08,0.0,136.36,163.64,0.02
198,156084447#2.35_1,10.12,0.07,0.0,54.55,54.55,0.0
198,156084447#2.35_2,10.12,0.07,0.0,54.55,0.0,0.23
198,537517150#2_0,0.0,0.04,0.0,81.82,81.82,0.02
198,537517150#2_1,8.38,0.09,0.0,81.82,81.82,0.0
198,537517150#2_2,8.38,0.09,0.0,81.82,81.82,0.16
198,156084437#2.76_0,0.0,0.08,0.0,136.36,27.27,0.71
198,156084437#2.76_1,10.25,0.03,0.0,27.27,0.0,0.0
198,156084437#2.76_2,10.09,0.0,0.0,0.0,0.0,0.0
198,-156084515#1.105_0,0.0,0.0,0.0,0.0,0.0,0.0
264,156084447#2.35_0,0.0,0.12,0.0,218.18,218.18,0.06
264,156084447#2.35_1,3.9,0.09,0.0,109.09,109.09,0.0
264,156084447#2.35_2,3.9,0.09,0.0,109.09,163.64,0.15
264,537517150#2_0,0.0,0.15,0.0,272.73,272.73,0.02
264,537517150#2_1,21.95,0.51,0.0,218.18,109.09,0.23
264,537517150#2_2,18.94,0.0,0.0,0.0,0.0,0.0
264,156084437#2.76_0,0.0,0.02,0.0,27.27,136.36,0.32
264,156084437#2.76_1,3.67,0.0,0.0,0.0,27.27,0.09
264,156084437#2.76_2,3.67,0.0,0.0,0.0,0.0,0.0
264,-156084515#1.105_0,0.0,0.06,0.0,109.09,81.82,0.03
330,156084447#2.35_0,0.0,0.02,0.0,27.27,27.27,0.01
330,156084447#2.35_1,23.76,0.0,0.0,0.0,0.0,0.0
330,156084447#2.35_2,23.34,0.0,0.0,0.0,0.0,0.0
330,537517150#2_0,0.0,0.09,0.0,163.64,163.64,0.02
330,537517150#2_1,1.4,0.02,0.0,27.27,136.36,0.0
330,537517150#2_2,1.38,0.0,0.0,0.0,0.0,0.0
330,156084437#2.76_0,0.0,0.06,0.0,109.09,109.09,0.02
330,156084437#2.76_1,24.06,0.19,0.0,54.55,54.55,0.0
330,156084437#2.76_2,24.06,0.19,0.0,54.55,54.55,0.33
330,-156084515#1.105_0,0.0,0.08,0.0,136.36,81.82,0.14
396,156084447#2.35_0,0.0,0.18,0.0,327.27,327.27,0.04
396,156084447#2.35_1,4.72,0.12,0.0,136.36,136.36,0.0
396,156084447#2.35_2,4.52,0.12,0.0,136.36,136.36,0.11
396,537517150#2_0,0.0,0.06,0.0,109.09,109.09,0.01
396,537517150#2_1,18.57,0.22,0.0,109.09,0.0,0.22
396,537517150#2_2,17.45,0.0,0.0,0.0,0.0,0.0
396,156084437#2.76_0,0.0,0.09,0.0,163.64,136.36,0.02
396,156084437#2.76_1,4.64,0.09,0.0,109.09,109.09,0.0
396,156084437#2.76_2,4.26,0.09,0.0,109.09,109.09,0.21
396,-156084515#1.105_0,0.0,0.0,0.0,0.0,81.82,0.23
462,156084447#2.35_0,0.0,0.11,0.0,190.91,190.91,0.02
462,156084447#2.35_1,17.52,0.34,0.0,190.91,190.91,0.0
462,156084447#2.35_2,17.52,0.34,0.0,190.91,81.82,0.09
462,537517150#2_0,0.0,0.11,0.0,190.91,190.91,0.02
462,537517150#2_1,5.85,0.15,0.0,163.64,272.73,0.2
462,537517150#2_2,5.32,0.0,0.0,0.0,0.0,0.0
462,156084437#2.76_0,0.0,0.03,0.0,54.55,81.82,0.48
462,156084437#2.76_1,15.68,0.0,0.0,0.0,0.0,0.0
462,156084437#2.76_2,15.68,0.0,0.0,0.0,0.0,0.0
462,-156084515#1.105_0,0.0,0.03,0.0,54.55,54.55,0.02
