Time,Lane,Delay_s,Queue_m,Saturation
60.0,156084447#2.35_0,73.97,16.33,2.4
60.0,156084447#2.35_0,30.0,0.0,0.0
60.0,156084447#2.35_1,156.8,11.28,5.14
60.0,156084447#2.35_2,105.55,21.22,0.86
60.0,156084447#2.35_2,30.0,0.0,0.0
60.0,156084447#2.35_2,30.0,0.0,0.0
60.0,537517150#2_0,188.68,29.17,6.0
60.0,537517150#2_1,242.23,21.39,7.87
60.0,537517150#2_2,86.0,11.28,2.81
60.0,537517150#2_2,30.0,0.0,0.0
60.0,156084437#2.76_0,84.29,19.83,2.7
60.0,156084437#2.76_0,30.0,0.0,0.0
60.0,156084437#2.76_1,117.16,7.78,3.86
60.0,156084437#2.76_2,57.82,5.06,1.93
60.0,156084437#2.76_2,30.0,0.0,0.0
60.0,-156084515#1.105_0,34.86,9.55,0.75
60.0,-156084515#1.105_0,30.0,0.0,0.0
60.0,-156084515#1.105_0,30.0,0.0,0.0
60.0,-156084515#1.105_0,30.0,0.0,0.0
120.0,156084447#2.35_0,94.71,23.33,3.0
120.0,156084447#2.35_0,30.0,0.0,0.0
120.0,156084447#2.35_1,109.34,7.58,3.6
120.0,156084447#2.35_2,79.99,15.37,0.8
120.0,156084447#2.35_2,30.0,0.0,0.0
120.0,156084447#2.35_2,30.0,0.0,0.0
120.0,537517150#2_0,111.02,15.17,3.6
120.0,537517150#2_1,72.34,4.08,2.4
120.0,537517150#2_2,34.8,1.17,1.2
120.0,537517150#2_2,30.0,0.0,0.0
120.0,156084437#2.76_0,63.76,12.83,2.1
120.0,156084437#2.76_0,30.0,0.0,0.0
120.0,156084437#2.76_1,72.34,4.08,2.4
120.0,156084437#2.76_2,27.08,0.0,0.0
120.0,156084437#2.76_2,30.0,0.0,0.0
120.0,-156084515#1.105_0,36.8,8.17,1.35
120.0,-156084515#1.105_0,30.0,0.0,0.0
120.0,-156084515#1.105_0,30.0,0.0,0.0
120.0,-156084515#1.105_0,30.0,0.0,0.0
180.0,156084447#2.35_0,53.63,9.33,1.8
