Time,Lane,Delay_s,Queue_m,Saturation
60.0,156084447#2.35_0,92.27,23.45,2.4
60.0,156084447#2.35_0,300.0,23.45,0.0
60.0,156084447#2.35_1,103.55,14.35,1.8
60.0,156084447#2.35_2,25.46,1.4,0.4
60.0,156084447#2.35_2,300.0,1.05,0.0
60.0,156084447#2.35_2,300.0,1.05,0.0
60.0,537517150#2_0,294.28,49.7,6.0
60.0,537517150#2_1,300.0,49.0,210000.0
60.0,537517150#2_2,300.0,35.0,150000.0
60.0,537517150#2_2,300.0,35.0,0.0
60.0,156084437#2.76_0,111.59,30.45,2.7
60.0,156084437#2.76_0,300.0,30.45,0.0
60.0,156084437#2.76_1,56.75,5.25,1.8
60.0,156084437#2.76_2,34.8,3.15,0.9
60.0,156084437#2.76_2,30.0,0.0,0.0
60.0,-156084515#1.105_0,28.44,4.55,0.75
60.0,-156084515#1.105_0,300.0,4.55,0.0
60.0,-156084515#1.105_0,300.0,4.55,0.0
60.0,-156084515#1.105_0,300.0,4.55,0.0
120.0,156084447#2.35_0,167.01,51.45,3.0
120.0,156084447#2.35_0,300.0,51.45,0.0
120.0,156084447#2.35_1,38.71,2.1,0.6
120.0,156084447#2.35_2,23.55,0.7,0.2
120.0,156084447#2.35_2,30.0,0.0,0.0
120.0,156084447#2.35_2,30.0,0.0,0.0
120.0,537517150#2_0,300.0,70.7,3.6
120.0,537517150#2_1,300.0,63.0,60000.0
120.0,537517150#2_2,300.0,49.0,60000.0
120.0,537517150#2_2,300.0,49.0,0.0
120.0,156084437#2.76_0,127.06,37.45,2.1
120.0,156084437#2.76_0,300.0,37.45,0.0
120.0,156084437#2.76_1,27.08,0.0,0.0
120.0,156084437#2.76_2,24.3,0.0,0.0
120.0,156084437#2.76_2,30.0,0.0,0.0
120.0,-156084515#1.105_0,36.8,8.17,1.35
120.0,-156084515#1.105_0,300.0,4.55,0.0
120.0,-156084515#1.105_0,300.0,4.55,0.0
120.0,-156084515#1.105_0,300.0,4.55,0.0
180.0,156084447#2.35_0,161.93,51.45,1.8
180.0,156084447#2.35_0,300.0,51.45,0.0
180.0,156084447#2.35_1,34.8,1.17,1.2
180.0,156084447#2.35_2,25.46,1.4,0.4
180.0,156084447#2.35_2,30.0,0.0,0.0
180.0,156084447#2.35_2,30.0,0.0,0.0
180.0,537517150#2_0,300.0,140.7,7.8
180.0,537517150#2_1,300.0,119.0,240000.0
180.0,537517150#2_2,300.0,63.0,60000.0
180.0,537517150#2_2,300.0,63.0,0.0
180.0,156084437#2.76_0,145.06,44.45,2.1
180.0,156084437#2.76_0,300.0,44.45,0.0
180.0,156084437#2.76_1,104.57,14.35,2.4
180.0,156084437#2.76_2,33.61,2.33,1.2
180.0,156084437#2.76_2,300.0,1.05,0.0
180.0,-156084515#1.105_0,20.47,0.52,0.15
180.0,-156084515#1.105_0,30.0,0.0,0.0
180.0,-156084515#1.105_0,30.0,0.0,0.0
180.0,-156084515#1.105_0,30.0,0.0,0.0
240.0,156084447#2.35_0,278.27,93.45,3.6
240.0,156084447#2.35_0,300.0,93.45,0.0
240.0,156084447#2.35_1,189.07,30.1,4.2
240.0,156084447#2.35_2,39.44,7.0,1.4
240.0,156084447#2.35_2,30.0,0.0,0.0
240.0,156084447#2.35_2,30.0,0.0,0.0
240.0,537517150#2_0,300.0,140.7,1.8
240.0,537517150#2_1,300.0,126.0,30000.0
240.0,537517150#2_2,300.0,63.0,0.0
240.0,537517150#2_2,300.0,63.0,0.0
240.0,156084437#2.76_0,105.91,30.45,1.2
240.0,156084437#2.76_0,300.0,30.45,0.0
240.0,156084437#2.76_1,38.71,2.1,0.6
240.0,156084437#2.76_2,27.75,1.05,0.3
