Time,Lane,Delay_s,Queue_m,Saturation
60.0,156084447#2.35_0,92.27,23.45,2.4
60.0,156084447#2.35_0,300.0,23.45,0.0
60.0,156084447#2.35_1,103.55,14.35,1.8
60.0,156084447#2.35_2,25.46,1.4,0.4
60.0,156084447#2.35_2,300.0,1.05,0.0
60.0,156084447#2.35_2,300.0,1.05,0.0
60.0,537517150#2_0,294.28,49.7,6.0
60.0,537517150#2_1,300.0,49.0,210000.0
60.0,537517150#2_2,300.0,35.0,150000.0
60.0,537517150#2_2,300.0,35.0,0.0
60.0,156084437#2.76_0,111.59,30.45,2.7
60.0,156084437#2.76_0,300.0,30.45,0.0
60.0,156084437#2.76_1,56.75,5.25,1.8
60.0,156084437#2.76_2,34.8,3.15,0.9
60.0,156084437#2.76_2,30.0,0.0,0.0
60.0,-156084515#1.105_0,28.44,4.55,0.75
60.0,-156084515#1.105_0,300.0,4.55,0.0
60.0,-156084515#1.105_0,300.0,4.55,0.0
60.0,-156084515#1.105_0,300.0,4.55,0.0
