Time,Lane,Delay_s,Saturation,Queue_m,Inflow_PCU_h,Outflow_PCU_h,Avg_Queue
66,156084447#2.35_0,0.0,0.41,0.0,736.36,572.73,0.85
66,156084447#2.35_1,10.92,0.32,0.0,272.73,272.73,0.08
66,156084447#2.35_2,10.2,0.19,0.0,163.64,163.64,0.83
66,537517150#2_0,0.0,0.35,0.0,627.27,518.18,0.08
66,537517150#2_1,12.92,0.53,0.0,436.36,300.0,0.09
66,537517150#2_2,11.87,0.34,0.0,272.73,272.73,0.0
66,156084437#2.76_0,0.0,0.17,0.0,300.0,300.0,0.42
66,156084437#2.76_1,10.0,0.1,0.0,81.82,81.82,0.19
66,156084437#2.76_2,9.69,0.03,0.0,27.27,0.0,0.0
66,-156084515#1.105_0,0.0,0.08,0.0,136.36,54.55,0.02
132,156084447#2.35_0,0.0,0.03,0.0,54.55,163.64,0.01
132,156084447#2.35_1,9.55,0.0,0.0,0.0,0.0,0.0
132,156084447#2.35_2,9.55,0.0,0.0,0.0,0.0,0.0
132,537517150#2_0,0.0,0.27,0.0,490.91,545.45,0.08
132,537517150#2_1,12.09,0.37,0.0,300.0,381.82,0.33
132,537517150#2_2,11.28,0.23,0.0,190.91,190.91,0.01
132,156084437#2.76_0,0.0,0.33,0.0,600.0,409.09,0.07
132,156084437#2.76_1,10.37,0.22,0.0,190.91,190.91,0.0
132,156084437#2.76_2,9.87,0.13,0.0,109.09,81.82,0.28
132,-156084515#1.105_0,0.0,0.45,0.0,818.18,681.82,0.91
198,156084447#2.35_0,0.0,0.3,0.0,545.45,436.36,0.41
198,156084447#2.35_1,14.78,0.09,0.0,54.55,54.55,0.4
198,156084447#2.35_2,14.34,0.0,0.0,0.0,0.0,0.0
198,537517150#2_0,0.0,0.28,0.0,518.18,572.73,0.08
198,537517150#2_1,8.43,0.48,0.0,490.91,545.45,0.36
198,537517150#2_2,6.99,0.21,0.0,218.18,190.91,0.0
198,156084437#2.76_0,0.0,0.32,0.0,572.73,654.55,0.3
198,156084437#2.76_1,16.48,0.43,0.0,272.73,272.73,0.02
198,156084437#2.76_2,15.92,0.34,0.0,218.18,245.45,0.36
198,-156084515#1.105_0,0.0,0.2,0.0,354.55,463.64,2.02
264,156084447#2.35_0,0.0,0.21,0.0,381.82,518.18,0.06
264,156084447#2.35_1,10.67,0.23,0.0,190.91,190.91,0.0
264,156084447#2.35_2,10.67,0.23,0.0,190.91,81.82,0.62
264,537517150#2_0,0.0,0.28,0.0,518.18,518.18,0.06
264,537517150#2_1,10.97,0.46,0.0,409.09,409.09,0.0
264,537517150#2_2,10.56,0.4,0.0,354.55,300.0,0.92
264,156084437#2.76_0,0.0,0.21,0.0,381.82,327.27,0.58
264,156084437#2.76_1,10.49,0.19,0.0,163.64,163.64,0.0
264,156084437#2.76_2,10.49,0.19,0.0,163.64,109.09,0.36
264,-156084515#1.105_0,0.0,0.28,0.0,518.18,545.45,1.41
330,156084447#2.35_0,0.0,0.21,0.0,381.82,409.09,0.05
330,156084447#2.35_1,5.85,0.15,0.0,163.64,163.64,0.0
330,156084447#2.35_2,5.85,0.15,0.0,163.64,218.18,0.5
330,537517150#2_0,0.0,0.36,0.0,654.55,654.55,0.08
330,537517150#2_1,40.37,0.9,22.8,518.18,518.18,0.3
330,537517150#2_2,32.49,0.8,14.35,463.64,463.64,1.4
330,156084437#2.76_0,0.0,0.3,0.0,545.45,545.45,0.46
330,156084437#2.76_1,6.05,0.2,0.0,218.18,218.18,0.0
330,156084437#2.76_2,6.05,0.2,0.0,218.18,245.45,0.41
330,-156084515#1.105_0,0.0,0.27,0.0,490.91,490.91,1.14
396,156084447#2.35_0,0.0,0.17,0.0,300.0,272.73,0.07
396,156084447#2.35_1,6.47,0.03,0.0,27.27,27.27,0.0
396,156084447#2.35_2,6.47,0.03,0.0,27.27,54.55,0.43
396,537517150#2_0,0.0,0.36,0.0,654.55,627.27,0.13
396,537517150#2_1,15.95,0.61,0.0,436.36,163.64,0.51
396,537517150#2_2,13.32,0.23,0.0,163.64,81.82,0.45
396,156084437#2.76_0,0.0,0.32,0.0,572.73,654.55,1.02
396,156084437#2.76_1,6.88,0.18,0.0,190.91,190.91,0.37
396,156084437#2.76_2,6.44,0.08,0.0,81.82,136.36,0.8
