Time,Lane,Delay_s,Saturation,Queue_m,Inflow_PCU_h,Outflow_PCU_h,Avg_Queue
66,156084447#2.35_0,0.0,0.41,0.0,736.36,572.73,0.89
66,156084447#2.35_1,19.62,0.56,0.0,300.0,300.0,0.12
66,156084447#2.35_2,18.0,0.3,0.0,163.64,163.64,1.38
66,537517150#2_0,0.0,0.35,0.0,627.27,518.18,0.08
66,537517150#2_1,4.82,0.36,0.0,436.36,300.0,0.09
66,537517150#2_2,4.31,0.23,0.0,272.73,272.73,0.0
66,156084437#2.76_0,0.0,0.17,0.0,300.0,300.0,0.48
66,156084437#2.76_1,17.52,0.16,0.0,81.82,81.82,0.22
66,156084437#2.76_2,16.63,0.05,0.0,27.27,0.0,0.0
66,-156084515#1.105_0,0.0,0.08,0.0,136.36,54.55,0.02
132,156084447#2.35_0,0.0,0.03,0.0,54.55,163.64,0.01
132,156084447#2.35_1,9.82,0.0,0.0,0.0,0.0,0.0
132,156084447#2.35_2,9.55,0.0,0.0,0.0,0.0,0.0
132,537517150#2_0,0.0,0.27,0.0,490.91,545.45,0.08
132,537517150#2_1,12.09,0.37,0.0,300.0,381.82,0.41
132,537517150#2_2,11.28,0.23,0.0,190.91,190.91,0.04
132,156084437#2.76_0,0.0,0.33,0.0,600.0,409.09,0.07
132,156084437#2.76_1,10.67,0.23,0.0,190.91,190.91,0.0
132,156084437#2.76_2,10.16,0.13,0.0,109.09,81.82,0.3
132,-156084515#1.105_0,0.0,0.45,0.0,818.18,681.82,0.94
198,156084447#2.35_0,0.0,0.3,0.0,545.45,436.36,0.42
198,156084447#2.35_1,9.69,0.03,0.0,27.27,27.27,0.11
198,156084447#2.35_2,9.55,0.0,0.0,0.0,0.0,0.0
198,537517150#2_0,0.0,0.28,0.0,518.18,572.73,0.08
198,537517150#2_1,13.83,0.6,0.0,490.91,490.91,0.42
198,537517150#2_2,11.47,0.27,0.0,218.18,0.0,0.75
198,156084437#2.76_0,0.0,0.32,0.0,572.73,654.55,0.86
198,156084437#2.76_1,11.23,0.32,0.0,272.73,272.73,0.0
